Бумага;ISIN;Номер платежа;Дата фактической выплаты;Ставка купона, % годовых;Сумма купона, RUB;Погашение номинала, RUB
Россия, 26205;RU000A0JREQ7;1,00;26.10.2011;7,60;40,81;
Россия, 26205;RU000A0JREQ7;2,00;25.04.2012;7,60;37,90;
Россия, 26205;RU000A0JREQ7;3,00;24.10.2012;7,60;37,90;
Россия, 26205;RU000A0JREQ7;4,00;24.04.2013;7,60;37,90;
Россия, 26205;RU000A0JREQ7;5,00;23.10.2013;7,60;37,90;
Россия, 26205;RU000A0JREQ7;6,00;23.04.2014;7,60;37,90;
Россия, 26205;RU000A0JREQ7;7,00;22.10.2014;7,60;37,90;
Россия, 26205;RU000A0JREQ7;8,00;22.04.2015;7,60;37,90;
Россия, 26205;RU000A0JREQ7;9,00;21.10.2015;7,60;37,90;
Россия, 26205;RU000A0JREQ7;10,00;20.04.2016;7,60;37,90;
Россия, 26205;RU000A0JREQ7;11,00;19.10.2016;7,60;37,90;
Россия, 26205;RU000A0JREQ7;12,00;19.04.2017;7,60;37,90;
Россия, 26205;RU000A0JREQ7;13,00;18.10.2017;7,60;37,90;
Россия, 26205;RU000A0JREQ7;14,00;18.04.2018;7,60;37,90;
Россия, 26205;RU000A0JREQ7;15,00;17.10.2018;7,60;37,90;
Россия, 26205;RU000A0JREQ7;16,00;17.04.2019;7,60;37,90;
Россия, 26205;RU000A0JREQ7;17,00;16.10.2019;7,60;37,90;
Россия, 26205;RU000A0JREQ7;18,00;15.04.2020;7,60;37,90;
Россия, 26205;RU000A0JREQ7;19,00;14.10.2020;7,60;37,90;
Россия, 26205;RU000A0JREQ7;20,00;14.04.2021;7,60;37,90;1000,00
Россия, 26207;RU000A0JS3W6;1,00;22.08.2012;8,15;40,64;
Россия, 26207;RU000A0JS3W6;2,00;20.02.2013;8,15;40,64;
Россия, 26207;RU000A0JS3W6;3,00;21.08.2013;8,15;40,64;
Россия, 26207;RU000A0JS3W6;4,00;19.02.2014;8,15;40,64;
Россия, 26207;RU000A0JS3W6;5,00;20.08.2014;8,15;40,64;
Россия, 26207;RU000A0JS3W6;6,00;18.02.2015;8,15;40,64;
Россия, 26207;RU000A0JS3W6;7,00;19.08.2015;8,15;40,64;
Россия, 26207;RU000A0JS3W6;8,00;17.02.2016;8,15;40,64;
Россия, 26207;RU000A0JS3W6;9,00;17.08.2016;8,15;40,64;
Россия, 26207;RU000A0JS3W6;10,00;15.02.2017;8,15;40,64;
Россия, 26207;RU000A0JS3W6;11,00;16.08.2017;8,15;40,64;
Россия, 26207;RU000A0JS3W6;12,00;14.02.2018;8,15;40,64;
Россия, 26207;RU000A0JS3W6;13,00;15.08.2018;8,15;40,64;
Россия, 26207;RU000A0JS3W6;14,00;13.02.2019;8,15;40,64;
Россия, 26207;RU000A0JS3W6;15,00;14.08.2019;8,15;40,64;
Россия, 26207;RU000A0JS3W6;16,00;12.02.2020;8,15;40,64;
Россия, 26207;RU000A0JS3W6;17,00;12.08.2020;8,15;40,64;
Россия, 26207;RU000A0JS3W6;18,00;10.02.2021;8,15;40,64;
Россия, 26207;RU000A0JS3W6;19,00;11.08.2021;8,15;40,64;
Россия, 26207;RU000A0JS3W6;20,00;09.02.2022;8,15;40,64;
Россия, 26207;RU000A0JS3W6;21,00;10.08.2022;8,15;40,64;
Россия, 26207;RU000A0JS3W6;22,00;08.02.2023;8,15;40,64;
Россия, 26207;RU000A0JS3W6;23,00;09.08.2023;8,15;40,64;
Россия, 26207;RU000A0JS3W6;24,00;07.02.2024;8,15;40,64;
Россия, 26207;RU000A0JS3W6;25,00;07.08.2024;8,15;40,64;
Россия, 26207;RU000A0JS3W6;26,00;05.02.2025;8,15;40,64;
Россия, 26207;RU000A0JS3W6;27,00;06.08.2025;8,15;40,64;
Россия, 26207;RU000A0JS3W6;28,00;04.02.2026;8,15;40,64;
Россия, 26207;RU000A0JS3W6;29,00;05.08.2026;8,15;40,64;
Россия, 26207;RU000A0JS3W6;30,00;03.02.2027;8,15;40,64;1000,00
Россия, 26208;RU000A0JS4M5;1,00;05.09.2012;7,50;37,40;
Россия, 26208;RU000A0JS4M5;2,00;06.03.2013;7,50;37,40;
Россия, 26208;RU000A0JS4M5;3,00;04.09.2013;7,50;37,40;
Россия, 26208;RU000A0JS4M5;4,00;05.03.2014;7,50;37,40;
Россия, 26208;RU000A0JS4M5;5,00;03.09.2014;7,50;37,40;
Россия, 26208;RU000A0JS4M5;6,00;04.03.2015;7,50;37,40;
Россия, 26208;RU000A0JS4M5;7,00;02.09.2015;7,50;37,40;
Россия, 26208;RU000A0JS4M5;8,00;02.03.2016;7,50;37,40;
Россия, 26208;RU000A0JS4M5;9,00;31.08.2016;7,50;37,40;
Россия, 26208;RU000A0JS4M5;10,00;01.03.2017;7,50;37,40;
Россия, 26208;RU000A0JS4M5;11,00;30.08.2017;7,50;37,40;
Россия, 26208;RU000A0JS4M5;12,00;28.02.2018;7,50;37,40;
Россия, 26208;RU000A0JS4M5;13,00;29.08.2018;7,50;37,40;
Россия, 26208;RU000A0JS4M5;14,00;27.02.2019;7,50;37,40;1000,00
Россия, 26209;RU000A0JSMA2;1,00;30.01.2013;7,60;37,90;
Россия, 26209;RU000A0JSMA2;2,00;31.07.2013;7,60;37,90;
Россия, 26209;RU000A0JSMA2;3,00;29.01.2014;7,60;37,90;
Россия, 26209;RU000A0JSMA2;4,00;30.07.2014;7,60;37,90;
Россия, 26209;RU000A0JSMA2;5,00;28.01.2015;7,60;37,90;
Россия, 26209;RU000A0JSMA2;6,00;29.07.2015;7,60;37,90;
Россия, 26209;RU000A0JSMA2;7,00;27.01.2016;7,60;37,90;
Россия, 26209;RU000A0JSMA2;8,00;27.07.2016;7,60;37,90;
Россия, 26209;RU000A0JSMA2;9,00;25.01.2017;7,60;37,90;
Россия, 26209;RU000A0JSMA2;10,00;26.07.2017;7,60;37,90;
Россия, 26209;RU000A0JSMA2;11,00;24.01.2018;7,60;37,90;
Россия, 26209;RU000A0JSMA2;12,00;25.07.2018;7,60;37,90;
Россия, 26209;RU000A0JSMA2;13,00;23.01.2019;7,60;37,90;
Россия, 26209;RU000A0JSMA2;14,00;24.07.2019;7,60;37,90;
Россия, 26209;RU000A0JSMA2;15,00;22.01.2020;7,60;37,90;
Россия, 26209;RU000A0JSMA2;16,00;22.07.2020;7,60;37,90;
Россия, 26209;RU000A0JSMA2;17,00;20.01.2021;7,60;37,90;
Россия, 26209;RU000A0JSMA2;18,00;21.07.2021;7,60;37,90;
Россия, 26209;RU000A0JSMA2;19,00;19.01.2022;7,60;37,90;
Россия, 26209;RU000A0JSMA2;20,00;20.07.2022;7,60;37,90;1000,00
Россия, 26210;RU000A0JTG59;1,00;19.06.2013;6,80;33,91;
Россия, 26210;RU000A0JTG59;2,00;18.12.2013;6,80;33,91;
Россия, 26210;RU000A0JTG59;3,00;18.06.2014;6,80;33,91;
Россия, 26210;RU000A0JTG59;4,00;17.12.2014;6,80;33,91;
Россия, 26210;RU000A0JTG59;5,00;17.06.2015;6,80;33,91;
Россия, 26210;RU000A0JTG59;6,00;16.12.2015;6,80;33,91;
Россия, 26210;RU000A0JTG59;7,00;15.06.2016;6,80;33,91;
Россия, 26210;RU000A0JTG59;8,00;14.12.2016;6,80;33,91;
