Дата фактической выплаты,Бумага,ISIN,Торговый код,Номер платежа,"Ставка купона, % годовых","Сумма купона, RUB","Погашение номинала, RUB"
2011-10-26 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,1,7.6,40.81,0.0
2012-04-25 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,2,7.6,37.9,0.0
2012-10-24 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,3,7.6,37.9,0.0
2013-04-24 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,4,7.6,37.9,0.0
2013-10-23 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,5,7.6,37.9,0.0
2014-04-23 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,6,7.6,37.9,0.0
2014-10-22 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,7,7.6,37.9,0.0
2015-04-22 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,8,7.6,37.9,0.0
2015-10-21 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,9,7.6,37.9,0.0
2016-04-20 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,10,7.6,37.9,0.0
2016-10-19 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,11,7.6,37.9,0.0
2017-04-19 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,12,7.6,37.9,0.0
2017-10-18 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,13,7.6,37.9,0.0
2018-04-18 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,14,7.6,37.9,0.0
2018-10-17 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,15,7.6,37.9,0.0
2019-04-17 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,16,7.6,37.9,0.0
2019-10-16 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,17,7.6,37.9,0.0
2020-04-15 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,18,7.6,37.9,0.0
2020-10-14 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,19,7.6,37.9,0.0
2021-04-14 00:00:00,26205,RU000A0JREQ7,SU26205RMFS3,20,7.6,37.9,1000.0
2012-08-22 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,1,8.15,40.64,0.0
2013-02-20 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,2,8.15,40.64,0.0
2013-08-21 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,3,8.15,40.64,0.0
2014-02-19 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,4,8.15,40.64,0.0
2014-08-20 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,5,8.15,40.64,0.0
2015-02-18 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,6,8.15,40.64,0.0
2015-08-19 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,7,8.15,40.64,0.0
2016-02-17 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,8,8.15,40.64,0.0
2016-08-17 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,9,8.15,40.64,0.0
2017-02-15 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,10,8.15,40.64,0.0
2017-08-16 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,11,8.15,40.64,0.0
2018-02-14 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,12,8.15,40.64,0.0
2018-08-15 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,13,8.15,40.64,0.0
2019-02-13 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,14,8.15,40.64,0.0
2019-08-14 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,15,8.15,40.64,0.0
2020-12-02 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,16,8.15,40.64,0.0
2020-12-08 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,17,8.15,40.64,0.0
2021-10-02 00:00:00,26207,RU000A0JS3W6,SU26207RMFS9,18,8.15,40.64,0.0
