Бумага;ISIN;Торговый код;Номер платежа;Дата фактической выплаты;Ставка купона, % годовых;Сумма купона, RUB;Погашение номинала, RUB
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;1;26.10.2011;7.6;40.81;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;2;25.04.2012;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;3;24.10.2012;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;4;24.04.2013;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;5;23.10.2013;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;6;23.04.2014;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;7;22.10.2014;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;8;22.04.2015;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;9;21.10.2015;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;10;20.04.2016;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;11;19.10.2016;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;12;19.04.2017;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;13;18.10.2017;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;14;18.04.2018;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;15;17.10.2018;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;16;17.04.2019;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;17;16.10.2019;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;18;15.04.2020;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;19;14.10.2020;7.6;37.9;
Россия, 26205;RU000A0JREQ7;SU26205RMFS3;20;14.04.2021;7.6;37.9;1 000
