,Бумага,ISIN,Торговый код,Номер платежа,Дата фактической выплаты,"Ставка купона, % годовых","Сумма купона, RUB","Погашение номинала, RUB"
0,26205,RU000A0JREQ7,SU26205RMFS3,1,2011-10-26,7.6,4.081,0.0
1,26205,RU000A0JREQ7,SU26205RMFS3,2,2012-04-25,7.6,3.79,0.0
2,26205,RU000A0JREQ7,SU26205RMFS3,3,2012-10-24,7.6,3.79,0.0
3,26205,RU000A0JREQ7,SU26205RMFS3,4,2013-04-24,7.6,3.79,0.0
4,26205,RU000A0JREQ7,SU26205RMFS3,5,2013-10-23,7.6,3.79,0.0
5,26205,RU000A0JREQ7,SU26205RMFS3,6,2014-04-23,7.6,3.79,0.0
6,26205,RU000A0JREQ7,SU26205RMFS3,7,2014-10-22,7.6,3.79,0.0
7,26205,RU000A0JREQ7,SU26205RMFS3,8,2015-04-22,7.6,3.79,0.0
8,26205,RU000A0JREQ7,SU26205RMFS3,9,2015-10-21,7.6,3.79,0.0
9,26205,RU000A0JREQ7,SU26205RMFS3,10,2016-04-20,7.6,3.79,0.0
10,26205,RU000A0JREQ7,SU26205RMFS3,11,2016-10-19,7.6,3.79,0.0
11,26205,RU000A0JREQ7,SU26205RMFS3,12,2017-04-19,7.6,3.79,0.0
12,26205,RU000A0JREQ7,SU26205RMFS3,13,2017-10-18,7.6,3.79,0.0
13,26205,RU000A0JREQ7,SU26205RMFS3,14,2018-04-18,7.6,3.79,0.0
14,26205,RU000A0JREQ7,SU26205RMFS3,15,2018-10-17,7.6,3.79,0.0
15,26205,RU000A0JREQ7,SU26205RMFS3,16,2019-04-17,7.6,3.79,0.0
16,26205,RU000A0JREQ7,SU26205RMFS3,17,2019-10-16,7.6,3.79,0.0
17,26205,RU000A0JREQ7,SU26205RMFS3,18,2020-04-15,7.6,3.79,0.0
18,26205,RU000A0JREQ7,SU26205RMFS3,19,2020-10-14,7.6,3.79,0.0
19,26205,RU000A0JREQ7,SU26205RMFS3,20,2021-04-14,7.6,3.79,100.0
20,26207,RU000A0JS3W6,SU26207RMFS9,1,2012-08-22,8.15,4.064,0.0
21,26207,RU000A0JS3W6,SU26207RMFS9,2,2013-02-20,8.15,4.064,0.0
22,26207,RU000A0JS3W6,SU26207RMFS9,3,2013-08-21,8.15,4.064,0.0
23,26207,RU000A0JS3W6,SU26207RMFS9,4,2014-02-19,8.15,4.064,0.0
24,26207,RU000A0JS3W6,SU26207RMFS9,5,2014-08-20,8.15,4.064,0.0
25,26207,RU000A0JS3W6,SU26207RMFS9,6,2015-02-18,8.15,4.064,0.0
26,26207,RU000A0JS3W6,SU26207RMFS9,7,2015-08-19,8.15,4.064,0.0
27,26207,RU000A0JS3W6,SU26207RMFS9,8,2016-02-17,8.15,4.064,0.0
28,26207,RU000A0JS3W6,SU26207RMFS9,9,2016-08-17,8.15,4.064,0.0
29,26207,RU000A0JS3W6,SU26207RMFS9,10,2017-02-15,8.15,4.064,0.0
30,26207,RU000A0JS3W6,SU26207RMFS9,11,2017-08-16,8.15,4.064,0.0
31,26207,RU000A0JS3W6,SU26207RMFS9,12,2018-02-14,8.15,4.064,0.0
32,26207,RU000A0JS3W6,SU26207RMFS9,13,2018-08-15,8.15,4.064,0.0
33,26207,RU000A0JS3W6,SU26207RMFS9,14,2019-02-13,8.15,4.064,0.0
34,26207,RU000A0JS3W6,SU26207RMFS9,15,2019-08-14,8.15,4.064,0.0
35,26207,RU000A0JS3W6,SU26207RMFS9,16,2020-12-02,8.15,4.064,0.0
36,26207,RU000A0JS3W6,SU26207RMFS9,17,2020-12-08,8.15,4.064,0.0
37,26207,RU000A0JS3W6,SU26207RMFS9,18,2021-10-02,8.15,4.064,0.0
38,26207,RU000A0JS3W6,SU26207RMFS9,19,2021-11-08,8.15,4.064,0.0
39,26207,RU000A0JS3W6,SU26207RMFS9,20,2022-09-02,8.15,4.064,0.0
40,26207,RU000A0JS3W6,SU26207RMFS9,21,2022-10-08,8.15,4.064,0.0
41,26207,RU000A0JS3W6,SU26207RMFS9,22,2023-08-02,8.15,4.064,0.0
42,26207,RU000A0JS3W6,SU26207RMFS9,23,2023-09-08,8.15,4.064,0.0
43,26207,RU000A0JS3W6,SU26207RMFS9,24,2024-07-02,8.15,4.064,0.0
44,26207,RU000A0JS3W6,SU26207RMFS9,25,2024-07-08,8.15,4.064,0.0
45,26207,RU000A0JS3W6,SU26207RMFS9,26,2025-05-02,8.15,4.064,0.0
46,26207,RU000A0JS3W6,SU26207RMFS9,27,2025-06-08,8.15,4.064,0.0
47,26207,RU000A0JS3W6,SU26207RMFS9,28,2026-04-02,8.15,4.064,0.0
48,26207,RU000A0JS3W6,SU26207RMFS9,29,2026-05-08,8.15,4.064,0.0
49,26207,RU000A0JS3W6,SU26207RMFS9,30,2027-03-02,8.15,4.064,100.0
50,26208,RU000A0JS4M5,SU26208RMFS7,1,2012-05-09,7.5,3.7399999999999998,0.0
51,26208,RU000A0JS4M5,SU26208RMFS7,2,2013-06-03,7.5,3.7399999999999998,0.0
52,26208,RU000A0JS4M5,SU26208RMFS7,3,2013-04-09,7.5,3.7399999999999998,0.0
53,26208,RU000A0JS4M5,SU26208RMFS7,4,2014-05-03,7.5,3.7399999999999998,0.0
54,26208,RU000A0JS4M5,SU26208RMFS7,5,2014-03-09,7.5,3.7399999999999998,0.0
55,26208,RU000A0JS4M5,SU26208RMFS7,6,2015-04-03,7.5,3.7399999999999998,0.0
56,26208,RU000A0JS4M5,SU26208RMFS7,7,2015-02-09,7.5,3.7399999999999998,0.0
57,26208,RU000A0JS4M5,SU26208RMFS7,8,2016-02-03,7.5,3.7399999999999998,0.0
58,26208,RU000A0JS4M5,SU26208RMFS7,9,2016-08-31,7.5,3.7399999999999998,0.0
59,26208,RU000A0JS4M5,SU26208RMFS7,10,2017-01-03,7.5,3.7399999999999998,0.0
60,26208,RU000A0JS4M5,SU26208RMFS7,11,2017-08-30,7.5,3.7399999999999998,0.0
61,26208,RU000A0JS4M5,SU26208RMFS7,12,2018-02-28,7.5,3.7399999999999998,0.0
62,26208,RU000A0JS4M5,SU26208RMFS7,13,2018-08-29,7.5,3.7399999999999998,0.0
63,26208,RU000A0JS4M5,SU26208RMFS7,14,2019-02-27,7.5,3.7399999999999998,100.0
64,26209,RU000A0JSMA2,SU26209RMFS5,1,2013-01-30,7.6,3.79,0.0
65,26209,RU000A0JSMA2,SU26209RMFS5,2,2013-07-31,7.6,3.79,0.0
66,26209,RU000A0JSMA2,SU26209RMFS5,3,2014-01-29,7.6,3.79,0.0
67,26209,RU000A0JSMA2,SU26209RMFS5,4,2014-07-30,7.6,3.79,0.0
68,26209,RU000A0JSMA2,SU26209RMFS5,5,2015-01-28,7.6,3.79,0.0
69,26209,RU000A0JSMA2,SU26209RMFS5,6,2015-07-29,7.6,3.79,0.0
70,26209,RU000A0JSMA2,SU26209RMFS5,7,2016-01-27,7.6,3.79,0.0
71,26209,RU000A0JSMA2,SU26209RMFS5,8,2016-07-27,7.6,3.79,0.0
72,26209,RU000A0JSMA2,SU26209RMFS5,9,2017-01-25,7.6,3.79,0.0
73,26209,RU000A0JSMA2,SU26209RMFS5,10,2017-07-26,7.6,3.79,0.0
74,26209,RU000A0JSMA2,SU26209RMFS5,11,2018-01-24,7.6,3.79,0.0
75,26209,RU000A0JSMA2,SU26209RMFS5,12,2018-07-25,7.6,3.79,0.0
76,26209,RU000A0JSMA2,SU26209RMFS5,13,2019-01-23,7.6,3.79,0.0
77,26209,RU000A0JSMA2,SU26209RMFS5,14,2019-07-24,7.6,3.79,0.0
78,26209,RU000A0JSMA2,SU26209RMFS5,15,2020-01-22,7.6,3.79,0.0
79,26209,RU000A0JSMA2,SU26209RMFS5,16,2020-07-22,7.6,3.79,0.0
80,26209,RU000A0JSMA2,SU26209RMFS5,17,2021-01-20,7.6,3.79,0.0
81,26209,RU000A0JSMA2,SU26209RMFS5,18,2021-07-21,7.6,3.79,0.0
82,26209,RU000A0JSMA2,SU26209RMFS5,19,2022-01-19,7.6,3.79,0.0
83,26209,RU000A0JSMA2,SU26209RMFS5,20,2022-07-20,7.6,3.79,100.0
84,26210,RU000A0JTG59,SU26210RMFS3,1,2013-06-19,6.8,3.3909999999999996,0.0
85,26210,RU000A0JTG59,SU26210RMFS3,2,2013-12-18,6.8,3.3909999999999996,0.0
86,26210,RU000A0JTG59,SU26210RMFS3,3,2014-06-18,6.8,3.3909999999999996,0.0
87,26210,RU000A0JTG59,SU26210RMFS3,4,2014-12-17,6.8,3.3909999999999996,0.0
88,26210,RU000A0JTG59,SU26210RMFS3,5,2015-06-17,6.8,3.3909999999999996,0.0
89,26210,RU000A0JTG59,SU26210RMFS3,6,2015-12-16,6.8,3.3909999999999996,0.0
90,26210,RU000A0JTG59,SU26210RMFS3,7,2016-06-15,6.8,3.3909999999999996,0.0
91,26210,RU000A0JTG59,SU26210RMFS3,8,2016-12-14,6.8,3.3909999999999996,0.0
92,26210,RU000A0JTG59,SU26210RMFS3,9,2017-06-14,6.8,3.3909999999999996,0.0
93,26210,RU000A0JTG59,SU26210RMFS3,10,2017-12-13,6.8,3.3909999999999996,0.0
94,26210,RU000A0JTG59,SU26210RMFS3,11,2018-06-13,6.8,3.3909999999999996,0.0
95,26210,RU000A0JTG59,SU26210RMFS3,12,2018-12-12,6.8,3.3909999999999996,0.0
96,26210,RU000A0JTG59,SU26210RMFS3,13,2019-06-13,6.8,3.3909999999999996,0.0
97,26210,RU000A0JTG59,SU26210RMFS3,14,2019-11-12,6.8,3.3909999999999996,100.0
98,26211,RU000A0JTJL3,SU26211RMFS1,1,2013-07-08,7.0,3.893,0.0
99,26211,RU000A0JTJL3,SU26211RMFS1,2,2014-05-02,7.0,3.4899999999999998,0.0
100,26211,RU000A0JTJL3,SU26211RMFS1,3,2014-06-08,7.0,3.4899999999999998,0.0
101,26211,RU000A0JTJL3,SU26211RMFS1,4,2015-04-02,7.0,3.4899999999999998,0.0
102,26211,RU000A0JTJL3,SU26211RMFS1,5,2015-05-08,7.0,3.4899999999999998,0.0
103,26211,RU000A0JTJL3,SU26211RMFS1,6,2016-03-02,7.0,3.4899999999999998,0.0
104,26211,RU000A0JTJL3,SU26211RMFS1,7,2016-03-08,7.0,3.4899999999999998,0.0
105,26211,RU000A0JTJL3,SU26211RMFS1,8,2017-01-02,7.0,3.4899999999999998,0.0
106,26211,RU000A0JTJL3,SU26211RMFS1,9,2017-02-08,7.0,3.4899999999999998,0.0
107,26211,RU000A0JTJL3,SU26211RMFS1,10,2018-01-31,7.0,3.4899999999999998,0.0
108,26211,RU000A0JTJL3,SU26211RMFS1,11,2018-01-08,7.0,3.4899999999999998,0.0
109,26211,RU000A0JTJL3,SU26211RMFS1,12,2019-01-30,7.0,3.4899999999999998,0.0
110,26211,RU000A0JTJL3,SU26211RMFS1,13,2019-07-31,7.0,3.4899999999999998,0.0
111,26211,RU000A0JTJL3,SU26211RMFS1,14,2020-01-29,7.0,3.4899999999999998,0.0
112,26211,RU000A0JTJL3,SU26211RMFS1,15,2020-07-29,7.0,3.4899999999999998,0.0
113,26211,RU000A0JTJL3,SU26211RMFS1,16,2021-01-27,7.0,3.4899999999999998,0.0
114,26211,RU000A0JTJL3,SU26211RMFS1,17,2021-07-28,7.0,3.4899999999999998,0.0
115,26211,RU000A0JTJL3,SU26211RMFS1,18,2022-01-26,7.0,3.4899999999999998,0.0
116,26211,RU000A0JTJL3,SU26211RMFS1,19,2022-07-27,7.0,3.4899999999999998,0.0
117,26211,RU000A0JTJL3,SU26211RMFS1,20,2023-01-25,7.0,3.4899999999999998,100.0
118,26212,RU000A0JTK38,SU26212RMFS9,1,2013-07-08,7.05,3.786,0.0
119,26212,RU000A0JTK38,SU26212RMFS9,2,2014-05-02,7.05,3.5149999999999997,0.0
120,26212,RU000A0JTK38,SU26212RMFS9,3,2014-06-08,7.05,3.5149999999999997,0.0
121,26212,RU000A0JTK38,SU26212RMFS9,4,2015-04-02,7.05,3.5149999999999997,0.0
122,26212,RU000A0JTK38,SU26212RMFS9,5,2015-05-08,7.05,3.5149999999999997,0.0
123,26212,RU000A0JTK38,SU26212RMFS9,6,2016-03-02,7.05,3.5149999999999997,0.0
124,26212,RU000A0JTK38,SU26212RMFS9,7,2016-03-08,7.05,3.5149999999999997,0.0
125,26212,RU000A0JTK38,SU26212RMFS9,8,2017-01-02,7.05,3.5149999999999997,0.0
