TRADEDATE,SU26205RMFS3,SU26207RMFS9,SU26208RMFS7,SU26209RMFS5,SU26210RMFS3,SU26211RMFS1,SU26212RMFS9,SU26214RMFS5,SU26215RMFS2,SU26216RMFS0,SU26217RMFS8,SU26218RMFS6,SU26219RMFS4,SU46011RMFS1,SU46012RMFS9,SU46018RMFS6,SU46019RMFS4,SU46020RMFS2,SU46022RMFS8,SU46023RMFS6
2016-01-05,92.35,91.9995,94.3999,91.3,91.3004,87.6996,84.1,88.75,87.1764,92.05,89.59,89.24,96.15,77.64,88.0,91.97,88.0,77.44800000000001,83.31,109.2
2016-01-06,92.0999,91.5999,94.4,91.2,90.89,87.6999,83.7494,88.65,86.6,91.72,89.59,89.24,96.15,77.64,88.0,91.97,88.0,77.991,83.31,109.2
2016-01-11,90.4499,89.2999,93.2899,88.7,89.5,85.5007,80.8,87.4,84.25,90.79,89.59,89.24,96.15,77.64,88.0,91.97,88.0,76.99,83.31,109.2
2016-01-12,89.251,87.8001,92.9899,87.5011,88.9649,84.1501,79.6579,86.3007,83.5001,89.8102,89.59,89.24,96.15,77.64,88.0,86.0,88.0,76.0,83.31,109.2
2016-01-13,89.5398,87.8502,92.7,87.51,88.85,84.3005,79.8,86.4,83.4,90.0,89.59,89.24,96.15,77.64,88.0,85.8,88.0,74.8453,83.31,109.2
2016-01-14,89.3992,87.2,92.75,87.45,89.0493,84.2493,79.14,86.3899,83.3999,89.9992,89.59,89.24,96.15,77.64,88.0,87.0,88.0,75.5,80.75,109.2
2016-01-15,88.7499,86.1499,92.6997,86.99,88.7989,83.5399,77.9499,86.29,82.5998,89.9,89.59,89.24,96.15,77.64,86.9,85.55,88.0,73.91,81.0,109.2
2016-01-18,88.74,85.75,92.4097,87.0997,88.55,83.4498,77.7,86.1,82.4099,89.81,89.59,89.24,96.15,77.64,86.9,85.55,88.0,73.8115,81.0,109.2
2016-01-19,89.3997,86.59,92.6899,87.65,88.99,83.86,78.0105,86.58,82.86,89.7302,89.59,89.24,96.15,77.64,86.9,85.95,88.0,73.8165,81.5,109.2
2016-01-20,88.2501,84.1,92.149,86.4998,88.6499,82.4,76.05,85.8,81.26,89.2503,89.59,89.24,96.15,77.64,86.9,85.95,88.0,73.82300000000001,81.5,109.2
2016-01-21,88.37299999999999,84.3,92.15,86.1999,88.24,82.5998,76.3999,85.6999,81.49,89.4499,89.59,89.24,96.15,77.64,86.9,85.0531,88.0,74.0,81.5,109.2
2016-01-22,89.4699,86.45,92.7999,87.49799999999999,89.19,84.0,78.5,86.7999,82.9,90.2499,89.59,89.24,96.15,77.64,86.9,85.6511,88.0,73.9,81.5,109.2
2016-01-25,89.1002,86.0503,92.48,87.25,89.0888,83.5107,78.2,86.35,82.85,89.93,89.59,89.24,96.15,77.64,84.5999,85.59899999999999,88.0,73.8,81.5,109.2
2016-01-26,89.5001,86.9998,92.9,87.8,89.5099,84.35,79.1489,86.77,83.48,90.4999,89.59,89.24,96.15,77.64,84.5999,85.73,88.0,73.6601,81.5,109.2
2016-01-27,90.15,87.9701,93.24,88.575,89.85,84.8,79.85,87.25,84.1,90.4004,89.59,89.24,96.15,77.64,84.5999,86.2096,88.0,74.176,81.5,109.2
2016-01-28,90.5515,88.55,93.8699,88.9001,90.3895,85.37,80.6,87.75,84.75,91.1,89.59,89.24,96.15,77.64,84.5999,86.4246,88.0,74.4999,81.5,109.2
2016-01-29,90.7497,88.5999,93.6399,88.9998,90.0,85.4899,80.7189,87.74,84.2002,90.85,89.59,89.24,96.15,77.64,88.5789,86.806,88.0,73.0,82.0,109.2
2016-02-01,89.70200000000001,87.75,93.6399,88.137,89.8499,84.5002,79.9,87.0195,83.7,90.6,89.59,89.24,96.15,77.64,76.0,86.806,88.0,73.0,79.0,109.2
2016-02-02,89.65,87.35,93.0001,87.8,89.55,84.06,79.25,86.7106,83.25,90.35,89.59,89.24,96.15,77.64,73.0,86.03,88.0,72.8,79.0,109.2
2016-02-03,89.85,87.5,93.6,88.5,89.5998,84.75,79.8499,87.0,83.6001,90.55,89.59,89.24,96.15,77.64,73.9999,86.03,88.0,73.0,79.9999,109.2
2016-02-04,90.6,88.2304,93.6,88.7,89.8002,85.4499,80.3505,87.74,84.4,90.9998,89.59,89.24,96.15,77.64,73.0,86.6,88.0,73.6,79.5,109.2
2016-02-05,90.4499,88.5504,93.7495,88.85,89.94,85.2949,80.5999,87.6504,84.4,90.95,89.5,89.24,96.15,77.64,73.0,86.5,87.95,73.3,79.5,109.2
