BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION,,,,,,,
SNDX;RGBITR;2020-07-13;MOEX Government Bond Index;MOEX Government Bond Index;612,04;611,82;612,54;611,78;15955990066;1814;5,48;2;8566957192570;RUB;1,000000;3,
SNDX;RGBITR;2020-07-10;MOEX Government Bond Index;MOEX Government Bond Index;611,13;612,01;612,02;611,13;7627251158,32;1816;5,5;2;8554242225500;RUB;1,000000;3
SNDX;RGBITR;2020-07-09;MOEX Government Bond Index;MOEX Government Bond Index;611,81;609,9;611,83;609,9;28729319149,5;1818;5,47;2;8563701421940;RUB;1,000000;3
SNDX;RGBITR;2020-07-08;MOEX Government Bond Index;MOEX Government Bond Index;609,76;607,69;609,76;607,69;23130179089,3;1815;5,54;2;8535054765510;RUB;1,000000;3
SNDX;RGBITR;2020-07-07;MOEX Government Bond Index;MOEX Government Bond Index;607,61;605,17;607,61;604,65;27442679926,7;1812;5,61;2;8505001664570;RUB;1,000000;3
SNDX;RGBITR;2020-07-06;MOEX Government Bond Index;MOEX Government Bond Index;605,23;606;606,74;605,04;22168687643,3;1810;5,69;2;8471619233860;RUB;1,000000;3,
SNDX;RGBITR;2020-07-03;MOEX Government Bond Index;MOEX Government Bond Index;605,83;609,39;609,46;605,83;25335359890;1815;5,66;2;8479956545860;RUB;1,000000;3,
SNDX;RGBITR;2020-07-02;MOEX Government Bond Index;MOEX Government Bond Index;609,16;608,68;609,93;608,68;33749874801,6;1823;5,54;2;8526505189070;RUB;1,000000;3
SNDX;RGBITR;2020-06-30;MOEX Government Bond Index;MOEX Government Bond Index;608,44;612,7;612,91;608,44;61790306589,3;1824;5,56;2;8516492207990;RUB;1,000000;3
SNDX;RGBITR;2020-06-29;MOEX Government Bond Index;MOEX Government Bond Index;612,36;612,81;613,16;612,36;22112102184,5;1832;5,42;2;8571329986390;RUB;1,000000;3
SNDX;RGBITR;2020-06-26;MOEX Government Bond Index;MOEX Government Bond Index;612,49;612,18;612,92;611,34;15255115682;1835;5,41;2;8573111974740;RUB;1,000000;3,
SNDX;RGBITR;2020-06-25;MOEX Government Bond Index;MOEX Government Bond Index;612,04;614,15;614,4;612,04;31120458215,5;1836;5,42;2;8566815812710;RUB;1,000000;3
SNDX;RGBITR;2020-06-23;MOEX Government Bond Index;MOEX Government Bond Index;613,9;614,74;615,4;613,77;11436238193;1842;5,35;2;8592894311720;RUB;1,000000;3,
SNDX;RGBITR;2020-06-22;MOEX Government Bond Index;MOEX Government Bond Index;614,59;616,61;616,61;614,59;11718983675,4;1845;5,33;2;8602526276010;RUB;1,000000;3
SNDX;RGBITR;2020-06-19;MOEX Government Bond Index;MOEX Government Bond Index;616,36;614,55;616,54;614,55;32666580881,7;1851;5,26;2;8627316015640;RUB;1,000000;3
SNDX;RGBITR;2020-06-18;MOEX Government Bond Index;MOEX Government Bond Index;614,71;613,92;614,71;613,82;26537119099,3;1850;5,31;2;8604242202120;RUB;1,000000;3
SNDX;RGBITR;2020-06-17;MOEX Government Bond Index;MOEX Government Bond Index;613,87;612,57;613,88;611,71;22901168513,8;1851;5,34;2;8604730909840;RUB;1,000000;3
SNDX;RGBITR;2020-06-16;MOEX Government Bond Index;MOEX Government Bond Index;612,63;610,8;612,63;610,17;28899302148,7;1849;5,38;2;8587346978100;RUB;1,000000;3
SNDX;RGBITR;2020-06-15;MOEX Government Bond Index;MOEX Government Bond Index;610,92;611,34;611,37;609,73;19406827190,6;1847;5,43;2;8563415551070;RUB;1,000000;3
SNDX;RGBITR;2020-06-11;MOEX Government Bond Index;MOEX Government Bond Index;610,91;611,23;611,33;610,12;30813419310,8;1853;5,42;2;8563313601050;RUB;1,000000;3
SNDX;RGBITR;2020-06-10;MOEX Government Bond Index;MOEX Government Bond Index;611,12;608,91;611,39;608,91;18695645538,9;1854;5,41;2;8579158766190;RUB;1,000000;3
