TRADEDATE,RU000A0JR779,RU000A0JQAE3,RU000A0JQLL5,RU000A0JQCL4,RU000A0JRHZ1,RU000A0JQYN4,RU000A0JR7G1,RU000A0JTWW3,RU000A0DY8K8,RU000A0JQZ18,RU000A0JS751,RU000A0JRJU8,RU000A0JTKZ1,RU000A0JRCJ6,RU000A0JP2S9,RU000A0JNHJ4,RU000A0JU9V1,RU000A0JTG59,RU000A0JTYA5,RU000A0JREQ7,RU000A0D0G29,RU000A0JSMA2,RU000A0JTJL3,RU000A0JPLH5,RU000A0JU4L3,RU000A0JRTL6,RU000A0JS3W6,RU000A0JTK38,RU0002868001,RU000A0JS4M5,RU000A0JVW30,RU000A0ZYCK6,RU000A0JXB41,RU000A101FA1,RU000A0ZYU88,RU000A1007F4,RU000A0JXQF2,RU000A101QE0,RU0002867854,RU000A100EG3,RU000A0JWM07,RU000A0ZZYW2,RU000A1014N4,RU000A0ZYUA9,RU000A100A82,RU000A0JVW48,RU000A0JXFM1,RU000A0ZYUB7,RU000A101F94,RU000A0GN9A7,RU000A100EF5,RU0002868076,RU0002867631
2014-01-06,2.256,4.537,0.8880000000000001,0.583,0.633,3.261,3.343,0.8880000000000001,1.0859999999999999,2.873,1.521,0.385,2.582,2.24,2.185,1.409,0.991,0.354,0.579,1.5619999999999998,0.633,3.3110000000000004,2.915,2.729,2.378,3.3760000000000003,3.0810000000000004,2.9360000000000004,0.479,2.548,,,,,,,,,3.397,,,,,,,,,,,2.741,,1.189,0.0
2014-01-08,2.295,4.603,0.932,0.644,0.6709999999999999,3.2990000000000004,3.383,0.921,1.122,2.911,1.561,0.426,2.616,2.281,2.215,1.419,1.028,0.391,0.614,1.6030000000000002,0.6709999999999999,3.3520000000000003,2.9530000000000003,2.762,2.416,3.4200000000000004,3.1260000000000003,2.975,0.488,2.589,,,,,,,,,3.4520000000000004,,,,,,,,,,,2.779,,1.208,0.0
2014-01-09,2.315,4.636,0.954,0.675,0.6900000000000001,3.317,3.403,0.937,1.14,2.93,1.581,0.446,2.633,2.301,2.23,1.4240000000000002,1.046,0.41,0.631,1.624,0.6900000000000001,3.373,2.9730000000000003,2.778,2.436,3.443,3.148,2.994,0.493,2.6100000000000003,,,,,,,,,3.479,,,,,,,,,,,2.798,,1.218,0.0
2014-01-10,2.334,4.668,0.976,0.706,0.71,3.3360000000000003,3.423,0.953,1.158,2.949,1.6019999999999999,0.466,2.65,2.322,2.245,1.4289999999999998,1.065,0.4280000000000001,0.649,1.645,0.71,3.3939999999999997,2.992,2.795,2.455,3.465,3.1710000000000003,3.013,0.4970000000000001,2.63,,,,,,,,,3.507,,,,,,,,,,,2.817,,1.227,0.0
2014-01-13,2.393,4.767,1.043,0.7979999999999999,0.767,3.393,3.4840000000000004,1.003,1.2109999999999999,3.006,1.662,0.5269999999999999,2.701,2.384,2.29,1.444,1.12,0.484,0.701,1.707,0.767,3.4560000000000004,3.049,2.8440000000000003,2.512,3.532,3.2380000000000004,3.071,0.511,2.692,,,,,,,,,3.589,,,,,,,,,,,2.873,,1.256,0.0
2014-01-14,2.412,4.8,1.065,0.828,0.7859999999999999,3.412,3.504,1.019,1.229,3.025,1.6829999999999998,0.5469999999999999,2.718,2.404,2.305,1.449,1.138,0.503,0.7190000000000001,1.7280000000000002,0.7859999999999999,3.4770000000000003,3.068,2.8600000000000003,2.532,3.555,3.26,3.09,0.516,2.712,,,,,,,,,3.616,,,,,,,,,,,2.8920000000000003,,1.266,0.0
2014-01-15,2.432,4.833,1.087,0.8590000000000001,0.805,3.431,3.524,1.036,1.247,3.044,1.703,0.568,2.7350000000000003,2.425,2.321,1.4529999999999998,1.156,0.522,0.736,1.749,0.805,3.498,3.088,2.877,2.551,3.5770000000000004,3.282,3.1100000000000003,0.521,2.733,,,,,,,,,3.6439999999999997,,,,,,,,,,,2.911,,1.275,0.0
2014-01-16,2.451,4.8660000000000005,1.11,0.89,0.825,0.019,3.5439999999999996,1.052,1.264,3.0620000000000003,1.723,0.588,2.752,2.445,2.336,1.4580000000000002,1.175,0.54,0.754,1.77,0.825,3.5189999999999997,3.107,2.893,2.57,3.599,3.305,3.129,0.525,2.753,,,,,,,,,3.6710000000000003,,,,,,,,,,,2.93,,1.285,0.0
2014-01-17,2.47,4.899,1.1320000000000001,0.921,0.8440000000000001,0.038,3.564,1.068,1.2819999999999998,3.0810000000000004,1.7440000000000002,0.608,2.769,2.466,2.351,1.463,1.193,0.5589999999999999,0.772,1.791,0.8440000000000001,3.54,3.1260000000000003,2.91,2.589,3.622,3.3270000000000004,3.148,0.53,2.774,,,,,,,,,3.699,,,,,,,,,,,2.949,,1.295,0.0
2014-01-20,2.529,4.997,1.198,1.013,0.901,0.094,3.625,1.1179999999999999,1.3359999999999999,3.138,1.804,0.669,2.82,2.527,2.396,1.4780000000000002,1.248,0.615,0.8240000000000001,1.8530000000000002,0.901,3.6020000000000003,3.184,2.959,2.647,3.689,3.3939999999999997,3.2060000000000004,0.544,2.8360000000000003,,,,,,,,,3.781,,,,,,,,,,,3.006,,1.3230000000000002,0.0
2014-01-21,2.548,5.029999999999999,1.221,1.043,0.921,0.113,3.6450000000000014,1.134,1.3530000000000002,3.157,1.825,0.6890000000000001,2.837,2.548,2.411,1.483,1.267,0.633,0.8420000000000001,1.874,0.921,3.623,3.2030000000000003,2.975,2.6660000000000004,3.711,3.4159999999999995,3.2260000000000004,0.5489999999999999,2.8560000000000003,,,,,,,,,3.808,,,,,,,,,,,3.025,,1.3330000000000002,0.0
2014-01-22,2.568,5.0630000000000015,1.2429999999999999,1.074,0.94,0.132,3.665,1.151,1.371,3.176,1.845,0.71,2.854,2.568,2.426,1.4880000000000002,1.285,0.6519999999999999,0.8590000000000001,1.895,0.94,3.6439999999999997,3.222,2.992,2.685,3.733,3.439,3.245,0.5529999999999999,2.877,,,,,,,,,3.836,,,,,,,,,,,3.044,,1.342,0.0
2014-01-23,2.587,5.096,1.265,1.105,0.959,0.151,0.02,1.167,1.389,3.195,1.865,0.73,2.8710000000000004,2.589,2.441,1.493,1.3030000000000002,0.6709999999999999,0.877,1.916,0.959,3.665,3.241,0.016,2.7039999999999997,3.7560000000000002,3.4610000000000003,3.264,0.5579999999999999,2.897,,,,,,,,,3.863,,,,,,,,,,,3.0620000000000003,,1.3519999999999999,0.0
2014-01-24,2.607,5.129,1.287,1.135,0.978,0.16999999999999998,0.04,1.1840000000000002,1.4069999999999998,3.214,1.885,0.75,2.888,2.6100000000000003,2.456,1.4980000000000002,1.3219999999999998,0.6890000000000001,0.8939999999999999,1.936,0.978,3.685,3.26,0.033,2.7230000000000003,3.778,3.483,3.2840000000000003,0.563,2.918,,,,,,,,,3.89,,,,,,,,,,,3.0810000000000004,,1.3619999999999999,0.0
2014-01-27,2.665,5.227,1.354,1.227,1.036,0.226,0.101,1.233,1.46,3.2700000000000005,1.946,0.8109999999999999,2.939,2.6710000000000003,2.5010000000000003,1.5130000000000001,1.3769999999999998,0.745,0.9470000000000001,1.999,1.036,3.748,3.318,0.08199999999999999,2.781,3.845,3.55,3.342,0.5770000000000001,2.979,,,,,,,,,3.973,,,,,,,,,,,3.138,,1.39,0.0
2014-01-28,2.684,5.26,1.376,1.258,1.0550000000000002,0.245,0.121,1.249,1.4780000000000002,3.289,1.967,0.8310000000000001,2.9560000000000004,2.692,2.516,1.518,1.395,0.764,0.9640000000000001,2.02,1.0550000000000002,3.7689999999999997,3.3369999999999997,0.099,2.8,3.868,3.5729999999999995,3.361,0.581,3.0,,,,,,,,,4.0,,,,,,,,,,,3.157,,1.4,0.0
2014-01-29,2.7039999999999997,5.292999999999998,1.3980000000000001,1.2890000000000001,1.074,0.264,0.141,1.266,1.496,3.3080000000000003,1.987,0.852,2.9730000000000003,2.712,2.532,1.5230000000000001,1.413,0.782,0.982,2.041,1.074,3.79,3.3560000000000003,0.115,2.819,3.89,3.595,3.38,0.5860000000000001,3.0210000000000004,,,,,,,,,4.027,,,,,,,,,,,3.176,,1.41,0.0
2014-01-30,2.7230000000000003,5.3260000000000005,1.42,1.319,1.093,0.28300000000000003,0.161,1.2819999999999998,1.514,3.3270000000000004,2.007,0.8720000000000001,2.99,2.733,2.5469999999999997,1.528,1.432,0.8009999999999999,0.999,2.061,1.093,0.021,3.375,0.132,2.838,3.912,3.617,3.399,0.5900000000000001,3.0410000000000004,,,,,,,,,4.055,,,,,,,,,,,3.195,,1.419,0.0
2014-01-31,2.7430000000000003,5.359,1.442,1.35,1.112,0.302,0.181,1.2990000000000002,1.5319999999999998,3.346,2.027,0.892,3.007,2.753,2.5620000000000003,1.533,1.45,0.82,1.017,2.082,1.112,0.042,3.3950000000000005,0.14800000000000002,2.858,3.935,3.64,3.4189999999999996,0.595,3.0620000000000003,,,,,,,,,4.082,,,,,,,,,,,3.214,,1.4289999999999998,0.0
2014-02-03,2.801,5.457999999999998,1.509,1.442,1.17,0.358,0.242,1.348,1.585,3.403,2.088,0.953,3.0580000000000003,2.815,2.607,1.5470000000000002,1.505,0.8759999999999999,1.0699999999999998,2.145,1.17,0.10400000000000001,3.4520000000000004,0.197,2.915,4.002000000000002,3.707,3.4770000000000003,0.609,3.123,,,,,,,,,4.164,,,,,,,,,,,3.2700000000000005,,1.4580000000000002,0.0
2014-02-04,2.821,5.49,1.531,1.473,1.189,0.377,0.262,1.364,1.6030000000000002,3.4219999999999997,2.108,0.973,3.075,2.8360000000000003,2.622,1.5519999999999998,1.524,0.8939999999999999,1.087,2.165,1.189,0.125,3.471,0.214,2.934,4.024,3.729,3.4960000000000004,0.614,3.144,,,,,,,,,4.192,,,,,,,,,,,3.289,,1.467,0.0
2014-02-05,2.84,5.523,1.5530000000000002,1.504,1.208,0.396,0.282,1.381,1.621,3.4410000000000003,2.129,0.993,3.092,2.8560000000000003,2.637,1.557,1.5419999999999998,0.913,1.105,2.186,1.208,0.146,3.49,0.23,2.9530000000000003,4.046,3.751,3.515,0.618,3.164,,,,,,,,,4.218999999999999,,,,,,,,,,,3.3080000000000003,,1.4769999999999999,0.0
2014-02-06,2.859,5.556,1.5759999999999998,1.534,1.227,0.415,0.302,1.3969999999999998,0.018000000000000002,0.019,2.149,1.014,0.017,2.877,2.652,1.5619999999999998,1.56,0.932,1.122,2.207,1.227,0.16699999999999998,0.019,0.24700000000000005,2.9730000000000003,4.069,3.774,0.019,0.623,3.185,,,,,,,,,4.247,,,,,,,,,,,3.3270000000000004,,1.486,0.0
2014-02-07,2.879,5.589,1.598,1.565,1.247,0.434,0.322,1.4140000000000001,0.036000000000000004,0.038,2.169,1.034,0.034,2.897,2.6670000000000003,1.567,1.579,0.95,1.14,2.228,1.247,0.187,0.038,0.263,2.992,0.022,3.7960000000000003,0.039,0.628,3.205,,,,,,,,,4.274,,,,,,,,,,,3.346,,1.496,0.0
2014-02-10,2.9370000000000003,5.6880000000000015,1.6640000000000001,1.6569999999999998,1.3039999999999998,0.4900000000000001,0.383,1.463,0.08900000000000001,0.095,2.23,1.095,0.08499999999999999,2.959,2.712,1.582,1.634,1.006,1.192,2.29,1.3039999999999998,0.25,0.096,0.312,3.049,0.08900000000000001,3.863,0.097,0.642,3.2670000000000003,,,,,,,,,4.356,,,,,,,,,,,3.403,,1.525,0.0
2014-02-11,2.957,5.721,1.6869999999999998,1.6880000000000002,1.3230000000000002,0.509,0.403,1.479,0.107,0.113,2.25,1.115,0.102,2.979,2.727,1.587,1.652,1.025,1.21,2.311,1.3230000000000002,0.271,0.115,0.329,3.068,0.11200000000000004,3.885,0.11599999999999999,0.6459999999999999,3.2880000000000003,,,,,,,,,4.384,,,,,,,,,,,3.4219999999999997,,1.534,0.0
2014-02-12,2.9760000000000004,5.752999999999999,1.709,1.7180000000000002,1.342,0.528,0.423,1.496,0.125,0.132,2.271,1.135,0.119,3.0,2.742,1.592,1.67,1.043,1.227,2.332,1.342,0.292,0.134,0.34500000000000003,3.088,0.134,3.908,0.135,0.6509999999999999,3.3080000000000003,,,,,,,,,4.4110000000000005,,,,,,,,,,,3.4410000000000003,,1.544,0.0
2014-02-13,2.9960000000000004,5.7860000000000005,1.7309999999999999,1.749,1.3619999999999999,0.5469999999999999,0.44299999999999995,1.5119999999999998,0.142,0.151,2.291,1.156,0.136,3.0210000000000004,0.015,1.597,1.689,1.0619999999999998,1.245,2.353,1.3619999999999999,0.312,0.153,0.362,3.107,0.156,3.93,0.155,0.6559999999999999,3.3289999999999997,,,,,,,,,4.4380000000000015,,,,,,,,,,,0.019,,1.5530000000000002,0.0
2014-02-14,3.015,5.819,1.7530000000000001,1.78,1.381,0.5650000000000001,0.46299999999999997,1.529,0.16,0.16999999999999998,2.311,1.176,0.153,3.0410000000000004,0.03,1.6019999999999999,1.707,1.081,1.262,2.374,1.381,0.333,0.173,0.378,3.1260000000000003,0.179,3.952,0.174,0.6599999999999999,3.349,,,,,,,,,4.465999999999998,,,,,,,,,,,0.038,,1.5630000000000002,0.0
2014-02-17,3.073,5.917999999999998,1.82,1.8719999999999999,1.4380000000000002,0.622,0.524,1.5779999999999998,0.214,0.227,2.372,1.237,0.204,3.103,0.075,1.6170000000000002,1.7619999999999998,1.136,1.315,2.436,1.4380000000000002,0.396,0.23,0.42700000000000005,3.184,0.246,4.019,0.23199999999999998,0.674,3.411,,,,,,,,,4.548,,,,,,,,,,,0.095,,1.592,0.0
2014-02-18,3.093,5.9510000000000005,1.842,1.902,1.4580000000000002,0.6409999999999999,0.544,1.595,0.23199999999999998,0.246,2.3920000000000003,1.2570000000000001,0.221,3.123,0.09,1.6219999999999999,1.781,1.155,1.3330000000000002,2.457,1.4580000000000002,0.41600000000000004,0.24900000000000005,0.4440000000000001,3.2030000000000003,0.268,4.042,0.251,0.679,3.432,,,,,,,,,4.575,,,,,,,,,,,0.113,,1.6010000000000002,0.0
2014-02-19,3.112,5.984,1.864,1.933,1.4769999999999999,0.6599999999999999,0.564,1.611,0.24900000000000005,0.265,2.4130000000000003,1.277,0.238,3.144,0.105,1.6269999999999998,1.7990000000000002,1.1740000000000002,1.35,2.478,1.4769999999999999,0.4370000000000001,0.268,0.46,3.222,0.29100000000000004,4.064,0.27,0.6829999999999999,3.4520000000000004,,,,,,,,,4.603,,,,,,,,,,,0.132,,1.611,0.0
2014-02-20,3.132,0.033,1.886,1.964,1.496,0.679,0.584,1.6269999999999998,0.267,0.284,2.4330000000000003,1.298,0.255,3.164,0.121,1.6309999999999998,1.817,1.192,1.368,2.499,1.496,0.458,0.28800000000000003,0.477,3.241,0.313,0.022,0.29,0.688,3.4730000000000003,,,,,,,,,4.63,,,,,,,,,,,0.151,,1.621,0.0
2014-02-21,3.1510000000000002,0.066,1.908,1.995,1.515,0.6970000000000001,0.604,1.6440000000000001,0.28500000000000003,0.302,2.4530000000000003,1.318,0.272,3.185,0.136,1.636,1.8359999999999999,1.2109999999999999,1.385,2.519,1.515,0.479,0.307,0.493,3.26,0.335,0.045,0.309,0.693,3.4930000000000003,,,,,,,,,4.658,,,,,,,,,,,0.16999999999999998,,1.63,0.0
2014-02-24,3.21,0.16399999999999998,1.975,2.087,1.5730000000000002,0.754,0.665,1.693,0.33799999999999997,0.359,2.5140000000000002,1.379,0.32299999999999995,3.247,0.181,1.6510000000000002,1.891,1.267,1.4380000000000002,2.582,1.5730000000000002,0.541,0.364,0.542,3.318,0.402,0.11200000000000004,0.3670000000000001,0.7070000000000001,3.555,,,,,,,,,4.74,,,,,,,,,,,0.227,,1.659,0.0
2014-02-25,3.229,0.197,1.9969999999999999,2.117,1.592,0.773,0.6849999999999999,1.7100000000000002,0.35600000000000004,0.378,2.5340000000000003,1.399,0.34,3.2670000000000003,0.196,1.656,1.909,1.285,1.455,2.603,1.592,0.562,0.384,0.5589999999999999,3.3369999999999997,0.425,0.134,0.386,0.7110000000000001,3.575,,,,,,,,,4.767,,,,,,,,,,,0.246,,1.668,0.0
2014-02-26,3.248,0.23,2.019,2.148,1.611,0.792,0.705,1.7260000000000002,0.374,0.397,2.555,1.419,0.35700000000000004,3.2880000000000003,0.211,1.661,1.927,1.3039999999999998,1.473,2.6239999999999997,1.611,0.583,0.403,0.575,3.3560000000000003,0.447,0.156,0.406,0.716,3.596,,,,,,,,,4.795,,,,,,,,,,,0.265,,1.6780000000000002,0.0
2014-02-27,3.268,0.263,2.0420000000000003,2.1790000000000003,1.63,0.8109999999999999,0.725,1.7420000000000002,0.392,0.41600000000000004,2.575,1.439,0.374,3.3080000000000003,0.226,1.666,1.946,1.3230000000000002,1.49,2.644,1.63,0.604,0.422,0.5920000000000001,0.019,0.469,0.179,0.425,0.721,3.616,,,,,,,,,4.822,,,,,,,,,,,0.284,,1.6880000000000002,0.0
2014-02-28,3.287,0.29600000000000004,2.064,2.209,1.6489999999999998,0.8290000000000001,0.745,1.759,0.41,0.435,2.595,1.46,0.391,3.3289999999999997,0.24100000000000002,1.671,1.964,1.341,1.508,2.665,1.6489999999999998,0.625,0.441,0.608,0.038,0.4920000000000001,0.201,0.4440000000000001,0.725,3.637,,,,,,,,,4.849,,,,,,,,,,,0.302,,1.6969999999999998,0.0
2014-03-03,3.346,0.395,2.13,2.301,1.707,0.8859999999999999,0.805,1.808,0.46299999999999997,0.4920000000000001,2.656,1.521,0.442,3.39,0.28600000000000003,1.686,2.019,1.3969999999999998,1.561,2.728,1.707,0.687,0.499,0.6579999999999999,0.096,0.5589999999999999,0.268,0.502,0.7390000000000001,3.699,,,,,,,,,4.932,,,,,,,,,,,0.359,,1.7260000000000002,0.0
2014-03-04,3.365,0.42700000000000005,2.153,2.332,1.7260000000000002,0.905,0.826,1.825,0.481,0.51,2.676,1.541,0.45899999999999996,3.411,0.301,1.6909999999999998,2.0380000000000003,1.416,1.5779999999999998,2.748,1.7260000000000002,0.708,0.518,0.674,0.115,0.581,0.29,0.522,0.7440000000000001,3.719,,,,,,,,,4.9590000000000005,,,,,,,,,,,0.378,,1.736,0.0
2014-03-05,3.385,0.46,2.175,2.363,1.745,0.924,0.8460000000000001,1.841,0.499,0.529,2.696,1.561,0.476,3.432,0.316,1.6960000000000002,2.056,1.435,1.596,2.769,1.745,0.7290000000000001,0.537,0.6900000000000001,0.134,0.604,0.313,0.541,0.7490000000000001,3.74,,,,,,,,,4.9860000000000015,,,,,,,,,,,0.397,,1.745,0.0
2014-03-06,3.404,0.493,2.197,2.393,1.764,0.942,0.866,1.858,0.516,0.5479999999999999,2.717,1.581,0.493,3.4520000000000004,0.332,1.7009999999999998,2.074,1.4529999999999998,1.6130000000000002,2.79,0.019,0.75,0.5559999999999999,0.7070000000000001,0.153,0.626,0.335,0.5599999999999999,0.753,0.021,,,,,,,,,5.0139999999999985,,,,,,,,,,,0.41600000000000004,,0.01,0.0
