TRADEDATE,RU000A0JR779,RU000A0JQAE3,RU000A0JQLL5,RU000A0JQCL4,RU000A0JRHZ1,RU000A0JQYN4,RU000A0JR7G1,RU000A0JTWW3,RU000A0DY8K8,RU000A0JQZ18,RU000A0JS751,RU000A0JRJU8,RU000A0JTKZ1,RU000A0JRCJ6,RU000A0JP2S9,RU000A0JNHJ4,RU000A0JU9V1,RU000A0JTG59,RU000A0JTYA5,RU000A0JREQ7,RU000A0D0G29,RU000A0JSMA2,RU000A0JTJL3,RU000A0JPLH5,RU000A0JU4L3,RU000A0JRTL6,RU000A0JS3W6,RU000A0JTK38,RU0002868001,RU000A0JS4M5,RU000A0JVW30,RU000A0ZYCK6,RU000A0JXB41,RU000A101FA1,RU000A0ZYU88,RU000A1007F4,RU000A0JXQF2,RU000A101QE0,RU0002867854,RU000A100EG3,RU000A0JWM07,RU000A0ZZYW2,RU000A1014N4,RU000A0ZYUA9,RU000A100A82,RU000A0JVW48,RU000A0JXFM1,RU000A0ZYUB7,RU000A101F94,RU000A0GN9A7,RU000A100EF5,RU0002868076,RU0002867631
2014-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1891,93,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-08,100.2087,,,,,,,,,,,,,,,,,,,101.5,,,,90,,,,,71.4,,,,,,,,,,,,,,,,,,,,,,,,73.9091
2014-01-09,100.1791,103.8,101.8311,104.8001,101.1288,101.1958,101.8291,,99.542,100.72,101.5,101.5,97.5,,93.5,,,98.2757,95.2625,101.0191,94.3837,100.4116,96.4705,92.7271,95.2162,103.7,102.9093,92.7966,,,,,,,,,,,,,,,,,,,,,,88.575,,101.5,
2014-01-10,100.1766,103.5,,,101.1744,101.17,101.8447,,,100.75,,101.9,97.35,102.0953,,,,98.048,95.1,100.9863,,100.2755,96.0021,,95.1614,,102.619,92.626,,,,,,,,,,,108.8001,,,,,,,,,,,,,,
2014-01-13,100.1841,103.4501,101.7523,,101.2071,101.1925,101.9591,98.9,99.5,100.749,,101.9,97.5021,,,,98.1942,98.15,95.2,100.9964,94,100.3985,96.2527,,95.114,,102.7635,92.7803,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,100.1814,103.5119,101.7871,104.7326,101.1894,101.1857,101.9164,98.9012,99.55,100.7643,102.5955,101.85,97.4203,102.364,,,,,,100.7984,94.9043,100.1016,96.0019,,95.134,,102.4066,92.4699,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,100.1754,103.4971,,,101.2132,101.1995,101.9301,98.9001,99.5123,100.7626,101.8285,101.7969,97.5278,102.1045,92.9992,,,,95.0319,102.496,94.89,,95.7229,88.825,94.9552,,102.3304,92.2715,,,,,,,,,,,,,,,,,,,,,,90.998,,,
2014-01-16,100.168,,101.7481,104.75,101.1915,101.1883,102,98.9995,,100.82,101.7,101.6611,97.3001,102.2481,93,85.2,97.9919,99,95,100.6527,94.373,99.9772,95.5689,,94.7659,,102.1543,92.0207,79,,,,,,,,,,113.3999,,,,,,,,,,,88.4,,,72.4
2014-01-17,100.1704,103.4599,101.747,104.6798,101.1504,101.1378,101.9262,,99.6499,100.85,101.75,101.7868,97.3455,,93,83.1979,98,97.85,94.8501,100.6935,94.6399,99.7956,95.7329,,94.9497,,102.2388,92.1856,,,,,,,,,,,,,,,,,,,,,,,,,73.14
2014-01-20,100.1543,103.3909,101.7848,104.5557,101.1593,101.1528,101.9882,98.81,,,101.1536,101.75,97.3003,102.05,96.98,,97.7,97.76,,100.6,94.6995,99.7926,96,,94.5205,105.25,101.7079,91.618,,,,,,,,,,,,,,,,,,,,,,88.08,,,
