,Номер бумаги,ISIN,Номер платежа,Дата фактической выплаты,"Ставка купона, % годовых","Сумма купона, RUB","Погашение номинала, RUB"
0,1,RU000A0JR779,1,2011-09-15,7.1,4.649,0.0
1,1,RU000A0JR779,2,2012-03-15,7.1,3.54,0.0
2,1,RU000A0JR779,3,2012-09-13,7.1,3.54,0.0
3,1,RU000A0JR779,4,2013-03-14,7.1,3.54,0.0
4,1,RU000A0JR779,5,2013-09-12,7.1,3.54,0.0
5,1,RU000A0JR779,6,2014-03-13,7.1,3.54,100.0
6,2,RU000A0JQAE3,1,2010-02-24,12.0,5.984,0.0
7,2,RU000A0JQAE3,2,2010-08-25,12.0,5.984,0.0
8,2,RU000A0JQAE3,3,2011-02-23,12.0,5.984,0.0
9,2,RU000A0JQAE3,4,2011-08-24,12.0,5.984,0.0
10,2,RU000A0JQAE3,5,2012-02-22,12.0,5.984,0.0
11,2,RU000A0JQAE3,6,2012-08-22,12.0,5.984,0.0
12,2,RU000A0JQAE3,7,2013-02-20,12.0,5.984,0.0
13,2,RU000A0JQAE3,8,2013-08-21,12.0,5.984,0.0
14,2,RU000A0JQAE3,9,2014-02-19,12.0,5.984,0.0
15,2,RU000A0JQAE3,10,2014-08-20,12.0,5.984,100.0
16,3,RU000A0JQLL5,1,2010-06-02,8.1,4.039,0.0
17,3,RU000A0JQLL5,2,2010-12-01,8.1,4.039,0.0
18,3,RU000A0JQLL5,3,2011-06-01,8.1,4.039,0.0
19,3,RU000A0JQLL5,4,2011-11-30,8.1,4.039,0.0
20,3,RU000A0JQLL5,5,2012-05-30,8.1,4.039,0.0
21,3,RU000A0JQLL5,6,2012-11-28,8.1,4.039,0.0
22,3,RU000A0JQLL5,7,2013-05-29,8.1,4.039,0.0
23,3,RU000A0JQLL5,8,2013-11-27,8.1,4.039,0.0
24,3,RU000A0JQLL5,9,2014-05-28,8.1,4.039,0.0
25,3,RU000A0JQLL5,10,2014-11-26,8.1,4.039,100.0
26,4,RU000A0JQCL4,1,2009-12-23,11.2,2.7920000000000003,0.0
27,4,RU000A0JQCL4,2,2010-03-24,11.2,2.7920000000000003,0.0
