TRADEDATE,RU000A0JR779,RU000A0JQAE3,RU000A0JQLL5,RU000A0JQCL4,RU000A0JRHZ1,RU000A0JQYN4,RU000A0JR7G1,RU000A0JQZ18,RU000A0JS751,RU000A0JRJU8,RU000A0JTKZ1,RU000A0JRCJ6,RU000A0JU9V1,RU000A0JTG59,RU000A0JTYA5,RU000A0JREQ7,RU000A0D0G29,RU000A0JSMA2,RU000A0JTJL3,RU000A0JPLH5,RU000A0JU4L3,RU000A0JS3W6,RU000A0JTK38,RU000A0JVW30,RU000A0ZYCK6,RU000A0JXB41,RU000A101FA1,RU000A0ZYU88,RU000A1007F4,RU000A0JXQF2,RU000A101QE0,RU000A100EG3,RU000A0JWM07,RU000A0ZZYW2,RU000A1014N4,RU000A0ZYUA9,RU000A100A82,RU000A0JVW48,RU000A0JXFM1,RU000A0ZYUB7,RU000A101F94,RU000A0GN9A7,RU000A100EF5,RU0002868076
2014-01-09,102.4941,108.436,102.7851,105.4751,101.8188,104.5128,105.2321,103.65,103.081,101.946,100.133,,,98.6857,95.8935,102.6431,95.0737,103.7846,99.4435,95.5051,97.65220000000002,106.0573,95.7906,,,,,,,,,,,,,,,,,,,91.37299999999999,,
2014-01-10,102.5106,108.16799999999999,,,101.8844,104.506,105.26770000000002,103.699,,102.366,100.0,104.4173,,98.47599999999998,95.749,102.63129999999998,,103.6695,98.9941,,97.6164,105.79,95.639,,,,,,,,,,,,,,,,,,,,,
2014-01-13,102.5771,108.2171,102.79530000000004,,101.9741,104.5855,105.4431,103.755,,102.427,100.20309999999998,,99.3142,98.634,95.90100000000001,102.7034,94.76700000000001,103.8545,99.3017,,97.626,106.00149999999998,95.85129999999998,,,,,,,,,,,,,,,,,,,,,
2014-01-14,102.5934,108.3119,102.8521,105.5606,101.9754,104.5977,105.4204,103.7893,104.27849999999998,102.397,100.1383,104.768,,,,102.5264,95.6903,103.5786,99.0699,,97.666,105.6666,95.5599,,,,,,,,,,,,,,,,,,,,,
2014-01-15,102.6074,108.3301,,,102.0182,104.6305,105.4541,103.8066,103.5315,102.3649,100.2628,104.5295,,,95.7679,104.245,95.695,,98.8109,91.70200000000001,97.5062,105.6124,95.3815,,,,,,,,,,,,,,,,,,,93.909,,
2014-01-16,102.619,,102.8581,105.64,102.0165,101.2073,105.544,103.882,103.42299999999999,102.2491,100.0521,104.6931,99.1669,99.54,95.75399999999999,102.4227,95.198,103.4962,98.6759,,97.3359,105.4593,95.1497,,,,,,,,,,,,,,,,,,,91.33,,
2014-01-17,102.6404,108.3589,102.87900000000002,105.6008,101.9944,101.1758,105.4902,103.931,103.494,102.3948,100.1145,,99.193,98.409,95.6221,102.4845,95.4839,103.3356,98.85890000000002,,97.5387,105.5658,95.3336,,,,,,,,,,,,,,,,,,,,,
2014-01-20,102.6833,108.3879,102.98279999999998,105.5687,102.0603,101.2468,105.6132,,102.9576,102.419,100.1203,104.57700000000001,98.948,98.375,,102.453,95.6005,103.39459999999998,99.184,,97.1675,105.1019,94.824,,,,,,,,,,,,,,,,,,,91.086,,
2014-01-21,102.6877,108.43,102.9377,,102.0715,101.2148,105.545,103.80799999999999,103.4594,102.3057,,,98.8199,98.09,95.6444,102.43970000000002,95.5602,103.2739,98.7292,,97.2023,105.0925,94.8492,,,,,,,,,,,,,,,,,,,91.42299999999999,,
2014-01-22,102.70299999999999,108.3929,102.9297,105.6795,102.09,101.1855,105.5182,103.926,103.42740000000002,102.294,100.0661,104.4682,98.685,98.20200000000001,95.5605,102.4005,94.6655,103.2539,98.7045,91.7008,97.1207,105.1652,95.005,,,,,,,,,,,,,,,,,,,87.73259999999998,,
2014-01-23,102.7206,108.4321,102.96980000000002,105.6057,102.0978,101.301,101.94019999999998,103.905,103.4193,102.2456,100.0769,104.4354,98.7126,97.9868,95.477,102.2799,94.9112,103.0982,98.73,,96.9463,104.9214,94.7319,,,,,,,,,,,,,,,,,,,89.06200000000001,,
2014-01-24,102.7747,108.4196,,105.61700000000002,102.0557,101.1893,101.80190000000002,103.814,103.1305,101.982,99.8404,103.9606,98.4079,97.7319,95.06200000000001,101.6519,95.4759,102.5005,97.75399999999999,90.03299999999999,96.3482,104.18680000000002,94.08200000000001,,,,,,,,,,,,,,,,,,,92.9265,,
2014-01-27,102.78690000000002,108.47490000000002,102.8548,105.7067,102.0617,101.2995,101.791,103.7192,103.046,102.0101,99.449,103.8648,98.32700000000001,97.3032,94.8546,101.3505,95.036,102.2188,97.38020000000002,87.16529999999999,95.875,104.0285,93.6248,,,,,,,,,,,,,,,,,,,86.89299999999999,,
2014-01-28,102.7978,108.48,,,102.1244,,101.8242,103.7382,103.1286,102.031,99.928,103.692,98.0405,97.3031,94.5843,101.3076,94.5849,102.0741,97.4375,,96.2765,104.2064,93.8796,,,,,,,,,,,,,,,,,,,90.447,,
2014-01-29,102.8002,108.443,102.848,105.6141,102.0334,101.2158,101.6956,103.7939,102.9682,101.6867,99.2764,103.6964,94.9132,97.7402,94.5624,101.0337,94.564,101.7196,97.5227,,95.9752,103.8742,93.1637,,,,,,,,,,,,,,,,,,,87.7813,,
2014-01-30,102.8055,108.29639999999998,102.7755,105.319,101.7275,100.98899999999999,101.4368,103.1989,102.4855,101.1102,98.6244,103.1266,97.73200000000001,96.6818,93.9345,99.5646,94.34299999999999,97.059,95.8505,,94.9138,102.4956,92.4003,,,,,,,,,,,,,,,,,,,88.05529999999997,,
2014-01-31,102.8417,108.41829999999996,102.8434,105.3608,101.7183,100.902,101.1872,103.1466,103.7792,101.1129,98.5139,102.7266,97.1709,96.0506,93.5122,99.8281,94.7119,97.2329,96.11279999999998,89.6576,94.9932,102.9912,93.1964,,,,,,,,,,,,,,,,,,,86.5724,,
2014-02-03,102.8933,108.4111,103.009,,101.8009,,101.21700000000001,103.2214,102.2096,101.0138,98.5148,102.6151,97.0549,96.2892,93.5681,99.7947,95.3283,97.49249999999998,96.2427,,95.51299999999999,103.58229999999998,93.2166,,,,,,,,,,,,,,,,,,,86.67,,
