TRADEDATE,SU26205RMFS3,SU26207RMFS9,SU26208RMFS7,SU26209RMFS5,SU26210RMFS3,SU26211RMFS1,SU26212RMFS9,SU26214RMFS5,SU26215RMFS2,SU26216RMFS0,SU26217RMFS8,SU26218RMFS6,SU26219RMFS4,SU46011RMFS1,SU46012RMFS9,SU46018RMFS6,SU46019RMFS4,SU46020RMFS2,SU46022RMFS8,SU46023RMFS6
2016-01-04,15.62,30.81,25.48,,,,29.36,,25.12,,,,,,,,,,,
2016-01-05,15.83,31.04,25.69,33.32,3.73,29.34,29.55,5.96,25.31,8.81,,,,34.25,9.55,6.06,11.0,27.6,27.45,33.98
2016-01-06,16.03,31.26,25.89,33.53,3.91,29.53,29.74,6.14,25.5,9.0,,,,34.52,9.64,6.23,11.04,27.79,27.62,34.21
2016-01-11,17.08,32.38,26.92,34.57,4.84,30.49,30.71,7.01,26.46,9.91,,,,35.89,10.1,7.13,11.23,28.74,28.44,35.32
2016-01-12,17.28,32.6,27.13,34.78,5.03,30.68,30.9,7.19,26.65,10.1,,,,36.17,10.19,7.3,11.27,28.93,28.6,35.55
2016-01-13,17.49,32.82,27.33,34.98,5.22,30.87,31.09,7.36,26.85,10.28,,,,36.44,10.28,7.48,11.31,29.12,28.77,35.77
2016-01-14,17.7,33.05,27.54,35.19,5.4,31.06,31.29,7.54,27.04,10.46,,,,36.71,10.37,7.66,11.35,29.31,28.93,36.0
2016-01-15,17.91,33.27,27.74,35.4,5.59,31.26,31.48,7.71,27.23,10.65,,,,36.99,10.47,7.84,11.38,29.49,29.1,36.22
2016-01-18,18.53,33.94,28.36,36.03,6.15,31.83,32.06,8.24,27.8,11.2,,,,37.81,10.74,8.37,11.5,30.06,29.59,36.89
2016-01-19,18.74,34.16,28.56,36.23,6.33,32.02,32.25,8.42,28.0,11.38,,,,38.08,10.83,8.55,11.54,30.25,29.76,37.11
2016-01-20,18.95,34.39,28.77,36.44,6.52,32.22,32.45,8.59,28.19,11.57,,,,38.36,10.93,8.73,11.58,30.44,0.0,37.34
2016-01-21,19.16,34.61,28.97,36.65,6.71,32.41,32.64,8.77,28.38,11.75,,,,38.63,11.02,8.91,11.62,30.63,0.16,37.56
2016-01-22,19.37,34.83,29.18,36.86,6.89,32.6,32.83,8.94,28.57,11.93,,,,38.91,11.11,9.08,11.65,30.82,0.33,37.78
2016-01-25,19.99,35.5,29.8,37.48,7.45,33.17,33.41,9.47,29.15,12.48,,,,39.73,11.38,9.62,11.77,31.38,0.82,38.45
2016-01-26,20.2,35.73,30.0,37.69,7.64,33.37,33.6,9.64,29.34,12.67,,,,40.0,11.48,9.8,11.81,31.57,0.99,38.68
2016-01-27,20.41,35.95,30.21,0.0,7.83,33.56,33.8,9.82,29.53,12.85,,,,40.28,11.57,9.98,11.85,31.76,1.15,38.9
2016-01-28,20.62,36.17,30.41,0.21,8.01,33.75,33.99,9.99,29.72,13.03,,,,40.55,11.66,10.15,11.88,31.95,1.32,39.13
2016-01-29,20.82,36.4,30.62,0.42,8.2,33.94,34.18,10.17,29.91,13.22,,,,40.82,11.75,10.33,11.92,32.14,1.48,39.35
2016-02-01,21.45,37.07,31.24,1.04,8.76,34.52,34.76,10.7,30.49,13.77,,,,41.65,12.03,10.87,12.04,32.71,1.97,40.02
2016-02-02,21.66,37.29,31.44,1.25,8.94,34.71,34.96,10.87,30.68,13.95,,,,41.92,12.12,11.04,12.08,32.9,2.14,40.24
2016-02-03,21.87,37.51,31.65,1.46,9.13,0.0,0.0,11.05,30.87,14.14,20.14,,,42.19,12.21,11.22,12.12,33.09,2.3,40.47
2016-02-04,22.07,37.74,31.85,1.67,9.32,0.19,0.19,11.22,31.06,14.32,20.34,,,42.47,12.3,11.4,12.15,33.28,2.47,0.0
