TRADEDATE,RU000A0JR779,RU000A0JQAE3,RU000A0JQLL5,RU000A0JQCL4,RU000A0JRHZ1,RU000A0JQYN4,RU000A0JR7G1,RU000A0JTWW3,RU000A0DY8K8,RU000A0JQZ18,RU000A0JS751,RU000A0JRJU8,RU000A0JTKZ1,RU000A0JRCJ6,RU000A0JP2S9,RU000A0JNHJ4,RU000A0JU9V1,RU000A0JTG59,RU000A0JTYA5,RU000A0JREQ7,RU000A0D0G29,RU000A0JSMA2,RU000A0JTJL3,RU000A0JPLH5,RU000A0JU4L3,RU000A0JRTL6,RU000A0JS3W6,RU000A0JTK38,RU0002868001,RU000A0JS4M5,RU000A0JVW30,RU000A0ZYCK6,RU000A0JXB41,RU000A101FA1,RU000A0ZYU88,RU000A1007F4,RU000A0JXQF2,RU000A101QE0,RU0002867854,RU000A100EG3,RU000A0JWM07,RU000A0ZZYW2,RU000A1014N4,RU000A0ZYUA9,RU000A100A82,RU000A0JVW48,RU000A0JXFM1,RU000A0ZYUB7,RU000A101F94,RU000A0GN9A7,RU000A100EF5,RU0002868076,RU0002867631
2014-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,106.2701,95.936,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-08,102.5037,,,,,,,,,,,,,,,,,,,103.103,,,,92.762,,,,,71.888,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-09,102.4941,108.43599999999999,102.7851,105.4751,101.8188,104.5128,105.2321,,100.682,103.65,103.081,101.946,100.133,,95.73,,,98.6857,95.8935,102.64309999999999,95.0737,103.78460000000001,99.4435,95.5051,97.6522,86.40299999999999,106.0573,95.7906,,,,,,,,,,,,,,,,,,,,,,91.373,,51.968,
2014-01-10,102.5106,108.168,,,101.8844,104.506,105.2677,,,103.699,,102.366,100.0,104.4173,,,,98.47599999999998,95.749,102.6313,,103.6695,98.99410000000002,,97.6164,,105.79,95.63900000000001,,,,,,,,,,,112.3071,,,,,,,,,,,,,,
2014-01-13,102.5771,108.2171,102.79530000000001,,101.97409999999999,104.5855,105.4431,99.903,100.711,103.755,,102.427,100.2031,,,,99.3142,98.634,95.901,102.70339999999999,94.767,103.8545,99.30170000000003,,97.62599999999999,,106.0015,95.8513,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,102.5934,108.3119,102.8521,105.56060000000001,101.97540000000001,104.5977,105.4204,99.92020000000001,100.779,103.78930000000001,104.27850000000001,102.39699999999999,100.1383,104.76799999999999,,,,,,102.5264,95.69030000000001,103.57860000000001,99.0699,,97.666,,105.6666,95.5599,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,102.6074,108.3301,,,102.01820000000001,,105.4541,99.9361,100.7593,103.8066,103.53150000000001,102.36489999999999,100.2628,104.5295,95.3202,,,,95.7679,104.245,95.69500000000001,,98.81089999999999,91.702,97.5062,,105.6124,95.3815,,,,,,,,,,,,,,,,,,,,,,93.90899999999999,,,
2014-01-16,102.61899999999999,,102.8581,105.64,102.01650000000001,101.2073,105.544,100.0515,,103.88199999999999,103.423,102.2491,100.0521,104.69309999999999,95.336,78.138,99.1669,99.54,95.754,102.42269999999999,95.198,103.4962,98.6759,,97.3359,,105.45930000000001,95.14970000000001,79.525,,,,,,,,,,117.07090000000001,,,,,,,,,,,91.33000000000001,,,
2014-01-17,102.6404,108.3589,102.87900000000002,105.6008,101.9944,101.1758,105.49019999999999,,100.9319,103.931,103.494,102.3948,100.1145,,95.351,76.34111,99.193,98.40899999999999,95.6221,102.4845,95.48389999999999,103.3356,98.8589,,97.5387,,105.5658,95.33359999999999,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-20,102.6833,108.3879,102.9828,105.5687,102.0603,101.2468,105.6132,99.928,,,102.9576,102.419,100.12029999999999,104.577,99.376,,98.94800000000001,98.375,,102.45299999999999,95.6005,103.3946,99.184,,97.1675,87.88900000000001,105.1019,94.824,,,,,,,,,,,,,,,,,,,,,,91.086,,,
2014-01-21,102.6877,108.43,102.9377,,102.0715,101.2148,105.545,,,103.808,103.4594,102.30569999999999,,,,,98.81989999999999,98.09,95.6444,102.4397,95.56020000000001,103.2739,98.7292,,97.2023,,105.0925,94.8492,,,,,,,,,,,,,,,,,,,,,,91.423,,,
2014-01-22,102.703,108.3929,102.9297,105.6795,102.09,101.1855,,100.00099999999999,,103.926,103.4274,102.294,100.0661,104.4682,,,98.685,98.202,95.56049999999999,102.4005,94.6655,103.2539,98.7045,,97.1207,88.613,105.1652,95.00500000000001,90.553,,,,,,,,,,,,,,,,,,,,,87.73259999999999,,,
2014-01-23,102.7206,108.4321,102.9698,105.6057,102.0978,101.301,101.94019999999999,,100.94239999999999,103.90499999999999,103.41929999999999,102.24560000000001,100.0769,104.4354,,,98.7126,97.9868,95.47699999999999,102.2799,94.91120000000001,103.0982,98.72999999999999,,96.9463,,104.9214,94.7319,,,,,,,,,,,,,,,,,,,,,,89.062,,,
2014-01-24,102.7747,108.4196,,105.61700000000002,102.05569999999999,101.1893,101.8019,99.9562,100.857,103.814,103.13050000000001,101.98200000000001,99.8404,103.9606,,,98.4079,97.7319,95.062,101.65190000000001,95.47589999999998,102.5005,97.754,90.033,96.3482,,104.1868,94.082,,,,,,,,,,,,,,,,,,,,,,92.9265,,,
