TRADEDATE,tau1,tau2,beta0,beta1,beta2,beta3
2016-01-04,2.950523921962192,7.00331475456153,8.725175277863613,0.6221008506472392,0.4446108748616062,0.45638021269438345
2016-01-05,2.95294215377726,7.002844575309291,8.73334198336056,0.6199511398285481,0.4273642485385525,0.4440454321001803
2016-01-06,2.9341372666688867,7.003990616882806,8.44398809112729,0.5183843620558521,0.35861091802184075,0.3707919266045878
2016-01-11,2.9627286955000667,7.002559125484511,8.843756283648322,0.6388793871135624,0.4615859004591919,0.4835453039461229
2016-01-12,3.0,7.0,9.298232037404713,0.8549485459440028,0.5788049481152205,0.5828184263320391
2016-01-13,3.0,7.0,9.299531738014618,0.8519441524061289,0.5774010703898297,0.5834834624538684
2016-01-14,3.0,7.0,9.296921865488276,0.8560905468111986,0.5817324446941402,0.5833920485338696
2016-01-15,2.987644262878465,7.000430595055596,9.155466817432133,0.7972513443732101,0.5448265842471094,0.549644333545551
2016-01-18,3.0,7.0,9.304042394235815,0.8373421009885748,0.5745618054319852,0.5895978147982528
2016-01-19,3.0,7.0,9.298684641935292,0.8516771514261426,0.5799570446453166,0.58467492937165
2016-01-20,3.0,7.0,9.30333181408733,0.8382824618397531,0.5757296203904375,0.5898986968879818
2016-01-21,3.0,7.0,9.299097713067455,0.8515477026832292,0.5785853951605013,0.5845982862871582
2016-01-22,3.0,7.0,9.301140107149827,0.8466844343580432,0.5764837610956434,0.5857014163166272
2016-01-25,2.987884086984686,7.000301237502285,9.157970765679808,0.7915894389591361,0.54159920748527,0.5513400532081398
2016-01-26,3.0,7.0,9.30161879774938,0.8459165752058359,0.5757656758067339,0.5856363583330055
2016-01-27,3.0,7.0,9.3020248815657,0.8451051671373411,0.5752116152308322,0.5857561769488485
2016-01-28,3.0,7.0,9.302969653079808,0.8421790885436836,0.5746555973005646,0.5868015885325546
2016-01-29,2.9560992437267957,7.001936930734359,8.89452108669044,0.7525507632713838,0.4658685985960278,0.45718343856077676
2016-02-01,3.0,7.0,9.308039901478136,0.820350449372683,0.5742437547548448,0.5980978711915728
2016-02-02,3.0,7.0,9.30498570802606,0.8300381363894712,0.5763505400503911,0.594472567002316
2016-02-03,3.0,7.0,9.30556966264493,0.825222317058341,0.5780578869030035,0.5972484721700376
2016-02-04,3.0,7.0,9.303917585958466,0.8305132298273235,0.5791801884954035,0.5951989931506378
2016-02-05,2.9973269048472844,7.000375805131002,9.269474530683057,0.8215491566764388,0.5628213505824273,0.5828138674365311
2016-02-08,3.0,7.0,9.304918033083421,0.8297465542541852,0.5767614797164067,0.5947434001193302
2016-02-09,3.0,7.0,9.305025269632091,0.8267415098500411,0.5785460165230821,0.5967759118912657
2016-02-10,3.0,7.0,9.304390671588816,0.8311438678897743,0.5779053243204495,0.5937246328776843
2016-02-11,3.0,7.0,9.307861450795532,0.8228309108289947,0.5734949966832253,0.596094208070826
2016-02-12,3.0,7.0,9.301001217907134,0.8442766044085043,0.5793497329418823,0.5868937700968568
2016-02-15,2.997041931526036,7.000562655980388,9.265031753453114,0.8397701212782854,0.5652957442195337,0.5732398278427586
2016-02-16,3.0239848864052425,6.998796318174752,9.561651396519881,0.9675971606996254,0.6514171039506368,0.6492334263083815
2016-02-17,3.006313409643217,7.001017925936243,9.352912625484151,0.8194976906871998,0.5761508934141276,0.613360664033405
2016-02-18,2.9827582463996043,7.002634512789389,9.105918334777774,0.7249051237176536,0.5021066170838023,0.5453924494889116
2016-02-19,2.9884645251444764,7.001246728794545,9.171111381373898,0.7550461350159192,0.5285210832160189,0.5645814309727053
2016-02-20,2.9855724843678337,7.0020651909831155,9.144507479633,0.7265443567405154,0.5072623494674705,0.557632834497778
2016-02-22,3.0,7.0,9.340674997856203,0.7254527973790612,0.538209295941769,0.6267292453265776
2016-02-24,2.985593838240014,7.001686704775253,9.111278192387632,0.68896484035006,0.5060222797108632,0.5618287550653752
2016-02-25,2.9665927236984273,7.004611431475515,8.968793349504317,0.644253788405726,0.450346112698563,0.5150758062349132
2016-02-26,2.9624209445863294,7.0037077599574,8.892323721495668,0.6354779374021575,0.44407496191148854,0.4925321598550671
2016-02-29,2.962487518693648,7.003708182798003,8.892375776013946,0.6350427010488633,0.44399295812358636,0.4927605312915148
2016-03-01,2.952360861528836,7.004311533481628,8.716005228239426,0.5647996745049344,0.3986223668625255,0.44931075029689227
2016-03-02,2.9447120576517496,7.004879184189122,8.677017377144983,0.5719013036512142,0.37660981702337293,0.42658967968790046
2016-03-03,2.955191925427137,7.003526930309722,8.747873795044411,0.5774453238138471,0.415564757913971,0.45873960445090295
2016-03-04,2.943296155936693,7.004322669815683,8.600946179790542,0.5497642358563879,0.3707191921130988,0.4091534075420297
2016-03-07,2.9382460781542283,7.004536115795288,8.461374546500537,0.4684811465017441,0.34322184740358314,0.38709790707767594
2016-03-09,2.9440810224548706,7.004429753197955,8.605194192226435,0.5338511499701862,0.36837184021025593,0.4165109431418301
2016-03-10,2.9353746264113663,7.005075428833614,8.529566775191768,0.5340739748547426,0.34333968649633195,0.38208661838462127
2016-03-11,2.9355364203290955,7.004863686611981,8.52978389469088,0.5299277681928333,0.34477209152388066,0.3846405999897764
2016-03-14,2.937816107089208,7.005269705106949,8.465615042974015,0.46276389233182413,0.33768453264898557,0.3872735645658171
2016-03-15,2.9460837173192562,7.00474325730282,8.677567642772594,0.5741874889086218,0.37998109176032235,0.42533342990166845
2016-03-16,2.9410003844815584,7.005455953014629,8.574193053312312,0.5206798338800291,0.3513672863021979,0.4034540775491853
2016-03-17,2.8979635514851134,7.050742270854187,8.605688751841305,-0.09960253462051147,-0.4191157256707667,0.2864823731439154
2016-03-18,2.9266090027191463,7.005944004155788,8.321711404868784,0.43426844472979975,0.2842151916350465,0.3346187993350972
2016-03-21,2.925229697117591,7.008186952730975,8.389605713586306,0.42927989743372946,0.2662374702204575,0.3461959283495249
2016-03-22,2.9252282862187995,7.006767381062403,8.343740670663482,0.4422361884620602,0.2788266819209307,0.33507875689568106
2016-03-23,2.936685786359509,7.0051176031074744,8.463651235910836,0.4747561676873847,0.3328684045285512,0.3811080550588902
2016-03-24,2.933913076215807,7.006057306526712,8.52057213991348,0.5118632080905132,0.3233859687666493,0.3795175151238618
2016-03-25,2.9339087266074366,7.004701747371106,8.458158921025438,0.5024448096644303,0.32781540602035814,0.3678043841723241
2016-03-28,2.933862615139267,7.00499906381361,8.459331355779124,0.4968406792099731,0.3290617631031478,0.37035525699931965
2016-03-29,2.9337063265461003,7.006084012689474,8.52045797607229,0.5129860853901311,0.3225199141203698,0.3787407818351781
2016-03-30,2.928847409778398,7.006103444922764,8.412070547727433,0.476080772086716,0.29780753754854916,0.3507803155545282
2016-03-31,2.937884062146551,7.00494148235224,8.46404825738313,0.4671466161154034,0.33772001132761437,0.3851543221110525
2016-04-01,2.932768834657361,7.005010040446324,8.443865302313847,0.49041399173566896,0.31849043703141033,0.363937288328655
2016-04-04,2.9292463192051965,7.006092952746724,8.411448501151279,0.47069250742953933,0.30114678169233067,0.3543881177316661
2016-04-05,2.9382820227384587,7.005230554472568,8.465745164867416,0.4620117406016057,0.33780024267599756,0.38756940857808
2016-04-06,2.937178609911589,7.006408312824186,8.544888780237338,0.4916106657046806,0.32540583947071156,0.3954701023180894
2016-04-07,2.9430204748706466,7.006909960445259,8.688914287506122,0.5470322200577101,0.3526141801676485,0.4278887923036682
2016-04-08,2.9401113032187025,7.006126971211323,8.477372187690992,0.4313661969791194,0.329470578469896,0.39855162535994343
2016-04-11,2.93582001281168,7.0073443607625405,8.533283711399093,0.47253676826050295,0.31675474305972107,0.39507691151599117
2016-04-12,2.9396629348593715,7.005688236309792,8.472461142712296,0.4428189578409697,0.33318607688317514,0.39492875658950755
2016-04-13,2.939667781739743,7.005805468316525,8.47338896605838,0.44103027298581904,0.33242374861389107,0.39548495568381425
2016-04-14,2.9390655608333334,7.005507945632301,8.575858023749117,0.527274832350203,0.3421587301509008,0.3987130239396433
2016-04-15,2.93564731902346,7.007358881609227,8.530850617458595,0.47270041210840746,0.3154715726895562,0.3945072301973652
2016-04-18,2.9392247035791095,7.006387798688855,8.547939033682285,0.4919090163875149,0.332798894228991,0.3993139841758457
2016-04-19,2.940262860363763,7.005821840240803,8.474973886215045,0.43590395798738224,0.3308352726653316,0.39756191621432124
2016-04-20,2.9351573343299573,7.005466023032406,8.463696866837155,0.4835671741246889,0.3264674105377227,0.3759336436461119
2016-04-21,2.9343334625102755,7.007064434890341,8.546158165599595,0.5021637755612363,0.30907659630003964,0.38610694185435246
2016-04-22,2.9363969465011097,7.005700183313786,8.539772482439725,0.5185816119261254,0.33087808589383744,0.3870395276351334
2016-04-25,2.9354843188847224,7.007416285756342,8.53147182011217,0.4696736638422111,0.30814966827119483,0.39336838473860847
2016-04-26,2.9359896056265855,7.007123737422758,8.531783831872024,0.4741467366958608,0.31282923373661,0.39373262235563505
2016-04-27,2.9402271253310386,7.00563127929421,8.47505214633633,0.43739710810695276,0.3287069280963817,0.39590346016222844
2016-04-28,2.945307601922717,7.005041739623867,8.611642157218526,0.5162857574615144,0.3619835578959757,0.42461443547361105
2016-04-29,2.9315186198299727,7.006203586799976,8.330081894545403,0.3932629657333727,0.2913190196189859,0.35443396476914624
2016-05-04,2.9386665165368635,7.005080697040378,8.468871086993948,0.4534483848181127,0.33237974637154005,0.38975170732849923
2016-05-05,2.9395465972626793,7.004978366917551,8.470654288296585,0.44511892833460914,0.33126218904430965,0.3942406046782604
2016-05-06,2.9295991896941187,7.005635308163332,8.393059601260813,0.46798179753388625,0.2974174936870172,0.3494852949496389
