TRADEDATE,tau1,tau2,beta0,beta1,beta2,beta3
2014-01-09,66.66571806573074,21.334748208960164,2.6120761949301583,-2.5533320470608487,-3.5944703077377165,0.4591251732232641
2014-01-10,56.375230913265256,18.00102929976366,4.064462174183579,-4.009431731377837,-5.632925067902276,0.6772558539417184
2014-01-13,51.769582182729,22.396018339286123,4.3904951523495654,-4.335467555195106,-7.071379562880908,1.3814409495672808
2014-01-14,47.841950724856986,22.202460514904452,4.919699185396688,-4.865529059310045,-8.181092109278453,1.7478262149430002
2014-01-15,52.60575885131732,88.50914353153584,0.5889766546818568,-0.5336045429338809,2.751725734392916,-4.881527371687914
2014-01-16,124.15877675144588,1367.711915718649,-8.14534857668854,8.203544005240365,8.463590175580386,5.091006232013619
2014-01-17,119.96088496245443,1685.3944946398533,-10.357733060078004,10.415004070822322,10.765100868414343,6.327254340545645
2014-01-20,144.05264411917346,2110.319889433793,-12.09899514578643,12.155792752034095,12.40358950121103,9.70863397213865
2014-01-21,155.61301578329494,2479.2994934559206,-14.18782517434487,14.24635010750371,14.138615027480782,16.35251293752995
2014-01-22,191.8146162970319,2623.251289839824,-14.821478054811017,14.880925136697964,13.029134176543165,37.75888807035071
2014-01-23,158.44688662441513,2396.6599092894876,-19.6968508548326,19.756471755400977,15.3098572817889,80.04708684952327
2014-01-24,111.73552266000678,2014.7631782866683,-27.700118193602655,27.758452737143696,18.208392978640262,185.63344585852718
2014-01-27,152.1873647503598,1783.263234284771,-36.51821120472637,36.57724783188822,23.9642576972984,159.00738296883867
2014-01-28,110.91667656084226,1484.298012728565,-53.421931872471944,53.48587270196183,27.84269358795521,349.88303485700754
2014-01-29,141.34934521945215,1346.889787126005,-70.18378192832216,70.24721292320265,35.37616656459665,338.37582431090317
2014-01-30,178.9207223891763,1683.2841830655557,-82.41740854405265,82.47978417400965,47.315858255651,340.9341201505591
2014-01-31,201.60229792245858,1388.4020953276527,-105.38505399013724,105.45103556021202,50.01074217256776,387.09293896449594
2014-02-03,270.43873751525234,1808.5100410390567,-119.48140071016672,119.5478749106671,61.6838248893886,393.9973731811464
2014-02-04,461.31678968027575,2915.929151673754,-104.02271686925803,104.08978525728895,62.147245507366975,274.1283822878614
2014-02-05,538.1393659740077,3247.556765441808,-128.370803586104,128.43549529991745,67.59047339546308,376.5338637625575
2014-02-06,457.7274969104242,1522.5355104538285,-188.2466582148668,188.31168402275975,95.83066151416035,313.31198403744054
2014-02-07,453.31343584281854,1351.990234045244,-257.81654637711017,257.8807520845528,114.3246455759288,433.60957794931517
2014-02-10,551.4610479550349,1615.4399439441595,-312.2891004830017,312.3525823527576,160.6639347613535,451.38121716845853
2014-02-11,519.9413159606615,1311.4316954091346,-439.6989416533181,439.7609392718134,201.46298530386787,608.1910524174364
2014-02-12,585.7318698341162,1505.7903138977795,-537.9693370866012,538.0301196468217,285.3902506446424,658.5162176897927
2014-02-13,651.3887039706957,1512.9956804890212,-707.8993610687207,707.9615585974241,327.5412918427593,892.3243934694491
2014-02-14,837.3904331674853,1896.7491262001433,-828.5131785152264,828.5762636042656,411.704882939257,954.1254531978738
2014-02-17,836.317433676835,1907.7083524762202,-1044.0478795268064,1044.1093423801917,566.4671165537657,1101.3904992776672
2014-02-18,953.965983113628,2261.568222934737,-1263.887112106871,1263.949967752548,597.3884797223373,1592.4328499904884
2014-02-19,1163.2388879762693,2265.6335986532067,-1479.4381558315845,1479.5051144962097,506.58767428609826,1903.9566301335053
2014-02-20,1284.3936270982285,2301.263219562772,-1597.2716330437388,1597.338208160101,391.1123837008213,2170.6812366875583
2014-02-21,1492.93405206339,2568.287743638449,-1892.1393146647706,1892.2071145871369,366.27518877222053,2634.447269166397
2014-02-24,1666.0167848532274,2254.767588263493,-2701.7611384517977,2701.826358379015,378.662486022371,3155.4784578153713
2014-02-25,2005.0096289601947,2384.6702641411375,-3478.6516001939917,3478.715984259907,423.8114749287323,3646.2525233818187
2014-02-26,2005.0096289601947,2384.6702641411375,-3478.6516001939917,6957.367584453899,423.8114749287323,3646.2525233818187
2014-02-27,2005.0096289601947,2384.6702641411375,-3478.6516001939917,10436.019184647892,423.8114749287323,3646.2525233818187
2014-02-28,2005.0096289601947,2384.6702641411375,-3478.6516001939917,13914.670784841885,423.8114749287323,3646.2525233818187
2014-03-03,2005.0096289601947,2384.6702641411375,-3478.6516001939917,17393.322385035877,423.8114749287323,3646.2525233818187
2014-03-04,2005.0096289601947,2384.6702641411375,-3478.6516001939917,20871.97398522987,423.8114749287323,3646.2525233818187
2014-03-05,2005.0096289601947,2384.6702641411375,-3478.6516001939917,24350.625585423863,423.8114749287323,3646.2525233818187
2014-03-06,2005.0096289601947,2384.6702641411375,-3478.6516001939917,27829.277185617855,423.8114749287323,3646.2525233818187
2014-03-07,2005.0096289601947,2384.6702641411375,-3478.6516001939917,31307.928785811848,423.8114749287323,3646.2525233818187
2014-03-11,2005.0096289601947,2384.6702641411375,-3478.6516001939917,34786.58038600584,423.8114749287323,3646.2525233818187
2014-03-12,2005.0096289601947,2384.6702641411375,-3478.6516001939917,38265.231986199826,423.8114749287323,3646.2525233818187
2014-03-13,2005.0096289601947,2384.6702641411375,-3478.6516001939917,41743.883586393815,423.8114749287323,3646.2525233818187
2014-03-14,2005.0096289601947,2384.6702641411375,-3478.6516001939917,45222.535186587804,423.8114749287323,3646.2525233818187
