TRADEDATE,tau,beta0,beta1,beta2
2014-01-09,29.999965472914873,232.74721876641695,-232.74715458768452,-241.72260695978522
2014-01-10,29.98226806113629,0.013462653954775305,36104.32486426411,-735550.316138379
2014-01-13,29.999965027944988,102463.26998102748,42407.35712867572,-735537.3764935716
2014-01-14,29.999965027944988,124216.46385476859,42407.322992783724,-735534.7885646101
2014-01-15,29.999965027944988,145969.63730676842,42407.298510911205,-735532.2006356486
2014-01-16,29.999965027944988,167722.79642375006,42407.2800832784,-735529.6127066871
2014-01-17,29.999965027944988,189475.94492399812,42407.26570605446,-735527.0247777256
2014-01-20,29.999965027944988,211229.08524538722,42407.25417332846,-735524.4368487641
2014-01-21,29.999965027944988,232982.21907263578,42407.24471555432,-735521.8489198026
2014-01-22,29.999965027944988,254735.34761837428,42407.23681798577,-735519.2609908411
2014-01-23,29.999965027944988,276488.471784536,42407.23012369446,-735516.6730618796
2014-01-24,29.999965027944988,298241.59226028423,42407.22437693621,-735514.0851329181
2014-01-27,29.999965027944988,319994.7095841095,42407.21938942291,-735511.4972039566
2014-01-28,29.999965027944988,341747.8241843874,42407.21502004366,-735508.9092749951
2014-01-29,29.999965027944988,363500.93640795816,42407.21116036479,-735506.3213460336
2014-01-30,29.999965027944988,385254.0465392495,42407.20772601402,-735503.7334170721
2014-01-31,29.999965027944988,407007.15481435636,42407.204650586296,-735501.1454881106
2014-02-03,29.999965027944988,428760.26143186324,42407.20188049524,-735498.5575591491
2014-02-04,29.999965027944988,450513.36655998905,42407.1993723464,-735495.9696301876
2014-02-05,29.999965027944988,472266.47034247103,42407.197090625705,-735493.3817012261
2014-02-06,29.999965027944988,494019.572903293,42407.19500612345,-735490.7937722646
2014-02-07,29.999965027944988,515772.67435004783,42407.193094147835,-735488.2058433031
2014-02-10,29.999965027944988,537525.7747768791,42407.19133410498,-735485.6179143416
2014-02-11,29.999965027944988,559278.8742661626,42407.18970865803,-735483.0299853801
2014-02-12,29.999965027944988,581031.9728909227,42407.18820288696,-735480.4420564186
2014-02-13,29.999965027944988,602785.0707157779,42407.18680407817,-735477.8541274571
2014-02-14,29.999965027944988,624538.1677984124,42407.18550130422,-735475.2661984956
2014-02-17,29.999965027944988,646291.264190626,42407.184284898685,-735472.6782695341
2014-02-18,29.999965027944988,668044.3599390703,42407.18314645579,-735470.0903405726
2014-02-19,29.999965027944988,689797.4550854585,42407.182078830665,-735467.5024116111
2014-02-20,29.999965027944988,711550.5496678262,42407.18107561406,-735464.9144826496
2014-02-21,29.999965027944988,733303.6437205316,42407.180131237255,-735462.3265536882
2014-02-24,29.999965027944988,755056.7372752012,42407.179240341415,-735459.7386247267
2014-02-25,29.999965027944988,776809.8303604142,42407.17839882907,-735457.1506957652
2014-02-26,29.999965027944988,798562.9230024384,42407.17760270729,-735454.5627668037
2014-02-27,29.999965027944988,820316.015225545,42407.17684819363,-735451.9748378422
2014-02-28,29.999965027944988,842069.1070519042,42407.176132030785,-735449.3869088807
2014-03-03,29.999965027944988,863822.1985017946,42407.175451802206,-735446.7989799192
2014-03-04,29.999965027944988,885575.2895945492,42407.174804355716,-735444.2110509577
2014-03-05,29.999965027944988,907328.3803473997,42407.17418780003,-735441.6231219962
2014-03-06,29.999965027944988,929081.4707767371,42407.173599928734,-735439.0351930347
2014-03-07,29.999965027944988,950834.5608979018,42407.173038535286,-735436.4472640732
2014-03-11,29.999965027944988,972587.650724763,42407.172501938534,-735433.8593351117
2014-03-12,29.999965027944988,994340.7402705599,42407.17198866757,-735431.2714061502
2014-03-13,29.999965027944988,1016093.8295475856,42407.17149714625,-735428.6834771887
2014-03-14,29.999965027944988,1037846.9185673979,42407.17102600867,-735426.0955482272
2014-03-17,29.999965027944988,1059600.007340714,42407.17057409906,-735423.5076192657
2014-03-18,29.999965027944988,1081353.095877726,42407.170140051516,-735420.9196903042
2014-03-19,29.999965027944988,1103106.184187785,42407.16972313053,-735418.3317613427
2014-03-20,29.999965027944988,1124859.2722800323,42407.16932207509,-735415.7438323812
2014-03-21,29.999965027944988,1146612.3601628733,42407.16893615015,-735413.1559034197
2014-03-24,29.999965027944988,1168365.4478441887,42407.16856440948,-735410.5679744582
2014-03-25,29.999965027944988,1190118.535331333,42407.16820622329,-735407.9800454967
