TRADEDATE,Seconds
2014-01-09,0.519727
2014-01-10,0.367765
2014-01-13,0.457738
2014-01-14,0.388778
2014-01-15,0.386792
2014-01-16,0.370792
2014-01-17,0.885484
2014-01-20,1.111356
2014-01-21,0.323814
2014-01-22,0.45174
2014-01-23,0.420761
2014-01-24,0.298849
2014-01-27,0.374766
2014-01-28,0.342802
2014-01-29,0.325833
2014-01-30,0.356775
2014-01-31,0.289836
2014-02-03,0.406781
2014-02-04,0.376768
2014-02-05,0.357796
2014-02-06,0.367789
2014-02-07,1.388204
2014-02-10,0.351816
2014-02-11,0.205887
2014-02-12,0.170882
2014-02-13,0.203883
2014-02-14,0.201905
2014-02-17,0.216855
2014-02-18,0.120932
2014-02-19,0.504729
2014-02-20,0.310803
2014-02-21,0.214877
2014-02-24,0.171919
2014-02-25,0.267847
2014-02-26,0.309806
2014-02-27,0.33181
2014-02-28,0.202904
2014-03-03,0.217857
2014-03-04,0.321834
2014-03-05,0.186874
2014-03-06,0.203902
2014-03-07,0.414743
2014-03-11,0.3818
2014-03-12,0.350799
2014-03-13,0.487704
2014-03-14,0.259871
2014-03-17,0.117916
2014-03-18,0.547702
2014-03-19,0.299812
2014-03-20,0.440768
2014-03-21,0.199869
2014-03-24,0.445765
2014-03-25,0.127927
2014-03-26,0.120912
2014-03-27,0.459736
2014-03-28,0.602643
2014-03-31,0.328791
2014-04-01,0.348821
2014-04-02,0.357774
2014-04-03,0.170902
2014-04-04,0.298849
2014-04-07,0.342783
2014-04-08,0.29583
2014-04-09,0.394774
2014-04-10,0.3848
2014-04-11,0.393756
2014-04-14,0.39977
2014-04-15,0.373784
2014-04-16,0.380802
2014-04-17,0.357779
2014-04-18,0.171921
2014-04-21,0.290818
2014-04-22,0.323813
2014-04-23,0.156911
2014-04-24,0.298848
2014-04-25,0.085939
2014-04-28,0.231967
2014-04-29,0.304824
2014-04-30,0.268846
2014-05-05,0.342802
2014-05-06,0.211881
2014-05-07,0.323816
2014-05-08,0.262846
2014-05-12,0.358796
2014-05-13,0.185892
2014-05-14,0.08897
2014-05-15,0.341806
2014-05-16,0.204883
2014-05-19,0.426755
2014-05-20,0.340809
2014-05-21,0.375785
2014-05-22,0.384761
2014-05-23,0.315837
2014-05-26,0.319817
2014-05-27,0.389776
2014-05-28,0.373786
2014-05-29,0.409766
2014-05-30,0.440751
2014-06-02,0.4877
2014-06-03,0.456759
2014-06-04,0.266847
2014-06-05,0.379763
2014-06-06,0.118931
2014-06-09,0.623641
2014-06-10,0.346802
2014-06-11,0.372784
2014-06-16,0.378785
2014-06-17,0.286833
2014-06-18,0.402771
2014-06-19,0.41776
2014-06-20,0.180914
2014-06-23,0.38478
2014-06-24,0.267846
2014-06-25,0.114914
2014-06-26,0.475729
2014-06-27,0.410785
2014-06-30,0.395753
2014-07-01,0.329829
2014-07-02,0.440752
2014-07-03,0.417765
2014-07-04,1.127333
2014-07-07,0.378785
2014-07-08,0.372786
2014-07-09,0.384798
2014-07-10,0.143899
2014-07-11,0.359812
2014-07-14,0.344807
2014-07-15,0.418743
2014-07-16,0.218877
2014-07-17,0.332827
2014-07-18,0.261851
2014-07-21,0.062951
2014-07-22,0.201903
2014-07-23,0.257831
2014-07-24,0.203905
2014-07-25,0.197871
2014-07-28,0.243859
2014-07-29,0.145919
2014-07-30,0.43477
2014-07-31,0.362772
