TRADEDATE,Seconds
2014-01-09,1.20306
2014-01-10,0.640561
2014-01-13,0.578084
2014-01-14,1.343654
2014-01-15,0.578082
2014-01-16,1.87487
2014-01-17,1.062422
2014-01-20,1.374906
2014-01-21,0.671825
2014-01-22,1.109318
2014-01-23,1.234286
2014-01-24,1.328012
2014-01-27,0.9687
2014-01-28,1.281142
2014-01-29,1.015552
2014-01-30,1.031176
2014-01-31,1.003765
2014-02-03,1.09367
2014-02-04,1.07805
2014-02-05,0.921809
2014-02-06,0.953057
2014-02-07,1.031179
2014-02-10,1.015552
2014-02-11,0.999949
2014-02-12,0.953057
2014-02-13,0.984285
2014-02-14,0.968684
2014-02-17,1.124919
2014-02-18,0.624956
2014-02-19,0.906205
2014-02-20,0.937435
2014-02-21,0.968661
2014-02-24,0.531212
2014-02-25,0.515589
2014-02-26,0.86901
2014-02-27,0.578088
2014-02-28,0.624953
2014-03-03,0.609333
2014-03-04,0.456412
2014-03-05,0.454076
2014-03-06,0.562458
2014-03-07,0.812444
2014-03-11,1.4374
2014-03-12,1.421774
2014-03-13,0.859312
2014-03-14,0.703095
2014-03-17,0.734324
2014-03-18,1.015552
2014-03-19,0.906166
2014-03-20,0.906206
2014-03-21,0.453093
2014-03-24,1.171792
2014-03-25,0.734305
2014-03-26,0.734322
2014-03-27,0.874938
2014-03-28,0.859316
2014-03-31,0.468717
2014-04-01,1.218662
2014-04-02,0.890561
2014-04-03,0.828069
2014-04-04,1.062425
2014-04-07,0.915766
2014-04-08,1.021709
2014-04-09,0.860245
2014-04-10,0.89058
2014-04-11,0.906168
2014-04-14,1.20304
2014-04-15,0.859312
2014-04-16,0.859313
2014-04-17,0.874937
2014-04-18,0.921811
2014-04-21,0.874938
2014-04-22,0.60933
2014-04-23,0.906186
2014-04-24,0.968682
2014-04-25,0.468717
2014-04-28,0.546855
2014-04-29,0.874921
2014-04-30,0.906185
2014-05-05,0.781194
2014-05-06,0.406222
2014-05-07,0.812443
2014-05-08,0.843708
2014-05-12,0.868309
2014-05-13,0.644391
2014-05-14,0.437472
2014-05-15,0.718719
2014-05-16,0.867107
2014-05-19,0.984306
2014-05-20,0.734323
2014-05-21,0.79682
2014-05-22,0.828065
2014-05-23,1.093672
2014-05-26,0.734343
2014-05-27,0.890544
2014-05-28,0.781192
2014-05-29,0.671829
2014-05-30,0.874958
2014-06-02,0.781175
2014-06-03,0.828085
2014-06-04,0.562461
2014-06-05,1.031158
2014-06-06,0.343724
2014-06-09,1.171795
2014-06-10,0.953055
2014-06-11,1.4374
2014-06-16,1.390527
2014-06-17,0.60935
2014-06-18,1.515498
2014-06-19,0.984306
2014-06-20,0.812443
2014-06-23,0.687451
2014-06-24,0.578082
2014-06-25,1.062426
2014-06-26,0.593709
2014-06-27,0.843691
2014-06-30,0.843709
2014-07-01,0.343706
2014-07-02,0.984306
2014-07-03,1.390527
2014-07-04,1.062443
2014-07-07,0.7968
2014-07-08,1.062425
2014-07-09,0.296871
2014-07-10,0.59371
2014-07-11,0.843671
2014-07-14,0.687451
2014-07-15,0.671828
2014-07-16,0.64058
2014-07-17,0.656202
2014-07-18,0.671828
2014-07-21,0.56246
2014-07-22,0.515588
2014-07-23,0.578105
2014-07-24,0.453092
2014-07-25,0.621376
2014-07-28,0.658858
2014-07-29,0.640599
2014-07-30,1.093655
2014-07-31,0.999929
2014-08-01,1.32805
2014-08-04,0.843689
2014-08-05,1.406152
2014-08-06,0.828046
2014-08-07,1.171811
2014-08-08,1.15615
2014-08-11,0.718699
2014-08-12,1.484271
2014-08-13,1.093671
2014-08-14,1.046821
2014-08-15,0.656186
2014-08-18,1.078047
2014-08-19,0.671828
2014-08-20,1.078048
2014-08-21,0.624955
2014-08-22,1.109296
2014-08-25,0.468718
2014-08-26,0.9088
2014-08-27,0.718697
2014-08-28,0.937454
2014-08-29,1.546766
2014-09-01,1.390507
2014-09-02,1.343673
2014-09-03,0.640582
2014-09-04,0.546815
2014-09-05,0.60933
2014-09-08,1.140566
2014-09-09,0.640575
2014-09-10,1.312393
2014-09-11,0.7187
2014-09-12,1.031175
2014-09-15,1.140545
2014-09-16,1.40617
2014-09-17,0.968681
2014-09-18,0.531194
2014-09-19,0.984306
2014-09-22,0.656202
2014-09-23,0.312478
2014-09-24,0.687451
2014-09-25,0.703077
2014-09-26,0.640599
2014-09-29,0.671807
2014-09-30,0.640599
2014-10-01,0.687433
2014-10-02,0.515588
2014-10-03,0.656203
2014-10-06,1.109317
2014-10-07,0.624935
2014-10-08,0.687453
2014-10-09,0.656222
2014-10-10,1.124904
2014-10-13,0.890579
2014-10-14,1.421757
2014-10-15,0.937431
2014-10-16,0.546856
2014-10-17,1.046783
2014-10-20,0.718697
2014-10-21,0.593709
2014-10-22,0.499983
2014-10-23,0.656185
2014-10-24,1.265555
2014-10-27,1.374901
2014-10-28,0.640562
2014-10-29,0.671828
2014-10-30,0.687451
2014-10-31,1.484269
2014-11-03,0.703096
2014-11-05,0.984287
2014-11-06,1.296781
2014-11-07,1.312407
2014-11-10,1.359281
2014-11-11,1.453022
2014-11-12,1.234306
2014-11-13,1.156149
2014-11-14,1.312407
2014-11-17,1.343655
2014-11-18,1.296784
2014-11-19,0.56246
2014-11-20,1.234287
2014-11-21,0.749949
2014-11-24,1.109314
2014-11-25,0.87492
2014-11-26,1.317105
2014-11-27,0.890562
2014-11-28,1.281162
2014-12-01,0.312462
2014-12-02,1.171812
2014-12-03,1.390509
2014-12-04,1.359277
2014-12-05,1.359299
2014-12-08,1.421773
2014-12-09,1.140526
2014-12-10,0.671848
2014-12-11,0.984284
2014-12-12,1.234288
2014-12-15,1.031197
2014-12-16,3.374743
2014-12-17,2.40608
2014-12-18,1.281159
2014-12-19,2.624814
2014-12-22,0.906186
2014-12-23,2.296732
2014-12-24,1.093653
2014-12-25,2.359209
2014-12-26,1.156168
2014-12-29,2.812301
2014-12-30,1.421793
2015-01-05,2.156098
2015-01-06,2.359208
2015-01-08,1.156167
2015-01-09,1.187398
2015-01-12,1.249912
2015-01-13,2.53107
2015-01-14,2.624815
2015-01-15,2.446363
2015-01-16,2.67339
2015-01-19,1.374903
2015-01-20,1.203058
2015-01-21,2.555353
2015-01-22,2.484199
2015-01-23,2.32796
2015-01-26,3.140402
2015-01-27,1.40615
2015-01-28,1.328033
2015-01-29,1.218664
2015-01-30,1.296801
2015-02-02,1.343641
2015-02-03,1.343654
2015-02-04,1.359279
2015-02-05,1.312411
2015-02-06,1.296779
2015-02-09,1.203039
2015-02-10,1.296785
2015-02-11,2.421722
2015-02-12,1.265516
2015-02-13,1.281159
2015-02-16,1.390528
2015-02-17,1.45302
2015-02-18,1.187418
2015-02-19,1.234288
2015-02-20,0.874937
2015-02-24,1.109297
2015-02-25,1.156188
2015-02-26,1.12492
2015-02-27,1.187417
2015-03-02,1.328012
2015-03-03,2.109226
2015-03-04,1.249909
2015-03-05,1.296804
2015-03-06,1.265517
2015-03-10,1.124919
2015-03-11,1.109296
2015-03-12,0.890562
2015-03-13,1.328033
2015-03-16,1.203039
2015-03-17,1.015554
2015-03-18,0.890581
2015-03-19,0.546816
2015-03-20,1.04682
2015-03-23,0.359331
2015-03-24,0.593709
2015-03-25,0.578084
2015-03-26,0.671827
2015-03-27,0.640578
2015-03-30,0.484362
2015-03-31,0.60933
2015-04-01,0.687451
2015-04-02,0.674137
2015-04-03,0.453091
2015-04-06,1.328032
2015-04-07,0.781176
2015-04-08,0.906186
2015-04-09,0.656203
2015-04-10,0.468717
2015-04-13,1.296802
2015-04-14,0.718679
2015-04-15,1.296785
2015-04-16,0.656204
2015-04-17,0.76557
2015-04-20,0.734323
2015-04-21,1.04682
2015-04-22,1.374884
2015-04-23,1.062425
2015-04-24,1.281159
2015-04-27,1.218664
2015-04-28,1.359281
2015-04-29,0.968698
2015-04-30,1.32803
2015-05-05,1.374886
2015-05-06,0.390615
2015-05-07,1.328031
2015-05-08,1.234287
2015-05-12,1.265518
2015-05-13,1.203058
2015-05-14,1.140527
2015-05-15,0.609349
2015-05-18,1.281142
2015-05-19,0.968679
2015-05-20,0.562462
2015-05-21,0.999948
2015-05-22,1.156148
2015-05-25,0.640599
2015-05-26,0.812444
2015-05-27,1.265535
2015-05-28,0.921791
