TRADEDATE,Seconds
2014-01-09,0.812444
2014-01-10,1.249913
2014-01-13,0.687453
2014-01-14,0.609336
2014-01-15,1.140546
2014-01-16,0.64058
2014-01-17,0.812444
2014-01-20,4.06222
2014-01-21,0.874941
2014-01-22,1.156167
2014-01-23,0.578088
2014-01-24,1.35928
2014-01-27,1.312408
2014-01-28,1.254069
2014-01-29,1.386949
2014-01-30,0.890563
2014-01-31,0.703076
2014-02-03,0.921812
2014-02-04,1.031179
2014-02-05,1.374905
2014-02-06,1.109298
2014-02-07,0.765572
2014-02-10,0.968684
2014-02-11,0.781196
2014-02-12,0.765571
2014-02-13,0.703078
2014-02-14,1.249913
2014-02-17,1.359282
2014-02-18,1.15617
2014-02-19,0.640581
2014-02-20,0.890563
2014-02-21,0.749947
2014-02-24,0.812446
2014-02-25,1.51552
2014-02-26,1.578016
2014-02-27,1.703008
2014-02-28,1.35928
2014-03-03,1.718632
2014-03-04,0.640582
2014-03-05,0.64058
2014-03-06,1.124923
2014-03-07,1.374904
2014-03-11,0.890565
2014-03-12,0.984307
2014-03-13,1.140546
2014-03-14,1.249913
2014-03-17,1.296788
2014-03-18,0.906187
2014-03-19,0.671829
2014-03-20,0.937436
2014-03-21,0.609332
2014-03-24,1.187419
2014-03-25,0.703074
2014-03-26,1.078052
2014-03-27,1.109299
2014-03-28,0.593709
2014-03-31,0.718701
2014-04-01,1.103266
2014-04-02,0.637634
2014-04-03,0.990433
2014-04-04,1.353226
2014-04-07,0.759564
2014-04-08,0.770206
2014-04-09,0.718701
2014-04-10,0.812444
2014-04-11,0.890561
2014-04-14,1.312411
2014-04-15,1.234291
2014-04-16,1.406152
2014-04-17,1.203042
2014-04-18,1.640512
2014-04-21,1.153496
2014-04-22,0.999932
2014-04-23,1.015555
2014-04-24,1.46865
2014-04-25,1.156171
2014-04-28,0.968684
2014-04-29,1.124921
2014-04-30,1.093676
2014-05-05,0.546837
2014-05-06,0.937435
2014-05-07,0.703077
2014-05-08,0.765572
2014-05-12,0.718698
2014-05-13,1.140549
2014-05-14,1.249914
2014-05-15,1.046802
2014-05-16,0.828068
2014-05-19,0.609333
2014-05-20,1.406153
2014-05-21,1.203041
2014-05-22,1.265536
2014-05-23,0.531213
2014-05-26,0.437469
2014-05-27,0.531215
2014-05-28,0.76557
2014-05-29,0.687451
2014-05-30,0.82807
2014-06-02,1.187418
2014-06-03,0.843692
2014-06-04,1.187418
2014-06-05,0.999931
2014-06-06,0.421845
2014-06-09,1.218665
2014-06-10,1.18742
2014-06-11,0.906187
2014-06-16,0.609333
2014-06-17,1.249914
2014-06-18,0.87494
2014-06-19,0.609333
2014-06-20,0.79682
2014-06-23,1.609264
2014-06-24,0.921811
2014-06-25,1.359282
2014-06-26,0.906186
2014-06-27,5.124648
2014-06-30,0.656205
2014-07-01,0.765572
2014-07-02,0.906187
2014-07-03,0.765571
2014-07-04,0.874941
2014-07-07,1.156167
2014-07-08,1.062431
2014-07-09,1.343656
2014-07-10,1.296785
2014-07-11,1.406154
2014-07-14,0.890561
2014-07-15,0.656207
2014-07-16,0.546836
2014-07-17,0.765573
2014-07-18,1.221683
2014-07-21,1.359281
2014-07-22,1.249914
2014-07-23,1.359279
2014-07-24,0.703079
2014-07-25,0.640579
2014-07-28,0.812444
2014-07-29,1.328034
2014-07-30,1.562392
2014-07-31,1.203042
2014-08-01,0.749949
2014-08-04,0.984307
2014-08-05,0.828067
2014-08-06,0.546835
2014-08-07,1.546771
2014-08-08,0.953056
2014-08-11,0.656208
2014-08-12,0.718701
2014-08-13,1.203042
2014-08-14,0.703076
2014-08-15,1.265538
2014-08-18,0.531214
2014-08-19,0.499965
2014-08-20,1.265537
2014-08-21,0.718701
2014-08-22,0.765572
2014-08-25,1.203041
2014-08-26,1.031179
2014-08-27,1.20304
2014-08-28,0.656206
2014-08-29,1.265537
2014-09-01,1.093676
2014-09-02,1.062425
2014-09-03,0.874939
2014-09-04,0.484338
2014-09-05,0.749949
2014-09-08,0.59371
2014-09-09,0.640577
2014-09-10,0.609336
2014-09-11,0.984307
2014-09-12,0.640578
2014-09-15,1.093677
2014-09-16,0.531214
2014-09-17,0.56246
2014-09-18,1.187419
2014-09-19,0.703077
2014-09-22,0.687452
2014-09-23,1.359281
2014-09-24,0.765572
2014-09-25,1.187417
2014-09-26,0.64058
2014-09-29,1.296787
2014-09-30,1.20304
2014-10-01,1.296789
2014-10-02,0.531213
2014-10-03,0.937436
2014-10-06,0.968681
2014-10-07,0.703077
2014-10-08,1.781128
2014-10-09,0.828068
2014-10-10,0.765572
2014-10-13,0.812443
2014-10-14,1.109298
2014-10-15,1.015557
2014-10-16,0.879085
2014-10-17,1.203042
2014-10-20,0.484342
2014-10-21,0.718699
2014-10-22,0.999931
2014-10-23,0.874941
2014-10-24,0.703077
2014-10-27,0.765571
2014-10-28,0.781198
2014-10-29,0.593706
2014-10-30,0.874941
2014-10-31,1.312411
2014-11-03,0.937435
2014-11-05,0.499964
2014-11-06,0.687454
2014-11-07,1.062427
2014-11-10,0.703076
2014-11-11,0.499965
2014-11-12,0.671828
2014-11-13,1.156172
2014-11-14,0.968683
2014-11-17,0.593708
2014-11-18,0.703077
2014-11-19,1.093673
2014-11-20,0.874942
2014-11-21,1.390529
2014-11-24,0.812443
2014-11-25,0.593709
2014-11-26,0.749949
2014-11-27,1.187418
2014-11-28,1.281161
2014-12-01,0.812444
2014-12-02,0.859316
2014-12-03,0.593709
2014-12-04,1.140546
2014-12-05,1.140547
2014-12-08,0.656204
2014-12-09,0.984308
2014-12-10,0.984307
2014-12-11,0.656204
2014-12-12,1.249913
2014-12-15,0.531211
2014-12-16,1.359285
2014-12-17,0.624955
2014-12-18,0.593711
2014-12-19,2.452956
2014-12-22,0.703075
2014-12-23,1.062428
2014-12-24,1.343657
2014-12-25,0.593707
2014-12-26,0.999931
2014-12-29,1.203044
2014-12-30,0.765572
2015-01-05,1.031176
2015-01-06,0.968685
2015-01-08,0.796821
2015-01-09,0.703076
2015-01-12,0.874938
2015-01-13,1.718634
