TRADEDATE,Seconds
2014-01-09,0.434769
2014-01-10,0.315819
2014-01-13,0.223856
2014-01-14,0.179913
2014-01-15,0.498699
2014-01-16,0.336828
2014-01-17,0.353797
2014-01-20,0.323796
2014-01-21,0.552684
2014-01-22,0.560678
2014-01-23,0.790547
2014-01-24,1.051417
2014-01-27,0.797544
2014-01-28,0.384779
2014-01-29,0.415762
2014-01-30,0.345802
2014-01-31,0.3498
2014-02-03,0.223892
2014-02-04,0.294811
2014-02-05,0.621661
2014-02-06,0.389776
2014-02-07,0.343791
2014-02-10,0.423775
2014-02-11,0.366769
2014-02-12,0.411764
2014-02-13,0.259855
2014-02-14,0.417779
2014-02-17,0.554664
2014-02-18,0.447742
2014-02-19,0.726586
2014-02-20,0.354795
2014-02-21,0.187894
2014-02-24,0.389775
2014-02-25,0.390797
2014-02-26,0.327792
2014-02-27,0.328812
2014-02-28,0.350799
2014-03-03,0.50773
2014-03-04,0.326794
2014-03-05,0.217876
2014-03-06,0.340802
2014-03-07,0.358797
2014-03-11,0.354811
2014-03-12,0.408752
2014-03-13,0.239863
2014-03-14,0.380801
2014-03-17,0.266827
2014-03-18,0.322815
2014-03-19,0.360793
2014-03-20,0.480727
2014-03-21,0.463735
2014-03-24,0.409764
2014-03-25,0.379782
2014-03-26,0.480725
2014-03-27,0.392776
2014-03-28,0.38378
2014-03-31,0.517724
2014-04-01,0.386779
2014-04-02,0.331789
2014-04-03,0.372789
2014-04-04,0.239861
2014-04-07,0.346801
2014-04-08,0.246874
2014-04-09,0.380787
2014-04-10,0.331792
2014-04-11,0.343822
2014-04-14,0.360773
2014-04-15,0.116932
2014-04-16,0.326816
2014-04-17,0.332828
2014-04-18,0.236846
2014-04-21,0.333827
2014-04-22,0.339785
2014-04-23,0.249873
2014-04-24,0.3218
2014-04-25,0.435751
2014-04-28,0.327812
2014-04-29,0.428755
2014-04-30,0.347802
2014-05-05,0.332808
2014-05-06,0.341826
2014-05-07,0.410746
2014-05-08,0.371787
2014-05-12,0.333807
2014-05-13,0.337807
2014-05-14,0.149916
2014-05-15,0.1729
2014-05-16,0.362794
2014-05-19,0.377797
2014-05-20,0.358799
2014-05-21,0.468712
2014-05-22,0.298829
2014-05-23,0.335808
2014-05-26,0.222874
2014-05-27,0.239882
2014-05-28,0.352778
2014-05-29,0.427756
2014-05-30,0.290852
2014-06-02,0.356796
2014-06-03,0.333788
2014-06-04,0.429754
2014-06-05,0.33383
2014-06-06,0.372768
2014-06-09,0.396772
2014-06-10,0.180898
2014-06-11,0.355794
2014-06-16,0.355807
2014-06-17,0.364801
2014-06-18,0.38478
2014-06-19,0.320797
2014-06-20,0.355816
2014-06-23,0.301806
2014-06-24,0.356798
2014-06-25,0.182893
2014-06-26,0.203885
2014-06-27,0.3828
2014-06-30,0.329793
2014-07-01,0.358795
2014-07-02,0.331811
2014-07-03,0.369785
2014-07-04,0.149915
2014-07-07,0.206884
2014-07-08,0.203883
2014-07-09,0.347798
2014-07-10,0.183894
2014-07-11,0.355796
2014-07-14,0.284858
2014-07-15,0.292812
2014-07-16,0.347803
2014-07-17,0.216895
2014-07-18,0.352793
2014-07-21,0.344803
2014-07-22,0.205887
2014-07-23,0.404747
2014-07-24,0.374806
2014-07-25,0.115934
2014-07-28,0.320795
2014-07-29,0.359815
2014-07-30,0.359795
2014-07-31,0.321797
2014-08-01,0.175918
2014-08-04,0.150918
2014-08-05,0.325814
2014-08-06,0.358775
2014-08-07,0.387798
2014-08-08,0.141918
2014-08-11,0.499715
2014-08-12,0.390776
2014-08-13,0.411746
2014-08-14,0.36579
2014-08-15,0.329809
2014-08-18,0.347821
2014-08-19,0.363773
2014-08-20,0.248877
2014-08-21,0.318818
2014-08-22,0.325798
2014-08-25,0.393776
2014-08-26,0.333822
2014-08-27,0.390761
2014-08-28,0.381783
2014-08-29,0.392793
2014-09-01,0.356797
2014-09-02,0.372768
2014-09-03,0.444743
2014-09-04,0.33481
2014-09-05,0.385798
2014-09-08,0.1739
2014-09-09,0.121931
2014-09-10,0.33479
2014-09-11,0.183893
2014-09-12,0.348821
2014-09-15,0.297808
2014-09-16,0.285857
2014-09-17,0.361775
2014-09-18,0.217875
2014-09-19,0.391794
2014-09-22,0.390758
2014-09-23,0.361812
2014-09-24,0.333788
2014-09-25,0.407769
2014-09-26,0.366788
2014-09-29,0.323815
2014-09-30,0.326815
2014-10-01,0.29385
2014-10-02,0.330811
2014-10-03,0.146916
2014-10-06,0.319812
2014-10-07,0.443732
2014-10-08,0.327812
2014-10-09,0.328831
2014-10-10,0.29783
2014-10-13,0.341788
2014-10-14,0.362794
2014-10-15,0.087968
2014-10-16,0.344803
2014-10-17,0.322797
2014-10-20,0.180894
2014-10-21,0.380785
2014-10-22,0.206879
2014-10-23,0.356796
2014-10-24,0.313841
2014-10-27,0.328791
2014-10-28,0.357798
2014-10-29,0.328809
2014-10-30,0.396775
2014-10-31,0.450743
2014-11-03,0.207899
2014-11-05,0.176878
2014-11-06,0.321837
2014-11-07,0.360793
2014-11-10,0.238863
2014-11-11,0.325794
2014-11-12,0.178897
2014-11-13,0.288855
2014-11-14,0.153891
2014-11-17,0.175903
2014-11-18,0.328809
2014-11-19,0.322835
2014-11-20,0.347783
2014-11-21,0.367788
2014-11-24,0.321816
2014-11-25,0.321815
2014-11-26,0.31784
2014-11-27,0.326793
2014-11-28,0.323813
2014-12-01,0.377805
2014-12-02,0.392775
2014-12-03,0.374765
2014-12-04,0.389779
2014-12-05,0.438767
2014-12-08,0.443747
2014-12-09,0.392754
2014-12-10,0.262871
2014-12-11,0.208861
2014-12-12,0.460737
2014-12-15,0.172901
2014-12-16,0.525699
2014-12-17,0.507728
2014-12-18,0.378763
2014-12-19,0.357795
2014-12-22,0.539693
2014-12-23,0.36779
2014-12-24,0.477725
2014-12-25,0.350798
2014-12-26,0.241864
2014-12-29,0.360794
2014-12-30,0.356814
2015-01-05,0.502713
2015-01-06,0.478707
2015-01-08,0.548705
2015-01-09,0.233847
2015-01-12,0.237882
2015-01-13,0.392757
2015-01-14,0.418759
2015-01-15,0.570675
2015-01-16,0.514705
2015-01-19,0.321814
2015-01-20,0.356797
2015-01-21,0.318836
2015-01-22,0.149898
2015-01-23,0.3808
2015-01-26,0.378763
2015-01-27,0.149916
2015-01-28,0.353796
2015-01-29,0.390778
2015-01-30,0.507707
2015-02-02,0.346804
2015-02-03,0.419758
2015-02-04,0.198888
2015-02-05,0.397773
2015-02-06,0.121929
2015-02-09,0.372787
2015-02-10,0.333809
2015-02-11,0.351817
2015-02-12,0.362797
2015-02-13,0.239842
2015-02-16,0.236885
2015-02-17,0.17788
2015-02-18,0.277841
2015-02-19,0.183894
2015-02-20,0.358815
2015-02-24,0.546667
2015-02-25,0.197886
2015-02-26,0.394794
2015-02-27,0.500699
2015-03-02,0.228868
2015-03-03,0.417781
2015-03-04,0.426737
2015-03-05,0.432751
2015-03-06,0.390797
2015-03-10,0.485717
2015-03-11,0.242847
2015-03-12,0.233864
2015-03-13,0.336809
2015-03-16,0.305845
2015-03-17,0.324813
2015-03-18,0.388757
2015-03-19,0.573672
2015-03-20,0.3528
2015-03-23,0.356815
2015-03-24,0.393756
2015-03-25,0.462735
2015-03-26,0.177896
2015-03-27,0.29885
2015-03-30,0.329794
2015-03-31,0.322832
2015-04-01,0.47671
2015-04-02,0.329832
2015-04-03,0.429755
2015-04-06,0.177897
2015-04-07,0.346784
2015-04-08,0.349799
2015-04-09,0.487719
2015-04-10,0.22787
2015-04-13,0.318838
2015-04-14,0.349795
2015-04-15,0.529702
2015-04-16,0.325814
2015-04-17,0.319798
2015-04-20,0.335807
2015-04-21,0.372787
2015-04-22,0.369789
2015-04-23,0.503709
2015-04-24,0.446745
2015-04-27,0.352814
2015-04-28,0.205886
2015-04-29,0.123909
2015-04-30,0.467732
2015-05-05,0.234886
2015-05-06,0.113915
2015-05-07,0.243861
2015-05-08,0.330809
2015-05-12,0.316819
2015-05-13,0.356804
2015-05-14,0.393767
2015-05-15,0.394776
2015-05-18,0.179915
2015-05-19,0.293812
2015-05-20,0.17592
2015-05-21,0.320795
2015-05-22,0.165908
2015-05-25,0.172899
2015-05-26,0.172921
2015-05-27,0.320796
2015-05-28,0.176899
2015-05-29,0.358794
2015-06-01,0.314841
2015-06-02,0.309802
2015-06-03,0.324814
2015-06-04,0.324815
2015-06-05,0.324814
2015-06-08,0.298849
2015-06-09,0.20786
2015-06-10,0.381782
2015-06-11,0.366811
2015-06-15,0.143918
2015-06-16,0.328792
2015-06-17,0.445765
2015-06-18,0.442727
2015-06-19,0.317816
2015-06-22,0.361796
2015-06-23,0.365789
2015-06-24,0.311821
2015-06-25,0.325834
2015-06-26,0.317798
2015-06-29,0.357797
2015-06-30,0.210897
2015-07-01,0.365771
2015-07-02,0.172901
2015-07-03,0.330811
2015-07-06,0.197889
2015-07-07,0.300827
2015-07-08,0.173899
2015-07-09,0.205882
2015-07-10,0.133926
2015-07-13,0.340823
2015-07-14,0.373786
2015-07-15,0.236847
2015-07-16,0.454739
2015-07-17,0.529696
2015-07-20,0.152927
2015-07-21,0.312805
2015-07-22,0.346802
2015-07-23,0.183896
2015-07-24,0.292834
2015-07-27,0.348799
2015-07-28,0.320836
2015-07-29,0.481706
2015-07-30,0.316817
2015-07-31,0.319818
2015-08-03,0.159909
2015-08-04,0.373805
2015-08-05,0.407748
2015-08-06,0.359794
