TRADEDATE,Seconds
2014-01-09,5.585167
2014-01-10,4.106677
2014-01-13,2.624817
2014-01-14,2.906029
2014-01-15,5.640837
2014-01-16,2.827929
2014-01-17,3.734113
2014-01-20,3.35966
2014-01-21,3.124763
2014-01-22,5.593983
2014-01-23,5.530865
2014-01-24,4.32782
2014-01-27,5.172155
2014-01-28,3.781003
2014-01-29,4.985276
2014-01-30,2.984166
2014-01-31,6.108921
2014-02-03,7.608845
2014-02-04,4.500195
2014-02-05,10.766314
2014-02-06,4.499663
2014-02-07,6.453656
2014-02-10,4.695955
2014-02-11,4.646871
2014-02-12,4.827785
2014-02-13,5.562342
2014-02-14,3.562232
2014-02-17,2.671706
2014-02-18,3.592662
2014-02-19,3.202883
2014-02-20,4.952778
2014-02-21,6.908726
2014-02-24,3.687224
2014-02-25,6.936881
2014-02-26,6.062785
2014-02-27,5.946682
2014-02-28,4.039409
2014-03-03,5.421494
2014-03-04,2.734166
2014-03-05,4.280924
2014-03-06,2.968543
2014-03-07,2.406082
2014-03-11,7.18586
2014-03-12,3.640351
2014-03-13,3.329704
2014-03-14,8.20255
2014-03-17,9.920655
2014-03-18,3.56346
2014-03-19,5.603072
2014-03-20,8.989549
2014-03-21,5.265256
2014-03-24,4.594083
2014-03-25,3.984114
2014-03-26,5.046572
2014-03-27,3.781005
2014-03-28,5.892767
2014-03-31,5.109017
2014-04-01,5.530384
2014-04-02,7.093256
2014-04-03,4.776473
2014-04-04,3.640371
2014-04-07,4.405943
2014-04-08,4.444253
2014-04-09,3.593519
2014-04-10,4.248454
2014-04-11,4.59343
2014-04-14,4.595436
2014-04-15,5.296483
2014-04-16,1.781125
2014-04-17,3.562808
2014-04-18,4.687173
2014-04-21,4.35907
2014-04-22,4.342278
2014-04-23,3.577877
2014-04-24,3.309173
2014-04-25,3.814882
2014-04-28,8.486778
2014-04-29,8.920492
2014-04-30,5.40589
2014-05-05,5.610064
2014-05-06,4.109087
2014-05-07,6.905709
2014-05-08,4.765275
2014-05-12,4.734061
2014-05-13,3.625374
2014-05-14,4.277664
2014-05-15,2.202951
2014-05-16,2.879434
2014-05-19,9.485404
2014-05-20,5.468367
2014-05-21,3.968473
2014-05-22,5.639725
2014-05-23,5.359
2014-05-26,5.593624
2014-05-27,2.390457
2014-05-28,3.390388
2014-05-29,7.34312
2014-05-30,6.779124
2014-06-02,6.343309
2014-06-03,6.581207
2014-06-04,9.62464
2014-06-05,6.64103
2014-06-06,6.358933
2014-06-09,7.187033
2014-06-10,10.047207
2014-06-11,6.952179
2014-06-16,7.838902
2014-06-17,9.600929
2014-06-18,6.514942
2014-06-19,4.374713
2014-06-20,5.498493
2014-06-23,6.733904
2014-06-24,4.859439
2014-06-25,4.327804
2014-06-26,5.531739
2014-06-27,4.999649
2014-06-30,3.499774
2014-07-01,8.627054
2014-07-02,9.56047
2014-07-03,9.062541
2014-07-04,4.472124
2014-07-07,5.700194
2014-07-08,5.796449
2014-07-09,5.593237
2014-07-10,5.155889
2014-07-11,5.062558
2014-07-14,4.145368
2014-07-15,5.964685
2014-07-16,6.983905
2014-07-17,6.436932
2014-07-18,5.655856
2014-07-21,4.296299
2014-07-22,4.515327
2014-07-23,2.374816
2014-07-24,6.203104
2014-07-25,5.094021
2014-07-28,4.95276
2014-07-29,4.234077
2014-07-30,2.693526
2014-07-31,7.733852
2014-08-01,2.90295
2014-08-04,2.984148
2014-08-05,3.1248
2014-08-06,2.921652
2014-08-07,3.812036
2014-08-08,2.874797
2014-08-11,3.015416
2014-08-12,2.93639
2014-08-13,7.624486
2014-08-14,3.315128
2014-08-15,5.655832
2014-08-18,2.79668
2014-08-19,3.686441
2014-08-20,3.859106
2014-08-21,2.396947
2014-08-22,3.198207
2014-08-25,2.781075
2014-08-26,5.764734
2014-08-27,2.546696
2014-08-28,3.202919
2014-08-29,8.251148
2014-09-01,3.640391
2014-09-02,4.686142
2014-09-03,2.812284
2014-09-04,6.003021
2014-09-05,2.734183
2014-09-08,2.921669
2014-09-09,2.95292
2014-09-10,3.685822
2014-09-11,5.069128
2014-09-12,3.260703
2014-09-15,2.586218
2014-09-16,3.140405
2014-09-17,4.381892
2014-09-18,4.530931
2014-09-19,2.687333
2014-09-22,3.265395
2014-09-23,6.577186
2014-09-24,2.999808
2014-09-25,3.57915
2014-09-26,8.405681
2014-09-29,6.421276
2014-09-30,5.843752
2014-10-01,3.296643
2014-10-02,6.189825
2014-10-03,3.593497
2014-10-06,4.280932
2014-10-07,2.484203
2014-10-08,2.873729
2014-10-09,3.234131
2014-10-10,2.624817
2014-10-13,7.829822
2014-10-14,5.906662
2014-10-15,2.327965
2014-10-16,2.874817
2014-10-17,2.062357
2014-10-20,2.35919
2014-10-21,2.747497
2014-10-22,4.624654
2014-10-23,3.049556
2014-10-24,2.359211
2014-10-27,3.214431
2014-10-28,2.952921
2014-10-29,3.830305
2014-10-30,5.093394
2014-10-31,2.40608
2014-11-03,2.283511
2014-11-05,3.656014
2014-11-06,2.781036
2014-11-07,7.827026
2014-11-10,9.235351
2014-11-11,4.374693
2014-11-12,2.781038
2014-11-13,7.889876
2014-11-14,3.750757
2014-11-17,7.792428
2014-11-18,3.051261
2014-11-19,3.859123
2014-11-20,3.327892
2014-11-21,2.859677
2014-11-24,4.484042
2014-11-25,3.640371
2014-11-26,7.065734
2014-11-27,6.465508
2014-11-28,8.889983
2014-12-01,4.201159
2014-12-02,9.345864
2014-12-03,4.624696
2014-12-04,3.859085
2014-12-05,6.593214
2014-12-08,9.816538
2014-12-09,4.902749
2014-12-10,5.233991
2014-12-11,3.671619
2014-12-12,3.686953
2014-12-15,3.296644
2014-12-16,5.421496
2014-12-17,6.420552
2014-12-18,2.874778
2014-12-19,4.60788
2014-12-22,3.015396
2014-12-23,3.249791
2014-12-24,3.347935
2014-12-25,2.609191
2014-12-26,2.99979
2014-12-29,4.124711
2014-12-30,3.718336
2015-01-05,2.67169
2015-01-06,6.767463
2015-01-08,3.499753
2015-01-09,3.593499
2015-01-12,3.219464
2015-01-13,7.296364
2015-01-14,3.719435
2015-01-15,3.577876
2015-01-16,3.450191
2015-01-19,4.455196
2015-01-20,2.921651
2015-01-21,3.515378
2015-01-22,4.045599
2015-01-23,2.687332
2015-01-26,6.642145
2015-01-27,5.59336
2015-01-28,2.803632
2015-01-29,4.117148
2015-01-30,3.12478
2015-02-02,2.71858
2015-02-03,2.375383
2015-02-04,2.890403
2015-02-05,2.76543
2015-02-06,3.359139
2015-02-09,3.125733
2015-02-10,3.67162
2015-02-11,3.609141
2015-02-12,3.361175
2015-02-13,2.124853
2015-02-16,3.140406
2015-02-17,3.905822
2015-02-18,2.859174
2015-02-19,4.077839
2015-02-20,2.98437
2015-02-24,3.515398
2015-02-25,4.87464
2015-02-26,2.468364
2015-02-27,4.780935
2015-03-02,3.531003
2015-03-03,3.906294
2015-03-04,5.030899
2015-03-05,3.46909
2015-03-06,3.546484
2015-03-10,3.374767
2015-03-11,2.656082
2015-03-12,3.484416
2015-03-13,3.234149
2015-03-16,3.015433
2015-03-17,3.95412
2015-03-18,8.608774
2015-03-19,4.596301
2015-03-20,3.202901
2015-03-23,6.390644
2015-03-24,4.780932
2015-03-25,7.732777
2015-03-26,7.046536
2015-03-27,9.171251
2015-03-30,3.765157
2015-03-31,2.984147
2015-04-01,7.797749
2015-04-02,5.655854
2015-04-03,7.466783
2015-04-06,9.486638
2015-04-07,5.296203
2015-04-08,8.062463
2015-04-09,9.01835
2015-04-10,8.356443
2015-04-13,7.486989
2015-04-14,8.358808
2015-04-15,7.028225
2015-04-16,9.672106
2015-04-17,9.546646
2015-04-20,8.093691
2015-04-21,5.937085
2015-04-22,5.408024
2015-04-23,4.468459
2015-04-24,3.390389
2015-04-27,7.093568
2015-04-28,4.687852
2015-04-29,9.140005
2015-04-30,3.201313
2015-05-05,5.921461
2015-05-06,3.88058
2015-05-07,4.343468
2015-05-08,5.761532
2015-05-12,3.780986
2015-05-13,6.483896
2015-05-14,4.515291
2015-05-15,5.702726
2015-05-18,3.703751
2015-05-19,2.093624
2015-05-20,3.546627
2015-05-21,8.250147
2015-05-22,10.234307
2015-05-25,3.535746
2015-05-26,7.636423
2015-05-27,4.783667
2015-05-28,5.155908
2015-05-29,3.856998
2015-06-01,3.921599
2015-06-02,2.406085
2015-06-03,3.81225
2015-06-04,3.360562
2015-06-05,3.281022
2015-06-08,3.468527
2015-06-09,3.453292
2015-06-10,2.734203
2015-06-11,3.062266
2015-06-15,3.109209
2015-06-16,3.848061
2015-06-17,6.573676
2015-06-18,2.827927
2015-06-19,3.702864
2015-06-22,3.280769
2015-06-23,3.15603
2015-06-24,2.4842
2015-06-25,2.468598
2015-06-26,4.297047
2015-06-29,4.702796
2015-06-30,3.374783
2015-07-01,3.548683
2015-07-02,3.218546
2015-07-03,3.156029
2015-07-06,3.624464
2015-07-07,3.109176
2015-07-08,3.624728
2015-07-09,4.428836
2015-07-10,1.874891
2015-07-13,2.807573
2015-07-14,3.343082
2015-07-15,3.655995
2015-07-16,2.952937
2015-07-17,4.951784
2015-07-20,3.655993
2015-07-21,2.374836
2015-07-22,7.078266
2015-07-23,2.796662
2015-07-24,6.814577
2015-07-27,7.483852
2015-07-28,7.921435
2015-07-29,2.827927
2015-07-30,2.358697
2015-07-31,2.613603
2015-08-03,4.343467
2015-08-04,3.57397
2015-08-05,2.187347
2015-08-06,3.187296
2015-08-07,2.781055
2015-08-10,3.17162
