TRADEDATE,Seconds
2014-01-09,6.124565
2014-01-10,5.624601
2014-01-13,6.959987
2014-01-14,6.015216
2014-01-15,3.624726
2014-01-16,6.390173
2014-01-17,3.343513
2014-01-20,6.546412
2014-01-21,6.921385
2014-01-22,6.06207
2014-01-23,5.983953
2014-01-24,5.405868
2014-01-27,7.327624
2014-01-28,5.905028
2014-01-29,4.952773
2014-01-30,6.446372
2014-01-31,6.271374
2014-02-03,6.265164
2014-02-04,6.405815
2014-02-05,6.405777
2014-02-06,5.374622
2014-02-07,5.187132
2014-02-10,5.515235
2014-02-11,5.668019
2014-02-12,7.796324
2014-02-13,4.952795
2014-02-14,6.78075
2014-02-17,3.796607
2014-02-18,2.546694
2014-02-19,3.343512
2014-02-20,2.796699
2014-02-21,4.530928
2014-02-24,8.233792
2014-02-25,7.358838
2014-02-26,5.793454
2014-02-27,2.781055
2014-02-28,4.765283
2014-03-03,6.515167
2014-03-04,6.624414
2014-03-05,5.358997
2014-03-06,4.796533
2014-03-07,6.796395
2014-03-11,3.281038
2014-03-12,4.421544
2014-03-13,3.390402
2014-03-14,3.062284
2014-03-17,7.075249
2014-03-18,2.734181
2014-03-19,3.124797
2014-03-20,8.140051
2014-03-21,3.874725
2014-03-24,5.233987
2014-03-25,5.17151
2014-03-26,5.640245
2014-03-27,5.515215
2014-03-28,7.608836
2014-03-31,4.202847
2014-04-01,7.29634
2014-04-02,5.401975
2014-04-03,6.562058
2014-04-04,6.462304
2014-04-07,5.736722
2014-04-08,5.155868
2014-04-09,5.515234
2014-04-10,5.420448
2014-04-11,7.280755
2014-04-14,3.437258
2014-04-15,6.921385
2014-04-16,5.020127
2014-04-17,4.890261
2014-04-18,6.202705
2014-04-21,5.773716
2014-04-22,2.631527
2014-04-23,5.030875
2014-04-24,4.765288
2014-04-25,3.812231
2014-04-28,2.124867
2014-04-29,4.04657
2014-04-30,5.343374
2014-05-05,5.765217
2014-05-06,3.562246
2014-05-07,4.900514
2014-05-08,6.265161
2014-05-12,6.9839
2014-05-13,4.452793
2014-05-14,5.124637
2014-05-15,7.062
2014-05-16,5.993489
2014-05-19,10.561865
2014-05-20,6.640155
2014-05-21,4.81214
2014-05-22,5.775646
2014-05-23,4.984003
2014-05-26,8.26504
2014-05-27,6.046447
2014-05-28,3.562265
2014-05-29,7.483847
2014-05-30,6.983863
2014-06-02,5.109014
2014-06-03,6.249576
2014-06-04,9.732794
2014-06-05,7.405725
2014-06-06,8.522757
2014-06-09,6.062069
2014-06-10,10.38989
2014-06-11,7.70258
2014-06-16,8.249417
2014-06-17,8.983736
2014-06-18,7.811946
2014-06-19,6.089816
2014-06-20,7.46824
2014-06-23,5.655832
2014-06-24,4.259157
2014-06-25,4.499663
2014-06-26,7.249486
2014-06-27,7.780699
2014-06-30,6.062092
2014-07-01,8.843105
2014-07-02,3.609139
2014-07-03,8.839111
2014-07-04,7.515072
2014-07-07,7.640088
2014-07-08,5.155903
2014-07-09,4.562159
2014-07-10,7.030753
2014-07-11,6.093337
2014-07-14,8.296289
2014-07-15,10.000606
2014-07-16,10.327394
2014-07-17,5.295409
2014-07-18,5.140262
2014-07-21,7.077605
2014-07-22,7.296358
2014-07-23,4.780911
2014-07-24,3.202898
2014-07-25,6.983883
2014-07-28,6.483935
2014-07-29,7.114718
2014-07-30,5.296501
2014-07-31,10.530484
2014-08-01,5.796467
2014-08-04,10.452405
2014-08-05,5.640207
2014-08-06,7.827569
2014-08-07,4.671547
2014-08-08,7.586143
2014-08-11,3.609101
2014-08-12,3.702881
2014-08-13,4.796517
2014-08-14,7.868334
2014-08-15,3.914584
2014-08-18,4.562176
2014-08-19,6.29643
2014-08-20,5.530877
2014-08-21,4.827765
2014-08-22,5.009161
2014-08-25,2.624833
2014-08-26,4.876959
2014-08-27,8.015076
2014-08-28,3.968448
2014-08-29,10.46801
2014-09-01,8.06195
2014-09-02,6.687027
2014-09-03,4.562158
2014-09-04,6.437046
2014-09-05,2.81232
2014-09-08,9.174903
2014-09-09,4.718397
2014-09-10,3.265392
2014-09-11,9.874303
2014-09-12,3.421634
2014-09-15,9.968063
2014-09-16,7.218221
2014-09-17,3.843478
2014-09-18,2.640437
2014-09-19,3.937223
2014-09-22,5.024857
2014-09-23,4.243238
2014-09-24,7.390083
2014-09-25,6.468291
2014-09-26,2.937296
2014-09-29,7.321018
2014-09-30,7.001965
2014-10-01,7.249488
2014-10-02,6.452687
2014-10-03,6.468275
2014-10-06,6.796392
2014-10-07,4.836993
2014-10-08,6.218311
2014-10-09,5.343372
2014-10-10,8.54627
2014-10-13,9.131978
2014-10-14,10.171174
2014-10-15,3.468487
2014-10-16,8.765005
2014-10-17,10.120104
2014-10-20,7.499492
2014-10-21,6.952612
2014-10-22,2.624794
2014-10-23,6.624533
2014-10-24,3.484128
2014-10-27,6.358943
2014-10-28,6.343302
2014-10-29,3.633824
2014-10-30,3.765341
2014-10-31,6.827642
2014-11-03,2.812302
2014-11-05,9.38996
2014-11-06,6.82766
2014-11-07,4.796517
2014-11-10,10.343017
2014-11-11,8.140069
2014-11-12,5.171492
2014-11-13,10.126558
2014-11-14,5.968309
2014-11-17,8.890014
2014-11-18,6.124548
2014-11-19,6.140191
2014-11-20,6.655798
2014-11-21,4.96838
2014-11-24,7.452599
2014-11-25,8.226591
2014-11-26,9.358712
2014-11-27,9.749028
2014-11-28,5.34337
2014-12-01,4.093462
2014-12-02,8.71837
2014-12-03,10.23367
2014-12-04,5.89021
2014-12-05,10.344087
2014-12-08,8.95251
2014-12-09,6.249557
2014-12-10,4.390314
2014-12-11,5.749577
2014-12-12,7.39012
2014-12-15,8.046287
2014-12-16,5.874604
2014-12-17,9.015934
2014-12-18,3.655991
2014-12-19,10.233632
2014-12-22,9.389961
2014-12-23,6.218329
2014-12-24,7.327607
2014-12-25,9.490124
2014-12-26,9.546202
