TRADEDATE,Seconds
2014-01-09,17.739875
2014-01-10,8.694037
2014-01-13,7.441753
2014-01-14,6.90206
2014-01-15,13.70018
2014-01-16,15.470171
2014-01-17,10.190183
2014-01-20,20.692191
2014-01-21,9.090811
2014-01-22,12.716742
2014-01-23,14.011003
2014-01-24,17.878795
2014-01-27,19.986593
2014-01-28,13.677194
2014-01-29,21.859033
2014-01-30,13.915057
2014-01-31,11.0387
2014-02-03,17.537991
2014-02-04,23.920348
2014-02-05,13.299408
2014-02-06,20.771144
2014-02-07,12.124081
2014-02-10,20.834108
2014-02-11,19.837678
2014-02-12,19.714748
2014-02-13,9.235729
2014-02-14,11.677334
2014-02-17,19.286993
2014-02-18,9.30269
2014-02-19,19.934623
2014-02-20,19.994588
2014-02-21,20.797129
2014-02-24,12.049123
2014-02-25,6.476303
2014-02-26,17.359092
2014-02-27,19.907638
2014-02-28,18.438476
2014-03-03,20.335394
2014-03-04,19.467888
2014-03-05,11.683333
2014-03-06,19.400437
2014-03-07,12.12508
2014-03-11,23.388651
2014-03-12,8.998864
2014-03-13,20.81412
2014-03-14,5.862654
2014-03-17,14.286846
2014-03-18,14.692614
2014-03-19,9.857374
2014-03-20,6.001575
2014-03-21,8.356231
2014-03-24,20.64022
2014-03-25,24.909783
2014-03-26,11.65135
2014-03-27,14.064973
2014-03-28,13.474309
2014-03-31,7.143923
2014-04-01,8.886927
2014-04-02,7.155915
2014-04-03,20.887079
2014-04-04,26.677774
2014-04-07,18.701325
2014-04-08,8.084387
2014-04-09,19.72774
2014-04-10,20.686193
2014-04-11,20.634731
2014-04-14,8.967881
2014-04-15,9.247721
2014-04-16,7.798549
2014-04-17,25.01972
2014-04-18,20.16549
2014-04-21,19.561836
2014-04-22,12.293983
2014-04-23,12.49187
2014-04-24,8.579103
2014-04-25,22.115378
2014-04-28,25.613381
2014-04-29,6.190466
2014-04-30,14.902494
2014-05-05,7.154916
2014-05-06,15.15335
2014-05-07,20.474314
2014-05-08,8.763998
2014-05-12,11.410486
2014-05-13,5.560827
2014-05-14,23.738451
2014-05-15,10.935757
2014-05-16,19.314978
2014-05-19,20.804125
2014-05-20,8.70903
2014-05-21,7.558686
2014-05-22,9.939327
2014-05-23,7.233871
2014-05-26,19.669773
2014-05-27,12.323966
2014-05-28,24.763866
2014-05-29,7.39278
2014-05-30,21.082968
2014-06-02,15.928908
2014-06-03,6.074533
2014-06-04,9.361656
2014-06-05,11.161629
2014-06-06,19.795702
2014-06-09,15.738018
2014-06-10,11.432474
2014-06-11,8.470166
2014-06-16,18.384507
2014-06-17,21.070974
2014-06-18,9.342667
2014-06-19,17.196186
2014-06-20,11.49244
2014-06-23,24.855815
2014-06-24,24.403073
2014-06-25,9.35366
2014-06-26,7.223877
2014-06-27,21.048986
2014-06-30,18.37851
2014-07-01,14.83953
2014-07-02,8.562112
2014-07-03,22.167349
2014-07-04,9.970313
2014-07-07,11.870223
2014-07-08,3.998717
2014-07-09,18.875226
2014-07-10,7.86751
2014-07-11,19.795702
2014-07-14,20.439334
2014-07-15,24.602958
2014-07-16,10.702891
2014-07-17,11.784274
2014-07-18,1.800972
2014-07-21,19.164063
2014-07-22,5.679758
2014-07-23,5.033127
2014-07-24,7.23587
2014-07-25,19.732737
2014-07-28,22.100387
2014-07-29,15.745013
2014-07-30,19.937621
2014-07-31,14.358805
2014-08-01,7.000005
2014-08-04,19.601813
2014-08-05,15.99687
2014-08-06,21.431768
2014-08-07,19.026144
2014-08-08,11.136639
2014-08-11,9.296694
2014-08-12,11.839243
2014-08-13,17.498012
2014-08-14,11.129648
2014-08-15,8.613083
2014-08-18,5.594807
2014-08-19,9.686472
2014-08-20,6.595236
2014-08-21,7.432758
2014-08-22,14.428764
2014-08-25,12.696753
2014-08-26,7.649635
2014-08-27,19.964606
2014-08-28,7.290838
2014-08-29,20.665715
2014-09-01,10.660915
2014-09-02,14.335818
2014-09-03,26.404929
2014-09-04,17.510006
2014-09-05,19.714748
2014-09-08,20.182481
2014-09-09,11.743298
2014-09-10,9.733444
2014-09-11,9.547551
2014-09-12,17.637934
2014-09-15,14.553693
2014-09-16,19.530853
2014-09-17,8.929902
2014-09-18,13.222454
2014-09-19,7.478731
2014-09-22,20.036564
2014-09-23,10.972737
