TRADEDATE,Seconds
2014-01-09,16.701999
2014-01-10,14.95208
2014-01-13,7.405742
2014-01-14,6.515179
2014-01-15,8.015074
2014-01-16,16.405125
2014-01-17,7.515109
2014-01-20,9.483745
2014-01-21,8.702528
2014-01-22,10.624251
2014-01-23,12.061672
2014-01-24,13.04598
2014-01-27,17.4207
2014-01-28,16.405126
2014-01-29,16.3895
2014-01-30,11.561707
2014-01-31,16.967565
2014-02-03,11.092991
2014-02-04,15.967655
2014-02-05,16.514509
2014-02-06,13.217844
2014-02-07,12.648963
2014-02-10,16.638498
2014-02-11,15.627501
2014-02-12,5.983984
2014-02-13,6.952628
2014-02-14,14.186527
2014-02-17,15.38959
2014-02-18,7.468217
2014-02-19,15.920786
2014-02-20,16.014525
2014-02-21,15.577054
2014-02-24,8.280702
2014-02-25,7.92133
2014-02-26,2.406087
2014-02-27,2.406085
2014-02-28,2.609175
2014-03-03,2.562327
2014-03-04,2.546699
2014-03-05,2.54672
2014-03-06,2.5467
2014-03-07,2.734186
2014-03-11,2.734189
2014-03-12,2.718562
2014-03-13,2.874784
2014-03-14,2.78106
2014-03-17,2.70294
2014-03-18,2.75912
2014-03-19,2.718547
2014-03-20,2.888063
2014-03-21,2.796664
2014-03-24,2.843553
2014-03-25,2.781059
2014-03-26,2.952942
2014-03-27,2.796685
2014-03-28,2.890405
2014-03-31,2.999814
2014-04-01,3.015399
2014-04-02,2.874823
2014-04-03,2.906031
2014-04-04,2.952921
2014-04-07,2.952925
2014-04-08,2.921674
2014-04-09,2.781078
2014-04-10,2.968526
2014-04-11,2.890429
2014-04-14,2.843554
2014-04-15,2.952924
2014-04-16,3.015435
2014-04-17,2.843537
2014-04-18,2.890426
2014-04-21,2.906051
2014-04-22,3.624749
2014-04-23,3.21855
2014-04-24,3.06227
2014-04-25,3.046686
2014-04-28,3.046666
2014-04-29,3.093537
2014-04-30,3.109144
2014-05-05,2.890425
2014-05-06,2.952943
2014-05-07,2.999794
2014-05-08,3.077913
2014-05-12,3.046665
2014-05-13,2.781041
2014-05-14,2.952922
2014-05-15,2.968549
2014-05-16,2.812305
2014-05-19,3.140409
2014-05-20,3.09354
2014-05-21,2.984167
2014-05-22,2.931292
2014-05-23,2.984152
2014-05-26,2.981835
2014-05-27,2.843574
2014-05-28,2.859162
2014-05-29,2.874802
2014-05-30,3.077914
2014-06-02,2.85918
2014-06-03,2.812307
2014-06-04,2.827929
2014-06-05,2.952942
2014-06-06,2.890428
2014-06-09,2.999794
2014-06-10,2.968545
2014-06-11,2.999774
2014-06-16,2.952923
2014-06-17,2.890428
2014-06-18,3.062291
2014-06-19,3.03106
2014-06-20,3.06229
2014-06-23,3.109142
2014-06-24,2.952922
2014-06-25,2.961434
2014-06-26,2.98417
2014-06-27,3.18275
2014-06-30,3.124806
2014-07-01,2.890407
2014-07-02,2.999814
2014-07-03,3.140389
2014-07-04,3.023938
2014-07-07,2.999795
2014-07-08,3.742024
2014-07-09,2.95292
2014-07-10,2.906071
2014-07-11,3.077914
2014-07-14,3.312272
2014-07-15,3.093539
2014-07-16,3.593484
2014-07-17,3.124787
2014-07-18,3.062287
2014-07-21,2.999796
2014-07-22,2.921695
2014-07-23,3.093517
2014-07-24,3.43134
2014-07-25,4.654355
2014-07-28,3.859111
2014-07-29,4.124717
2014-07-30,4.046598
2014-07-31,3.187279
2014-08-01,2.968546
2014-08-04,3.06231
2014-08-05,3.046666
2014-08-06,3.109143
2014-08-07,3.140408
2014-08-08,2.984171
2014-08-11,2.937318
2014-08-12,3.109144
2014-08-13,3.124783
2014-08-14,3.109162
2014-08-15,3.093539
2014-08-18,3.14043
2014-08-19,3.109141
2014-08-20,3.062309
2014-08-21,2.999775
2014-08-22,2.999814
2014-08-25,2.98417
2014-08-26,3.077895
2014-08-27,3.031061
2014-08-28,3.031022
2014-08-29,3.14043
2014-09-01,3.109141
2014-09-02,3.062292
2014-09-03,3.10916
2014-09-04,3.031043
2014-09-05,3.312272
2014-09-08,3.93723
2014-09-09,3.796614
2014-09-10,3.859109
2014-09-11,3.593505
2014-09-12,3.890359
2014-09-15,3.499759
2014-09-16,3.60913
2014-09-17,3.624768
2014-09-18,3.766
2014-09-19,3.406938
2014-09-22,3.905982
2014-09-23,3.234152
2014-09-24,3.06231
2014-09-25,3.133779
2014-09-26,3.015417
2014-09-29,3.132478
2014-09-30,3.171658
2014-10-01,3.077914
2014-10-02,2.999792
2014-10-03,3.046667
2014-10-06,2.961942
2014-10-07,3.06229
2014-10-08,3.195534
2014-10-09,3.218528
2014-10-10,3.218528
2014-10-13,3.156036
2014-10-14,3.10918
2014-10-15,3.056701
2014-10-16,3.077498
2014-10-17,3.093539
2014-10-20,2.952942
2014-10-21,3.077913
2014-10-22,3.265403
2014-10-23,2.98417
2014-10-24,3.093536
2014-10-27,3.249757
2014-10-28,3.093559
2014-10-29,3.234135
2014-10-30,3.187299
2014-10-31,3.296651
2014-11-03,2.671688
2014-11-05,3.202887
2014-11-06,3.06229
2014-11-07,3.2654
2014-11-10,3.265422
2014-11-11,3.218509
2014-11-12,3.187281
2014-11-13,3.171677
2014-11-14,3.06227
2014-11-17,3.187302
2014-11-18,3.093518
2014-11-19,3.124805
2014-11-20,3.171658
2014-11-21,3.171638
2014-11-24,3.202924
2014-11-25,3.671602
2014-11-26,3.312293
2014-11-27,3.21851
2014-11-28,3.249777
2014-12-01,3.156034
2014-12-02,3.124787
2014-12-03,3.171656
2014-12-04,3.218548
2014-12-05,3.281026
2014-12-08,3.249759
2014-12-09,3.312271
2014-12-10,3.359143
2014-12-11,3.093539
2014-12-12,3.156052
2014-12-15,3.140391
2014-12-16,3.29665
2014-12-17,3.234172
2014-12-18,3.109162
2014-12-19,3.312273
2014-12-22,3.234132
2014-12-23,3.171657
2014-12-24,3.124807
2014-12-25,3.124784
2014-12-26,3.031043
2014-12-29,3.171638
2014-12-30,3.077935
2015-01-05,2.843554
2015-01-06,2.952922
2015-01-08,2.85916
2015-01-09,2.921673
2015-01-12,3.015418
2015-01-13,3.234173
2015-01-14,3.093518
2015-01-15,3.046666
2015-01-16,3.06231
2015-01-19,3.093519
2015-01-20,3.093556
2015-01-21,3.171656
2015-01-22,3.187264
2015-01-23,3.077934
2015-01-26,3.187281
2015-01-27,3.077894
2015-01-28,3.109163
2015-01-29,3.046664
2015-01-30,3.077914
2015-02-02,3.124807
2015-02-03,3.343502
2015-02-04,3.265399
2015-02-05,3.046668
2015-02-06,3.171655
2015-02-09,3.156033
2015-02-10,3.265421
2015-02-11,3.124765
2015-02-12,3.202927
2015-02-13,3.202904
2015-02-16,3.093518
2015-02-17,3.171676
2015-02-18,3.265403
2015-02-19,3.187262
2015-02-20,3.062309
2015-02-24,3.031024
2015-02-25,3.015416
2015-02-26,2.937299
2015-02-27,3.077913
2015-03-02,3.140409
2015-03-03,3.14041
2015-03-04,3.093539
2015-03-05,3.015438
2015-03-06,3.156012
2015-03-10,2.906072
2015-03-11,3.140389
2015-03-12,3.921608
2015-03-13,3.046684
2015-03-16,3.109162
2015-03-17,2.999794
2015-03-18,3.062269
2015-03-19,2.937299
2015-03-20,2.999795
2015-03-23,3.156032
2015-03-24,3.09354
2015-03-25,3.109162
2015-03-26,3.156052
2015-03-27,3.202885
2015-03-30,3.109182
2015-03-31,3.140409
2015-04-01,3.156015
2015-04-02,3.124805
2015-04-03,3.093517
2015-04-06,2.999794
2015-04-07,3.171659
2015-04-08,3.14041
2015-04-09,3.171676
2015-04-10,3.187281
2015-04-13,3.077914
2015-04-14,3.093517
2015-04-15,3.031063
2015-04-16,3.202905
2015-04-17,3.077913
2015-04-20,3.140411
2015-04-21,3.171636
2015-04-22,3.156055
2015-04-23,2.962521
2015-04-24,3.031041
2015-04-27,3.019753
2015-04-28,2.98415
2015-04-29,2.952922
2015-04-30,3.156033
2015-05-05,3.296655
2015-05-06,3.249791
2015-05-07,3.17164
2015-05-08,3.093555
2015-05-12,3.046667
2015-05-13,3.015398
2015-05-14,3.124787
2015-05-15,2.98417
2015-05-18,3.087663
2015-05-19,3.132527
2015-05-20,3.109161
2015-05-21,3.171678
2015-05-22,3.124768
2015-05-25,3.062287
2015-05-26,3.234154
2015-05-27,3.243188
2015-05-28,3.309245
2015-05-29,3.202924
2015-06-01,3.234155
2015-06-02,3.390373
2015-06-03,3.312273
2015-06-04,3.281044
2015-06-05,3.296631
2015-06-08,3.171655
2015-06-09,2.984191
2015-06-10,3.140408
2015-06-11,3.249778
2015-06-15,3.624751
2015-06-16,3.265384
2015-06-17,3.281022
2015-06-18,3.265421
2015-06-19,3.234153
2015-06-22,3.218531
2015-06-23,3.218507
2015-06-24,3.046667
2015-06-25,2.984189
2015-06-26,3.327878
2015-06-29,3.156053
2015-06-30,3.187261
2015-07-01,3.265401
2015-07-02,3.171679
2015-07-03,3.156012
2015-07-06,3.187282
2015-07-07,3.249777
2015-07-08,3.156055
2015-07-09,3.234151
2015-07-10,3.327879
2015-07-13,3.124785
2015-07-14,3.343519
2015-07-15,3.265403
2015-07-16,3.312271
2015-07-17,3.265402
2015-07-20,3.202905
2015-07-21,3.327896
2015-07-22,3.187301
2015-07-23,2.9373
2015-07-24,3.171636
2015-07-27,3.109164
2015-07-28,3.281043
2015-07-29,3.249758
2015-07-30,3.171657
2015-07-31,3.156052
2015-08-03,3.187282
2015-08-04,3.249777
2015-08-05,3.29663
2015-08-06,3.234152
2015-08-07,3.156052
2015-08-10,3.234155
2015-08-11,3.405997
2015-08-12,3.140409
2015-08-13,3.296668
2015-08-14,3.124786
2015-08-17,3.14041
2015-08-18,3.234152
2015-08-19,3.343522
2015-08-20,3.249777
2015-08-21,3.234133
2015-08-24,3.2654
2015-08-25,3.202926
2015-08-26,3.118951
2015-08-27,3.245841
2015-08-28,3.312272
2015-08-31,3.062271
2015-09-01,3.171658
2015-09-02,3.171657
2015-09-03,3.62477
2015-09-04,3.046646
2015-09-07,3.202926
2015-09-08,3.093519
2015-09-09,3.234151
2015-09-10,3.124787
2015-09-11,3.171657
2015-09-14,3.202904
2015-09-15,3.202926
2015-09-16,3.2654
2015-09-17,3.156015
2015-09-18,3.249799
2015-09-21,3.234131
2015-09-22,3.234172
2015-09-23,3.249757
2015-09-24,3.171678
2015-09-25,3.281004
2015-09-28,3.156054
2015-09-29,3.171639
2015-09-30,3.156052
2015-10-01,3.202906
2015-10-02,3.140389
2015-10-05,3.202926
2015-10-06,3.202886
2015-10-07,3.265401
2015-10-08,3.124786
2015-10-09,3.249776
2015-10-12,3.202924
2015-10-13,3.21851
2015-10-14,3.506475
2015-10-15,3.21853
2015-10-16,3.202908
2015-10-19,3.281022
2015-10-20,3.187301
2015-10-21,3.202887
2015-10-22,3.187279
2015-10-23,3.265402
2015-10-26,3.187282
2015-10-27,3.171678
2015-10-28,3.343519
2015-10-29,3.390371
2015-10-30,4.062223
2015-11-02,3.640375
2015-11-03,3.374768
2015-11-05,3.265422
2015-11-06,3.187262
2015-11-09,3.296648
2015-11-10,3.234151
2015-11-11,3.827865
2015-11-12,3.1873
2015-11-13,3.077896
2015-11-16,3.154092
2015-11-17,3.187281
2015-11-18,3.218509
2015-11-19,3.265422
2015-11-20,3.281025
2015-11-23,3.18726
2015-11-24,3.156036
2015-11-25,3.202924
2015-11-26,3.202905
2015-11-27,3.249777
2015-11-30,3.171657
2015-12-01,3.202906
2015-12-02,3.140391
2015-12-03,3.156032
2015-12-04,3.218549
2015-12-07,3.249756
2015-12-08,3.202907
2015-12-09,3.202905
2015-12-10,3.281024
2015-12-11,3.218529
2015-12-14,3.109161
2015-12-15,3.187303
2015-12-16,3.218509
2015-12-17,3.18728
2015-12-18,3.187302
2015-12-21,3.249759
2015-12-22,3.140408
2015-12-23,3.187302
2015-12-24,3.156033
2015-12-25,3.234153
2015-12-28,3.21853
2015-12-29,3.18728
2015-12-30,3.187282
2016-01-04,3.093538
2016-01-05,3.015399
2016-01-06,3.18728
2016-01-11,3.093539
2016-01-12,3.140429
2016-01-13,3.124766
2016-01-14,3.234154
2016-01-15,3.234173
2016-01-18,3.093535
2016-01-19,3.202888
2016-01-20,3.140428
2016-01-21,3.124766
2016-01-22,3.124804
2016-01-25,3.17164
2016-01-26,3.171656
2016-01-27,3.140411
2016-01-28,3.187299
2016-01-29,3.202907
2016-02-01,3.156012
2016-02-02,3.265423
2016-02-03,3.234133
2016-02-04,3.202904
2016-02-05,3.171677
2016-02-08,3.234134
2016-02-09,3.124787
2016-02-10,3.171656
2016-02-11,3.218548
2016-02-12,3.156013
2016-02-15,3.191303
2016-02-16,3.353832
2016-02-17,3.327918
2016-02-18,3.327897
2016-02-19,3.343501
2016-02-20,3.249777
2016-02-22,2.999814
2016-02-24,3.249758
2016-02-25,3.374767
2016-02-26,3.2654
2016-02-29,3.24372
2016-03-01,3.385645
2016-03-02,3.374769
2016-03-03,3.249798
2016-03-04,3.343501
2016-03-07,3.218547
2016-03-09,3.312274
2016-03-10,3.359126
2016-03-11,3.281023
2016-03-14,3.212152
2016-03-15,3.234172
2016-03-16,3.3321
2016-03-17,3.234154
2016-03-18,3.218548
2016-03-21,3.406015
2016-03-22,3.202888
2016-03-23,3.22812
2016-03-24,3.246564
2016-03-25,3.327916
2016-03-28,3.202905
2016-03-29,3.218509
2016-03-30,3.296648
2016-03-31,3.312274
2016-04-01,3.156053
2016-04-04,3.202885
2016-04-05,3.249777
2016-04-06,3.180674
2016-04-07,3.31761
2016-04-08,3.312275
2016-04-11,3.296647
2016-04-12,3.343521
2016-04-13,3.327919
2016-04-14,3.202882
2016-04-15,3.265421
2016-04-18,3.296629
2016-04-19,3.249779
2016-04-20,3.202923
2016-04-21,3.329516
2016-04-22,3.187278
2016-04-25,3.281028
2016-04-26,3.296628
2016-04-27,3.156034
2016-04-28,3.383324
2016-04-29,3.351758
2016-05-04,3.171657
2016-05-05,3.202925
2016-05-06,3.327877
2016-05-10,3.234174
2016-05-11,3.169547
2016-05-12,3.218529
2016-05-13,3.298853
2016-05-16,3.218528
2016-05-17,3.296629
2016-05-18,3.296651
2016-05-19,3.234152
2016-05-20,3.228048
2016-05-23,3.306447
2016-05-24,3.21851
2016-05-25,3.156034
2016-05-26,3.218529
2016-05-27,3.234153
2016-05-30,3.249778
2016-05-31,3.296646
2016-06-01,3.202906
2016-06-02,3.212491
2016-06-03,3.202905
2016-06-06,3.36486
2016-06-07,3.249757
2016-06-08,3.234154
2016-06-09,3.281044
2016-06-10,3.187263
2016-06-14,3.19799
2016-06-15,3.286768
2016-06-16,3.202926
2016-06-17,3.218529
2016-06-20,3.124786
2016-06-21,3.249777
2016-06-22,3.228121
2016-06-23,3.321431
2016-06-24,3.312294
2016-06-27,3.202886
2016-06-28,3.249795
2016-06-29,3.343503
2016-06-30,3.26542
2016-07-01,3.234134
2016-07-04,3.281023
2016-07-05,3.234174
2016-07-06,3.359125
2016-07-07,3.281024
2016-07-08,3.187301
2016-07-11,3.21851
2016-07-12,3.234153
2016-07-13,3.374788
2016-07-14,3.93721
2016-07-15,3.26542
2016-07-18,3.249759
2016-07-19,3.171677
2016-07-20,3.296628
2016-07-21,3.374769
2016-07-22,3.359144
2016-07-25,3.281025
2016-07-26,3.187301
2016-07-27,3.45287
