TRADEDATE,Seconds
2014-01-09,9.794585000000001
2014-01-10,10.841775
2014-01-13,13.592813
2014-01-14,17.787207000000002
2014-01-15,6.909064
2014-01-16,7.865855000000001
2014-01-17,17.918965
2014-01-20,7.161343
2014-01-21,26.603827000000003
2014-01-22,3.81224
2014-01-23,9.038159
2014-01-24,6.327938
2014-01-27,5.937089
2014-01-28,7.670644
2014-01-29,6.638546000000001
2014-01-30,6.422001
2014-01-31,14.991451000000001
2014-02-03,4.343451
2014-02-04,28.638332000000002
2014-02-05,5.218269
2014-02-06,23.616356
2014-02-07,4.854899
2014-02-10,11.982565
2014-02-11,21.866885999999997
2014-02-12,9.96519
2014-02-13,9.25868
2014-02-14,6.693376
2014-02-17,8.809807000000001
2014-02-18,35.788810999999995
2014-02-19,3.622236
2014-02-20,5.452232
2014-02-21,5.631387
2014-02-24,4.974851999999999
2014-02-25,5.190269
2014-02-26,24.003224
2014-02-27,12.071902
2014-02-28,39.406003000000005
2014-03-03,4.3255669999999995
2014-03-04,7.185009
2014-03-05,20.064933
2014-03-06,23.615436
2014-03-07,23.704665
2014-03-11,11.057596
2014-03-12,13.803486
2014-03-13,9.088179
2014-03-14,13.847551999999999
2014-03-17,6.783582000000001
2014-03-18,6.568636
2014-03-19,2.890854
2014-03-20,6.903992
2014-03-21,10.376024000000001
2014-03-24,10.219999000000001
2014-03-25,11.934889
2014-03-26,7.577603
2014-03-27,22.478428
2014-03-28,9.94036
2014-03-31,4.684327
2014-04-01,7.976014
2014-04-02,13.758067
2014-04-03,26.236182
2014-04-04,5.293667
2014-04-07,18.68993
2014-04-08,27.471675
2014-04-09,8.201375
2014-04-10,29.732326
2014-04-11,20.665529
2014-04-14,9.686833
2014-04-15,21.914206
2014-04-16,17.104609
2014-04-17,25.102825
2014-04-18,5.846838
2014-04-21,13.372506
2014-04-22,30.393926
2014-04-23,3.321736
2014-04-24,6.398084
2014-04-25,5.049963
2014-04-28,7.280163000000001
2014-04-29,6.578355
2014-04-30,18.164533
2014-05-05,26.12653
2014-05-06,28.885745
2014-05-07,24.045665
2014-05-08,9.817872
2014-05-12,4.048198999999999
2014-05-13,15.796588
2014-05-14,19.768817000000002
2014-05-15,3.452007
2014-05-16,34.138271
2014-05-19,48.28201
2014-05-20,12.686176
2014-05-21,27.168725
2014-05-22,7.956074
2014-05-23,43.98704
2014-05-26,4.979972
2014-05-27,19.378613
2014-05-28,7.204528999999999
2014-05-29,23.751366
2014-05-30,8.196582000000001
2014-06-02,25.264262
2014-06-03,5.566346
2014-06-04,4.171587000000001
2014-06-05,15.467684
2014-06-06,9.959674
2014-06-09,5.143441
2014-06-10,15.319253
2014-06-11,21.812791
2014-06-16,5.622547
2014-06-17,7.311998
2014-06-18,20.607395
2014-06-19,5.886674
2014-06-20,9.694566
2014-06-23,26.377113
2014-06-24,10.329467
2014-06-25,3.202904
2014-06-26,12.961078
2014-06-27,23.717113
2014-06-30,11.389839
2014-07-01,15.397008
2014-07-02,5.465959
2014-07-03,4.148885
2014-07-04,5.905843
2014-07-07,4.3887849999999995
2014-07-08,9.926013000000001
2014-07-09,25.957207
2014-07-10,27.200225
2014-07-11,7.835798
2014-07-14,8.84781
2014-07-15,8.233807
2014-07-16,5.082299
2014-07-17,16.113534
2014-07-18,7.651146000000001
2014-07-21,16.655101000000002
2014-07-22,16.779692
2014-07-23,6.974096
2014-07-24,12.145485
2014-07-25,35.231947
2014-07-28,8.104460000000001
2014-07-29,8.106448
2014-07-30,4.643483
2014-07-31,5.275797
2014-08-01,5.5661190000000005
2014-08-04,5.150197
2014-08-05,31.716562
2014-08-06,7.1303279999999996
2014-08-07,26.223328000000002
2014-08-08,10.270064999999999
2014-08-11,8.366552
2014-08-12,20.311099
2014-08-13,8.212484
2014-08-14,13.055828
2014-08-15,11.494147
2014-08-18,9.211253
2014-08-19,8.220194000000001
2014-08-20,5.562119
2014-08-21,4.238437
2014-08-22,3.3974349999999998
2014-08-25,31.282875
2014-08-26,11.247552
2014-08-27,14.238802
2014-08-28,13.569196
2014-08-29,43.167305999999996
2014-09-01,8.672153
2014-09-02,15.345436999999999
2014-09-03,12.073922999999999
2014-09-04,7.2796080000000005
2014-09-05,16.077018
2014-09-08,6.39785
