TRADEDATE,Seconds
2014-01-09,9.974847
2014-01-10,0.343725
2014-01-13,0.374977
2014-01-14,0.343705
2014-01-15,0.359369
2014-01-16,0.374974
2014-01-17,0.343725
2014-01-20,0.374953
2014-01-21,0.374976
2014-01-22,0.343726
2014-01-23,0.35935
2014-01-24,2.641819
2014-01-27,2.859174
2014-01-28,0.35933
2014-01-29,4.827787
2014-01-30,0.359352
2014-01-31,10.0927
2014-02-03,11.108795
2014-02-04,0.374973
2014-02-05,0.968702
2014-02-06,11.844798
2014-02-07,12.260645
2014-02-10,6.812024
2014-02-11,0.343725
2014-02-12,0.343727
2014-02-13,0.396044
2014-02-14,0.359328
2014-02-17,0.343728
2014-02-18,0.390617
2014-02-19,0.343707
2014-02-20,0.359368
2014-02-21,0.343726
2014-02-24,0.343708
2014-02-25,1.828015
2014-02-26,3.42917
2014-02-27,2.671688
2014-02-28,3.198215
2014-03-03,0.359349
2014-03-04,0.343727
2014-03-05,0.35935
2014-03-06,9.278995
2014-03-07,0.374974
2014-03-11,8.812277
2014-03-12,5.608983
2014-03-13,2.343605
2014-03-14,1.062425
2014-03-17,0.921792
2014-03-18,4.577438
2014-03-19,2.531053
2014-03-20,2.99981
2014-03-21,4.252526
2014-03-24,7.374484
2014-03-25,3.342318
2014-03-26,3.734115
2014-03-27,10.562521
2014-03-28,7.827795
2014-03-31,3.671618
2014-04-01,12.093672
2014-04-02,11.015297
2014-04-03,2.845608
2014-04-04,2.687311
2014-04-07,6.296414
2014-04-08,6.280521
2014-04-09,5.405893
2014-04-10,9.968542
2014-04-11,9.469306
2014-04-14,7.765037
2014-04-15,3.640371
2014-04-16,6.799747
2014-04-17,11.074656
2014-04-18,3.796628
2014-04-21,2.970579
2014-04-22,6.921408
2014-04-23,2.904844
2014-04-24,0.359351
2014-04-25,5.718368
2014-04-28,2.421706
2014-04-29,2.828948
2014-04-30,9.6409
2014-05-05,9.249335
2014-05-06,3.002344
2014-05-07,11.933717
2014-05-08,1.062444
2014-05-12,11.83181
2014-05-13,6.045049
2014-05-14,2.906068
2014-05-15,3.28102
2014-05-16,5.28117
2014-05-19,2.734163
2014-05-20,10.783398
2014-05-21,3.046679
2014-05-22,9.449205
2014-05-23,3.802083
2014-05-26,11.417428
2014-05-27,4.718402
2014-05-28,3.390406
2014-05-29,4.796722
2014-05-30,5.593359
2014-06-02,4.157929
2014-06-03,6.483923
2014-06-04,6.750861
2014-06-05,6.311358
2014-06-06,1.51554
2014-06-09,4.655924
2014-06-10,3.079342
2014-06-11,3.546627
2014-06-16,4.234097
2014-06-17,1.656135
2014-06-18,0.373832
2014-06-19,3.484112
2014-06-20,1.015554
2014-06-23,5.483989
2014-06-24,10.141029
2014-06-25,1.43742
2014-06-26,9.797402
2014-06-27,4.799616
2014-06-30,6.826549
2014-07-01,5.452743
2014-07-02,3.702865
2014-07-03,4.329373
2014-07-04,5.546507
2014-07-07,5.217253
2014-07-08,6.218316
2014-07-09,10.609597
2014-07-10,1.015535
2014-07-11,6.999509
2014-07-14,9.531754
2014-07-15,3.28102
2014-07-16,7.172488
2014-07-17,6.250305
2014-07-18,3.530982
2014-07-21,8.482668
2014-07-22,10.484092
2014-07-23,2.577945
2014-07-24,3.124781
2014-07-25,5.423054
2014-07-28,6.577666
2014-07-29,0.890581
2014-07-30,3.812295
2014-07-31,0.859297
2014-08-01,3.671618
2014-08-04,5.47
2014-08-05,13.030202
2014-08-06,1.984236
2014-08-07,5.749009
2014-08-08,1.765501
2014-08-11,3.046662
2014-08-12,6.250272
2014-08-13,5.530864
2014-08-14,4.064194
2014-08-15,1.187417
2014-08-18,5.030898
2014-08-19,4.283046
2014-08-20,8.265064
2014-08-21,5.248772
2014-08-22,3.702886
2014-08-25,2.374834
2014-08-26,6.139466
2014-08-27,3.359141
2014-08-28,5.734701
2014-08-29,11.608548
2014-09-01,3.712607
2014-09-02,10.380465
2014-09-03,5.205055
2014-09-04,11.718045
2014-09-05,4.921531
2014-09-08,3.172398
2014-09-09,2.265466
2014-09-10,1.859245
2014-09-11,1.546767
2014-09-12,2.312338
2014-09-15,5.108331
2014-09-16,4.968384
2014-09-17,3.268719
2014-09-18,1.968592
2014-09-19,1.765503
2014-09-22,4.062216
2014-09-23,2.498098
2014-09-24,3.999719
2014-09-25,3.905959
2014-09-26,5.907865
2014-09-29,2.296694
2014-09-30,3.406011
2014-10-01,4.577168
2014-10-02,5.312129
2014-10-03,4.922406
2014-10-06,5.452724
2014-10-07,3.814636
2014-10-08,2.781057
2014-10-09,5.764994
2014-10-10,3.43728
2014-10-13,9.264673
2014-10-14,8.686914
2014-10-15,3.424385
2014-10-16,5.265234
2014-10-17,2.21964
2014-10-20,5.280901
2014-10-21,4.249703
2014-10-22,1.561062
2014-10-23,4.905909
2014-10-24,4.718419
2014-10-27,4.845271
2014-10-28,4.421547
2014-10-29,0.812461
2014-10-30,1.468787
2014-10-31,5.374624
2014-11-03,3.765341
2014-11-05,4.295167
2014-11-06,5.921477
2014-11-07,9.125353
2014-11-10,4.673747
2014-11-11,7.499476
2014-11-12,4.278405
2014-11-13,0.874957
2014-11-14,0.734324
2014-11-17,1.343656
2014-11-18,2.734183
2014-11-19,4.238553
2014-11-20,2.874798
2014-11-21,5.216003
2014-11-24,3.109157
2014-11-25,2.656065
2014-11-26,0.906187
2014-11-27,0.921809
2014-11-28,5.079243
2014-12-01,3.452884
2014-12-02,0.749948
2014-12-03,5.875617
2014-12-04,5.343374
2014-12-05,6.420431
2014-12-08,4.921512
2014-12-09,3.031039
2014-12-10,0.265624
2014-12-11,4.515474
2014-12-12,2.687333
2014-12-15,2.56232
2014-12-16,0.937434
2014-12-17,0.265607
2014-12-18,0.267907
2014-12-19,0.265585
2014-12-22,0.374994
2014-12-23,0.343726
2014-12-24,0.421845
2014-12-25,1.390528
2014-12-26,1.359261
2014-12-29,0.343747
2014-12-30,1.84362
2015-01-05,6.217398
2015-01-06,0.374992
2015-01-08,0.265606
2015-01-09,0.359331
2015-01-12,0.343745
2015-01-13,0.265589
2015-01-14,4.952796
2015-01-15,0.249964
2015-01-16,4.064194
2015-01-19,0.265589
2015-01-20,0.265606
2015-01-21,0.250001
2015-01-22,0.374973
2015-01-23,0.343727
2015-01-26,0.374953
2015-01-27,0.343728
2015-01-28,0.359368
2015-01-29,0.343725
2015-01-30,0.343708
2015-02-02,0.265625
2015-02-03,0.35935
2015-02-04,0.328084
2015-02-05,0.265624
2015-02-06,0.249964
2015-02-09,0.249983
2015-02-10,0.718706
2015-02-11,0.249993
2015-02-12,0.234359
2015-02-13,0.234339
2015-02-16,0.265609
2015-02-17,0.234375
2015-02-18,0.249966
2015-02-19,0.265603
2015-02-20,0.375166
2015-02-24,7.499457
2015-02-25,6.139488
2015-02-26,1.374904
2015-02-27,0.343708
2015-03-02,0.265625
2015-03-03,0.249982
2015-03-04,0.249983
2015-03-05,0.23434
2015-03-06,4.546577
2015-03-10,0.343724
2015-03-11,0.374953
2015-03-12,4.205558
2015-03-13,0.35935
2015-03-16,0.249983
2015-03-17,6.528817
2015-03-18,0.906186
2015-03-19,1.890475
2015-03-20,4.609052
2015-03-23,6.76848
2015-03-24,0.265606
2015-03-25,2.890402
2015-03-26,0.265606
2015-03-27,8.6692
2015-03-30,2.577945
2015-03-31,2.065603
2015-04-01,4.499685
2015-04-02,0.828086
2015-04-03,5.779652
2015-04-06,3.390369
2015-04-07,4.04659
2015-04-08,3.59476
2015-04-09,3.343495
2015-04-10,3.109177
2015-04-13,3.140386
2015-04-14,2.875045
2015-04-15,11.219795
2015-04-16,0.984305
2015-04-17,4.359071
2015-04-20,4.671147
2015-04-21,7.030779
2015-04-22,2.046594
2015-04-23,1.046802
2015-04-24,3.812233
2015-04-27,4.687172
2015-04-28,2.190936
2015-04-29,6.030827
2015-04-30,8.012973
2015-05-05,3.171652
2015-05-06,1.249893
2015-05-07,3.017611
2015-05-08,1.99986
2015-05-12,2.734184
2015-05-13,1.109297
2015-05-14,2.904949
2015-05-15,2.35921
2015-05-18,0.281212
2015-05-19,2.562339
2015-05-20,1.906117
2015-05-21,3.031628
2015-05-22,3.734116
2015-05-25,2.12487
2015-05-26,7.500147
2015-05-27,2.390457
2015-05-28,2.343566
2015-05-29,0.265609
2015-06-01,2.60921
2015-06-02,2.550135
2015-06-03,1.718648
2015-06-04,3.202882
2015-06-05,3.562269
2015-06-08,3.513931
2015-06-09,0.859296
2015-06-10,0.984324
2015-06-11,5.296504
2015-06-15,1.001651
2015-06-16,0.374973
2015-06-17,0.249982
2015-06-18,5.655855
2015-06-19,0.828066
2015-06-22,0.749929
2015-06-23,0.92183
2015-06-24,2.513686
2015-06-25,6.76517
2015-06-26,1.265537
2015-06-29,6.594803
2015-06-30,4.452815
2015-07-01,6.390939
2015-07-02,5.361794
2015-07-03,5.591773
2015-07-06,3.468528
2015-07-07,5.904604
2015-07-08,3.99972
2015-07-09,6.721615
2015-07-10,5.28088
2015-07-13,3.827209
2015-07-14,3.812216
2015-07-15,1.171791
2015-07-16,2.937314
2015-07-17,2.000526
2015-07-20,4.374713
2015-07-21,4.562181
2015-07-22,8.064007
2015-07-23,2.406102
2015-07-24,10.199913
2015-07-27,6.957168
2015-07-28,0.671828
2015-07-29,2.031089
2015-07-30,3.98055
2015-07-31,3.749756
2015-08-03,7.610393
2015-08-04,4.343446
2015-08-05,2.046732
2015-08-06,7.779935
2015-08-07,5.971174
2015-08-10,3.124801
2015-08-11,5.608984
2015-08-12,4.749009
2015-08-13,9.268515
2015-08-14,2.374834
2015-08-17,2.749789
2015-08-18,4.2803
2015-08-19,0.921811
2015-08-20,9.341828
2015-08-21,1.734252
2015-08-24,8.673151
2015-08-25,10.046129
2015-08-26,0.890564
2015-08-27,5.51524
2015-08-28,3.999738
2015-08-31,0.688787
2015-09-01,3.64037
2015-09-02,3.609121
2015-09-03,1.312409
2015-09-04,7.233686
2015-09-07,3.343534
2015-09-08,2.561725
2015-09-09,5.562131
2015-09-10,5.750465
2015-09-11,6.108926
2015-09-14,1.156191
2015-09-15,4.861281
2015-09-16,3.343535
2015-09-17,0.843691
2015-09-18,5.890704
2015-09-21,3.531022
2015-09-22,0.953057
2015-09-23,1.484272
2015-09-24,6.454145
2015-09-25,3.702865
2015-09-28,2.342846
2015-09-29,1.515519
2015-09-30,3.749717
2015-10-01,7.435958
2015-10-02,2.109226
2015-10-05,4.296557
2015-10-06,2.954463
2015-10-07,1.265555
2015-10-08,4.468416
2015-10-09,1.828018
2015-10-12,2.814193
2015-10-13,4.734022
2015-10-14,9.094042
2015-10-15,3.609122
2015-10-16,2.609193
2015-10-19,10.04762
2015-10-20,5.061192
2015-10-21,0.906188
2015-10-22,13.655013
2015-10-23,8.782126
2015-10-26,1.328033
2015-10-27,6.57705
2015-10-28,3.890352
2015-10-29,0.890545
2015-10-30,4.500715
2015-11-02,15.733554
2015-11-03,6.030737
2015-11-05,0.828047
2015-11-06,0.874938
2015-11-09,2.140495
2015-11-10,2.687294
2015-11-11,10.749124
2015-11-12,3.970954
2015-11-13,2.577927
2015-11-16,4.84343
2015-11-17,2.735732
2015-11-18,5.499615
2015-11-19,2.484201
2015-11-20,0.95304
2015-11-23,5.046897
2015-11-24,4.20283
2015-11-25,4.748413
2015-11-26,4.421585
2015-11-27,5.796538
2015-11-30,5.140248
2015-12-01,5.656432
2015-12-02,2.124853
2015-12-03,2.109246
2015-12-04,0.374973
2015-12-07,0.35935
2015-12-08,4.812763
2015-12-09,0.390579
2015-12-10,13.298118
2015-12-11,5.374605
2015-12-14,6.032674
2015-12-15,13.044644
2015-12-16,3.766038
2015-12-17,2.296714
2015-12-18,0.374954
2015-12-21,1.921761
2015-12-22,2.968542
2015-12-23,3.233648
2015-12-24,2.843551
2015-12-25,2.796698
2015-12-28,1.07803
2015-12-29,1.093693
2015-12-30,0.249983
2016-01-04,0.35935
2016-01-05,4.35993
2016-01-06,0.281249
2016-01-11,9.25162
2016-01-12,0.374956
2016-01-13,4.265345
2016-01-14,2.921651
2016-01-15,3.780406
2016-01-18,0.796839
2016-01-19,0.249965
2016-01-20,0.812442
2016-01-21,1.046821
2016-01-22,3.18726
2016-01-25,6.95427
2016-01-26,12.763216
2016-01-27,2.768489
2016-01-28,2.421706
2016-01-29,1.827998
2016-02-01,3.281038
2016-02-02,5.812529
2016-02-03,2.984188
2016-02-04,5.750138
2016-02-05,5.530844
2016-02-08,5.872676
2016-02-09,5.999561
2016-02-10,3.688993
2016-02-11,8.155676
2016-02-12,6.125729
2016-02-15,3.624764
2016-02-16,1.359282
2016-02-17,1.124648
2016-02-18,0.249964
2016-02-19,0.828085
2016-02-20,7.405714
2016-02-22,1.40617
2016-02-24,2.563281
2016-02-25,1.499877
2016-02-26,7.984988
2016-02-29,0.843691
2016-03-01,1.781126
2016-03-02,1.92174
2016-03-03,2.64044
2016-03-04,10.31191
2016-03-07,2.140476
2016-03-09,12.610165
2016-03-10,1.249893
2016-03-11,0.984326
2016-03-14,3.530984
2016-03-15,1.624906
2016-03-16,11.528291
2016-03-17,0.624978
2016-03-18,14.173155
2016-03-21,12.282339
2016-03-22,13.795285
2016-03-23,13.609348
2016-03-24,1.48427
2016-03-25,11.112408
2016-03-28,17.857703
2016-03-29,11.560804
2016-03-30,14.124126
2016-03-31,18.470362
2016-04-01,13.466672
2016-04-04,12.047749
2016-04-05,12.798004
2016-04-06,1.218646
2016-04-07,6.186375
2016-04-08,10.206102
2016-04-11,10.529053
2016-04-12,18.481696
2016-04-13,17.532814
2016-04-14,15.688133
2016-04-15,7.530743
2016-04-18,4.109322
2016-04-19,18.842573
2016-04-20,0.249982
2016-04-21,0.531215
2016-04-22,14.358805
2016-04-25,13.268282
2016-04-26,13.278496
2016-04-27,10.765448
2016-04-28,20.48473
2016-04-29,9.827022
2016-05-04,18.921371
2016-05-05,15.001086
2016-05-06,11.40471
2016-05-10,0.546837
2016-05-11,14.860232
2016-05-12,3.937226
2016-05-13,2.812283
2016-05-16,1.361041
2016-05-17,15.544212
2016-05-18,2.687312
2016-05-19,5.564274
2016-05-20,2.234201
2016-05-23,2.296733
2016-05-24,2.187328
2016-05-25,3.593731
2016-05-26,3.999738
2016-05-27,3.546628
2016-05-30,3.563212
2016-05-31,1.999838
2016-06-01,3.702867
2016-06-02,3.202755
2016-06-03,2.531054
2016-06-06,3.234167
2016-06-07,2.468577
2016-06-08,2.515964
2016-06-09,2.296733
2016-06-10,0.843691
2016-06-14,0.890564
2016-06-15,1.99984
2016-06-16,0.859316
2016-06-17,0.874938
2016-06-20,2.15655
2016-06-21,0.890563
2016-06-22,2.843532
2016-06-23,2.890441
2016-06-24,15.971278
2016-06-27,12.03032
2016-06-28,0.890582
2016-06-29,2.749806
2016-06-30,3.234224
2016-07-01,2.999771
2016-07-04,0.874956
2016-07-05,0.890564
2016-07-06,0.859295
2016-07-07,2.171743
2016-07-08,2.124851
2016-07-11,2.218892
2016-07-12,0.859333
2016-07-13,1.874868
2016-07-14,0.890564
2016-07-15,1.468629
2016-07-18,1.421793
2016-07-19,1.562375
2016-07-20,0.796835
2016-07-21,2.093933
2016-07-22,2.374835
2016-07-25,1.343635
2016-07-26,11.607609
2016-07-27,7.157405
2016-07-28,16.750769
2016-07-29,0.609312
2016-08-01,1.202796
2016-08-02,1.43738
2016-08-03,11.373625
