TRADEDATE,Seconds
2014-01-09,23.842064
2014-01-10,8.655638
2014-01-13,17.490031
2014-01-14,5.390246
2014-01-15,8.233793
2014-01-16,8.887294
2014-01-17,10.967975
2014-01-20,10.639873
2014-01-21,13.02812
2014-01-22,24.982607
2014-01-23,11.030469
2014-01-24,8.8275
2014-01-27,3.281018
2014-01-28,6.808917
2014-01-29,21.170378
2014-01-30,11.530452
2014-01-31,10.155512
2014-02-03,12.274133
2014-02-04,20.592293
2014-02-05,4.515324
2014-02-06,24.617823
2014-02-07,15.936373
2014-02-10,7.090053
2014-02-11,10.577396
2014-02-12,6.530768
2014-02-13,14.827096
2014-02-14,6.575528
2014-02-17,10.702386
2014-02-18,6.905743
2014-02-19,11.999152
2014-02-20,4.890278
2014-02-21,4.946834
2014-02-24,9.876341
2014-02-25,5.749572
2014-02-26,24.194831
2014-02-27,6.499543
2014-02-28,6.384896
2014-03-03,2.231151
2014-03-04,6.733898
2014-03-05,20.914554
2014-03-06,8.390033
2014-03-07,15.929574
2014-03-11,9.258875
2014-03-12,2.17911
2014-03-13,15.123929
2014-03-14,2.140473
2014-03-17,3.509403
2014-03-18,11.874159
2014-03-19,3.718488
2014-03-20,3.046677
2014-03-21,3.671617
2014-03-24,14.702083
2014-03-25,9.171208
2014-03-26,23.517703
2014-03-27,11.821326
2014-03-28,26.3352
2014-03-31,5.515251
2014-04-01,7.158124
2014-04-02,22.420306
2014-04-03,10.952333
2014-04-04,10.967974
2014-04-07,10.452385
2014-04-08,10.860796
2014-04-09,10.139924
2014-04-10,21.998427
2014-04-11,12.655375
2014-04-14,22.377145
2014-04-15,11.139856
2014-04-16,11.061699
2014-04-17,10.702386
2014-04-18,4.48404
2014-04-21,4.562177
2014-04-22,23.956956
2014-04-23,8.1088
2014-04-24,13.514652
2014-04-25,3.593513
2014-04-28,3.156009
2014-04-29,2.156098
2014-04-30,13.361303
2014-05-05,3.296642
2014-05-06,2.218592
2014-05-07,17.093999
2014-05-08,14.686461
2014-05-12,23.172898
2014-05-13,12.244606
2014-05-14,2.093583
2014-05-15,9.546217
2014-05-16,5.17151
2014-05-19,11.311679
2014-05-20,25.682602
2014-05-21,18.404948
2014-05-22,15.936393
2014-05-23,9.89896
2014-05-26,3.533885
2014-05-27,8.374426
2014-05-28,5.420005
2014-05-29,20.36454
2014-05-30,11.374196
2014-06-02,7.62446
2014-06-03,11.3117
2014-06-04,12.64031
2014-06-05,10.139905
2014-06-06,7.233865
2014-06-09,10.827359
2014-06-10,11.368047
2014-06-11,3.889922
2014-06-16,11.33757
2014-06-17,2.062335
2014-06-18,9.608697
2014-06-19,3.820735
2014-06-20,11.617766
2014-06-23,11.077322
2014-06-24,5.749611
2014-06-25,5.718329
2014-06-26,6.562036
2014-06-27,11.983631
2014-06-30,12.795968
2014-07-01,15.373913
2014-07-02,4.640298
2014-07-03,10.061786
2014-07-04,11.754707
2014-07-07,10.577376
2014-07-08,11.496851
2014-07-09,5.515235
2014-07-10,3.602676
2014-07-11,10.884972
2014-07-14,8.265042
2014-07-15,15.59303
2014-07-16,16.778002
2014-07-17,5.733968
2014-07-18,7.695944
2014-07-21,17.683855
2014-07-22,13.911732
2014-07-23,3.249768
2014-07-24,6.624535
2014-07-25,13.295933
2014-07-28,9.671211
2014-07-29,3.562229
2014-07-30,4.202846
2014-07-31,6.187044
2014-08-01,2.855861
2014-08-04,3.937223
2014-08-05,5.218379
2014-08-06,8.671262
2014-08-07,13.639662
2014-08-08,6.18706
2014-08-11,6.062091
2014-08-12,8.21817
2014-08-13,15.316206
2014-08-14,4.42158
2014-08-15,2.671668
2014-08-18,6.468311
2014-08-19,2.156098
2014-08-20,2.68729
2014-08-21,5.171512
2014-08-22,6.10894
2014-08-25,8.046307
2014-08-26,11.465595
2014-08-27,2.866877
2014-08-28,4.796518
2014-08-29,7.796323
2014-09-01,18.635895
2014-09-02,15.047438
2014-09-03,11.686654
2014-09-04,13.971531
2014-09-05,4.624673
2014-09-08,6.358945
2014-09-09,2.859154
2014-09-10,5.608974
2014-09-11,6.233959
2014-09-12,11.405422
2014-09-15,4.155974
2014-09-16,10.863625
2014-09-17,4.171599
2014-09-18,8.35239
2014-09-19,9.535689
2014-09-22,6.280804
2014-09-23,4.21249
2014-09-24,4.740229
2014-09-25,3.421633
2014-09-26,5.499612
2014-09-29,2.781053
2014-09-30,4.681251
2014-10-01,7.212655
2014-10-02,15.483298
2014-10-03,8.452506
2014-10-06,5.999596
2014-10-07,7.186971
2014-10-08,11.264829
2014-10-09,10.960127
2014-10-10,8.671265
2014-10-13,20.389178
2014-10-14,8.561896
2014-10-15,8.374408
2014-10-16,6.431052
2014-10-17,4.281908
2014-10-20,6.890137
2014-10-21,7.733828
2014-10-22,3.392993
2014-10-23,3.593514
2014-10-24,15.414798
2014-10-27,8.786769
2014-10-28,6.60891
2014-10-29,10.424932
2014-10-30,4.827785
2014-10-31,13.96776
2014-11-03,7.42135
2014-11-05,23.359854
2014-11-06,1.218682
2014-11-07,12.811389
2014-11-10,7.890087
2014-11-11,14.844409
2014-11-12,14.327111
2014-11-13,12.202241
2014-11-14,9.049855
2014-11-17,14.763571
2014-11-18,3.171649
2014-11-19,5.530878
2014-11-20,11.436673
2014-11-21,4.546553
2014-11-24,13.217813
2014-11-25,3.628561
2014-11-26,3.921618
2014-11-27,15.155159
2014-11-28,15.514529
2014-12-01,9.077482
2014-12-02,9.343087
2014-12-03,2.656063
2014-12-04,5.410426
2014-12-05,35.859768
2014-12-08,18.983033
2014-12-09,5.030874
2014-12-10,5.124639
2014-12-11,5.280876
2014-12-12,4.836297
2014-12-15,1.9999
2014-12-16,2.015482
2014-12-17,8.350375
2014-12-18,2.015503
2014-12-19,2.031108
2014-12-22,2.093581
2014-12-23,1.999877
2014-12-24,1.977629
2014-12-25,2.004141
2014-12-26,1.968611
2014-12-29,1.968608
2014-12-30,6.593286
2015-01-05,1.765518
2015-01-06,1.859245
2015-01-08,1.781123
2015-01-09,1.806247
2015-01-12,1.906118
2015-01-13,2.017813
2015-01-14,16.311328
2015-01-15,11.028575
2015-01-16,17.576882
2015-01-19,14.655215
2015-01-20,1.937362
2015-01-21,2.093603
2015-01-22,1.999858
2015-01-23,1.937363
2015-01-26,1.96861
2015-01-27,1.906117
2015-01-28,1.968608
2015-01-29,1.92174
2015-01-30,1.952987
2015-02-02,13.777849
2015-02-03,1.984234
2015-02-04,8.919481
2015-02-05,5.030893
2015-02-06,6.796395
2015-02-09,9.327463
2015-02-10,8.077555
2015-02-11,12.398688
2015-02-12,8.218168
2015-02-13,5.140263
2015-02-16,5.171508
2015-02-17,5.280878
2015-02-18,8.530549
2015-02-19,5.296483
2015-02-20,5.109013
2015-02-24,6.999505
2015-02-25,1.937382
2015-02-26,1.843599
2015-02-27,1.976682
2015-03-02,5.546503
2015-03-03,15.032453
2015-03-04,11.717922
2015-03-05,16.155107
2015-03-06,10.43676
2015-03-10,8.764865
2015-03-11,3.01543
2015-03-12,7.390101
2015-03-13,4.437187
2015-03-16,16.102669
2015-03-17,1.874868
2015-03-18,1.937364
2015-03-19,3.999697
2015-03-20,1.921737
2015-03-23,15.410552
2015-03-24,2.093582
2015-03-25,2.062355
2015-03-26,5.999575
2015-03-27,3.951435
2015-03-30,3.15601
2015-03-31,3.156045
2015-04-01,2.952898
2015-04-02,2.015483
2015-04-03,2.781052
2015-04-06,2.702933
2015-04-07,3.515397
2015-04-08,2.656043
2015-04-09,3.687258
2015-04-10,3.6091
2015-04-13,3.562248
2015-04-14,2.749808
2015-04-15,2.906063
2015-04-16,2.96054
2015-04-17,2.843567
2015-04-20,2.921649
2015-04-21,3.796608
2015-04-22,3.093532
2015-04-23,3.42163
2015-04-24,3.452881
2015-04-27,3.437277
2015-04-28,2.76541
2015-04-29,3.468505
2015-04-30,7.322272
2015-05-05,5.030895
2015-05-06,5.202738
2015-05-07,22.953158
2015-05-08,6.21831
2015-05-12,13.50341
2015-05-13,1.984253
2015-05-14,5.168855
2015-05-15,2.031107
2015-05-18,1.968631
2015-05-19,2.109225
2015-05-20,2.124849
2015-05-21,2.20295
2015-05-22,3.281037
2015-05-25,3.306096
2015-05-26,3.315055
2015-05-27,2.93729
2015-05-28,3.905975
2015-05-29,2.952916
2015-06-01,4.437167
2015-06-02,4.087448
2015-06-03,2.995877
2015-06-04,9.218096
2015-06-05,5.265255
2015-06-08,4.443642
2015-06-09,4.905903
2015-06-10,13.342825
2015-06-11,5.202737
2015-06-15,2.624814
2015-06-16,8.415364
