TRADEDATE,Seconds
2014-01-09,18.338533
2014-01-10,4.182613
2014-01-13,13.522282
2014-01-14,13.969026
2014-01-15,16.531563
2014-01-16,20.152497
2014-01-17,59.762892
2014-01-20,68.231056
2014-01-21,15.107377
2014-01-22,14.05098
2014-01-23,6.506286
2014-01-24,25.252586
2014-01-27,3.829815
2014-01-28,26.273004
2014-01-29,5.838667
2014-01-30,3.711882
2014-01-31,5.029129
2014-02-03,37.068843
2014-02-04,5.328958
2014-02-05,9.195751
2014-02-06,18.48545
2014-02-07,3.676901
2014-02-10,42.061993
2014-02-11,39.564419
2014-02-12,19.044132
2014-02-13,3.478014
2014-02-14,25.429486
2014-02-17,25.245591
2014-02-18,14.703609
2014-02-19,9.737442
2014-02-20,10.667911
2014-02-21,17.053267
2014-02-24,7.317823
2014-02-25,12.350951
2014-02-26,4.506428
2014-02-27,4.50243
2014-02-28,30.551561
2014-03-03,16.093815
2014-03-04,45.384097
2014-03-05,6.453317
2014-03-06,20.561265
2014-03-07,8.877932
2014-03-11,14.266858
2014-03-12,3.31011
2014-03-13,17.166202
2014-03-14,10.12622
2014-03-17,19.25601
2014-03-18,14.235874
2014-03-19,9.338669
2014-03-20,14.523712
2014-03-21,10.511001
2014-03-24,27.503302
2014-03-25,3.600944
2014-03-26,12.983591
2014-03-27,12.582817
2014-03-28,21.650642
2014-03-31,10.091241
2014-04-01,4.740294
2014-04-02,3.573961
2014-04-03,34.405363
2014-04-04,3.718877
2014-04-07,11.304548
2014-04-08,17.202182
2014-04-09,17.283136
2014-04-10,10.191183
2014-04-11,18.835249
2014-04-14,25.77329
2014-04-15,3.722875
2014-04-16,46.735327
2014-04-17,9.122794
2014-04-18,4.816251
2014-04-21,13.272423
2014-04-22,12.68676
2014-04-23,3.80283
2014-04-24,16.466601
2014-04-25,29.383229
2014-04-28,7.924478
2014-04-29,18.724313
2014-04-30,16.850383
2014-05-05,13.872083
2014-05-06,37.025866
2014-05-07,15.876938
2014-05-08,12.17605
2014-05-12,7.148918
2014-05-13,3.257141
2014-05-14,3.46702
2014-05-15,11.689329
2014-05-16,18.210606
2014-05-19,51.831417
2014-05-20,11.923194
2014-05-21,7.752576
2014-05-22,5.762712
2014-05-23,11.891212
2014-05-26,18.422485
2014-05-27,22.717034
2014-05-28,9.158774
2014-05-29,4.665337
2014-05-30,52.102263
2014-06-02,38.367102
2014-06-03,15.886932
2014-06-04,17.253153
2014-06-05,45.193206
2014-06-06,11.780277
2014-06-09,20.014576
2014-06-10,22.254298
2014-06-11,3.419048
2014-06-16,6.130501
2014-06-17,13.891071
2014-06-18,5.616795
2014-06-19,19.277996
2014-06-20,4.803259
2014-06-23,13.182477
2014-06-24,17.667916
2014-06-25,5.159055
2014-06-26,6.618222
2014-06-27,11.569397
2014-06-30,3.481012
2014-07-01,3.102231
2014-07-02,12.161058
2014-07-03,8.995865
2014-07-04,43.361251
2014-07-07,12.361944
2014-07-08,16.717458
2014-07-09,8.097379
2014-07-10,14.69961
2014-07-11,42.165934
2014-07-14,13.842099
2014-07-15,33.32398
2014-07-16,24.675916
2014-07-17,5.586811
2014-07-18,5.272991
2014-07-21,8.643066
2014-07-22,66.394106
2014-07-23,18.983164
2014-07-24,6.621221
2014-07-25,5.198033
2014-07-28,6.246434
2014-07-29,9.6355
2014-07-30,17.370086
2014-07-31,7.010998
2014-08-01,10.579962
2014-08-04,5.280985
2014-08-05,15.87394
2014-08-06,34.209474
2014-08-07,18.647358
2014-08-08,17.461034
2014-08-11,6.877076
2014-08-12,12.383933
2014-08-13,21.682624
2014-08-14,19.347957
2014-08-15,15.162347
2014-08-18,18.398497
2014-08-19,10.023279
2014-08-20,8.614084
2014-08-21,16.2947
2014-08-22,4.884213
2014-08-25,15.888931
2014-08-26,17.913776
2014-08-27,25.656357
2014-08-28,23.307696
2014-08-29,15.163345
2014-09-01,12.641785
2014-09-02,40.350971
2014-09-03,14.159918
2014-09-04,9.475592
2014-09-05,5.068107
2014-09-08,33.397938
2014-09-09,13.290415
2014-09-10,30.132801
2014-09-11,15.502152
2014-09-12,13.197467
2014-09-15,17.689903
2014-09-16,20.65721
2014-09-17,23.729456
2014-09-18,7.335814
2014-09-19,5.109083
2014-09-22,7.477731
2014-09-23,19.06212
2014-09-24,16.132792
2014-09-25,18.455466
2014-09-26,17.467031
2014-09-29,9.274706
2014-09-30,8.004431
2014-10-01,9.995295
2014-10-02,17.540989
2014-10-03,10.42305
2014-10-06,7.260855
2014-10-07,12.252007
2014-10-08,9.746436
2014-10-09,11.136645
2014-10-10,6.008571
2014-10-13,44.390664
2014-10-14,13.433333
2014-10-15,4.185611
2014-10-16,28.357815
2014-10-17,19.375942
2014-10-20,11.412485
2014-10-21,25.887225
2014-10-22,5.566824
2014-10-23,13.285417
2014-10-24,25.064695
2014-10-27,5.416909
2014-10-28,11.075678
2014-10-29,14.699611
2014-10-30,23.507583
2014-10-31,11.583388
2014-11-03,12.548838
2014-11-05,17.600954
2014-11-06,11.400492
2014-11-07,31.252164
2014-11-10,17.074255
2014-11-11,8.882929
2014-11-12,14.195899
2014-11-13,4.336524
2014-11-14,3.128215
2014-11-17,39.449995
2014-11-18,14.609662
2014-11-19,4.892208
2014-11-20,19.089104
2014-11-21,11.391498
2014-11-24,18.386506
2014-11-25,7.907486
2014-11-26,20.087535
2014-11-27,22.358239
2014-11-28,4.85423
2014-12-01,14.761575
2014-12-02,5.714738
2014-12-03,15.643071
2014-12-04,5.576817
2014-12-05,17.1682
2014-12-08,29.591111
2014-12-09,7.249862
2014-12-10,11.146639
2014-12-11,14.851522
2014-12-12,17.699897
2014-12-15,20.761151
2014-12-16,14.292843
2014-12-17,12.271995
2014-12-18,9.089812
2014-12-19,11.154634
2014-12-22,5.41591
2014-12-23,2.521561
2014-12-24,5.989581
2014-12-25,10.556974
2014-12-26,6.211455
2014-12-29,17.622941
2014-12-30,14.968457
2015-01-05,24.289136
2015-01-06,5.857657
2015-01-08,11.744297
2015-01-09,5.32696
2015-01-12,11.524422
2015-01-13,12.706748
2015-01-14,12.17605
2015-01-15,5.126075
2015-01-16,16.061832
2015-01-19,7.837527
2015-01-20,16.275711
2015-01-21,18.401496
2015-01-22,17.55598
2015-01-23,13.721168
2015-01-26,13.521283
2015-01-27,20.014577
2015-01-28,7.02799
2015-01-29,27.004585
2015-01-30,6.188468
2015-02-02,26.529858
2015-02-03,13.472312
2015-02-04,32.5864
2015-02-05,10.237158
2015-02-06,20.140504
2015-02-09,19.229024
2015-02-10,52.528019
2015-02-11,22.825971
2015-02-12,16.199755
2015-02-13,6.329387
2015-02-16,12.21003
2015-02-17,22.44619
2015-02-18,5.353944
2015-02-19,15.55812
2015-02-20,9.871366
2015-02-24,9.504575
2015-02-25,4.04769
2015-02-26,15.592101
2015-02-27,18.673342
2015-03-02,6.547263
2015-03-03,18.177624
2015-03-04,10.00629
2015-03-05,12.364942
2015-03-06,5.399917
2015-03-10,21.770575
2015-03-11,12.686758
2015-03-12,26.618808
2015-03-13,5.336954
2015-03-16,4.175619
2015-03-17,15.523137
2015-03-18,5.76571
2015-03-19,38.517017
2015-03-20,24.699901
2015-03-23,12.069112
2015-03-24,3.620933
2015-03-25,4.81725
2015-03-26,6.887069
2015-03-27,16.788418
2015-03-30,12.515856
2015-03-31,5.328959
2015-04-01,3.674903
2015-04-02,20.391361
2015-04-03,9.831389
2015-04-06,29.839969
2015-04-07,15.477164
2015-04-08,11.399494
2015-04-09,4.038694
2015-04-10,13.254436
2015-04-13,11.615369
2015-04-14,25.496448
2015-04-15,8.858944
2015-04-16,10.684902
2015-04-17,9.835387
2015-04-20,4.308539
2015-04-21,4.192607
2015-04-22,29.508158
2015-04-23,3.485011
2015-04-24,10.932759
2015-04-27,16.552553
2015-04-28,18.047699
2015-04-29,10.835816
2015-04-30,21.137935
2015-05-05,9.908345
2015-05-06,30.937343
2015-05-07,11.899208
2015-05-08,22.516149
2015-05-12,18.987163
2015-05-13,18.219602
2015-05-14,4.682327
2015-05-15,2.915335
2015-05-18,2.883354
2015-05-19,18.567403
2015-05-20,6.334384
2015-05-21,4.711311
