TRADEDATE,Seconds
2014-01-09,26.028137
2014-01-10,13.597492
2014-01-13,3.632288
2014-01-14,3.491663
2014-01-15,16.061052
2014-01-16,8.176136
2014-01-17,10.428259
2014-01-20,6.516575
2014-01-21,6.953232
2014-01-22,7.497533
2014-01-23,6.893365
2014-01-24,7.847015
2014-01-27,7.806128
2014-01-28,7.676474
2014-01-29,9.675034
2014-01-30,10.052241
2014-01-31,8.186546
2014-02-03,6.081945
2014-02-04,8.788726
2014-02-05,6.204508
2014-02-06,6.925201
2014-02-07,6.848629
2014-02-10,6.324122
2014-02-11,12.926467
2014-02-12,2.603071
2014-02-13,6.039818
2014-02-14,6.819436
2014-02-17,8.366686
2014-02-18,6.791798
2014-02-19,19.638712
2014-02-20,4.846715
2014-02-21,8.024935
2014-02-24,2.504919
2014-02-25,2.814943
2014-02-26,7.369798
2014-02-27,7.417865
2014-02-28,8.557381
2014-03-03,9.872326
2014-03-04,11.980062
2014-03-05,7.942708
2014-03-06,5.618004
2014-03-07,6.274085
2014-03-11,12.479768
2014-03-12,16.912002
2014-03-13,8.140221
2014-03-14,7.292286
2014-03-17,4.795802
2014-03-18,9.702338
2014-03-19,9.294426
2014-03-20,3.63887
2014-03-21,8.387892
2014-03-24,7.903767
2014-03-25,7.178704
2014-03-26,7.421236
2014-03-27,7.127142
2014-03-28,13.092363
2014-03-31,7.484598
2014-04-01,4.909
2014-04-02,15.256934
2014-04-03,9.886683
2014-04-04,6.341593
2014-04-07,9.765438
2014-04-08,4.800513
2014-04-09,8.769814
2014-04-10,7.703651
2014-04-11,11.356355
2014-04-14,9.581592
2014-04-15,12.060262
2014-04-16,9.892804
2014-04-17,6.944347
2014-04-18,8.691453
2014-04-21,8.499114
2014-04-22,8.554766
2014-04-23,3.47126
2014-04-24,4.879607
2014-04-25,15.284328
2014-04-28,7.152014
2014-04-29,8.639267
2014-04-30,14.663393
2014-05-05,5.863606
2014-05-06,3.549845
2014-05-07,8.631594
2014-05-08,10.098909
2014-05-12,3.750274
2014-05-13,8.018678
2014-05-14,7.725985
2014-05-15,11.508027
2014-05-16,10.071269
2014-05-19,8.528326
2014-05-20,7.11206
2014-05-21,5.895629
2014-05-22,6.965005
2014-05-23,6.117475
2014-05-26,2.166806
2014-05-27,9.514536
2014-05-28,2.508295
2014-05-29,5.922316
2014-05-30,7.218676
2014-06-02,7.195372
2014-06-03,9.015629
2014-06-04,5.516213
2014-06-05,10.225686
2014-06-06,6.977033
2014-06-09,7.135018
2014-06-10,9.14358
2014-06-11,7.398768
2014-06-16,7.337077
2014-06-17,9.85397
2014-06-18,32.117743
2014-06-19,8.354055
2014-06-20,29.203741
2014-06-23,7.028614
2014-06-24,24.398344
2014-06-25,4.821519
2014-06-26,6.124472
2014-06-27,7.636737
2014-06-30,6.11178
2014-07-01,6.928988
2014-07-02,13.714892
2014-07-03,7.570788
2014-07-04,4.823001
2014-07-07,8.769783
2014-07-08,3.516181
2014-07-09,11.57902
2014-07-10,7.486482
2014-07-11,7.398965
2014-07-14,12.001799
2014-07-15,7.917817
2014-07-16,7.628387
2014-07-17,6.400278
2014-07-18,9.341785
2014-07-21,4.011352
2014-07-22,8.984954
2014-07-23,14.053547
2014-07-24,2.837703
2014-07-25,4.781154
2014-07-28,4.808546
2014-07-29,4.752495
2014-07-30,4.985152
2014-07-31,4.784252
2014-08-01,4.130664
2014-08-04,4.143526
2014-08-05,4.282294
2014-08-06,2.223192
2014-08-07,4.649718
2014-08-08,4.045889
2014-08-11,3.925661
2014-08-12,4.490682
2014-08-13,4.221082
2014-08-14,2.115345
2014-08-15,2.395626
2014-08-18,4.35654
2014-08-19,3.077336
2014-08-20,4.980236
2014-08-21,4.176652
2014-08-22,4.2865
2014-08-25,4.212768
2014-08-26,4.352412
2014-08-27,4.298431
2014-08-28,4.184437
2014-08-29,4.250204
2014-09-01,4.105463
2014-09-02,4.388006
2014-09-03,2.187284
2014-09-04,4.268437
2014-09-05,4.188076
2014-09-08,4.184034
2014-09-09,4.203952
2014-09-10,4.168351
2014-09-11,2.17022
2014-09-12,3.944063
2014-09-15,4.178993
2014-09-16,2.168251
2014-09-17,2.156767
2014-09-18,4.269621
2014-09-19,3.896998
2014-09-22,4.159325
2014-09-23,2.1249
2014-09-24,2.176754
2014-09-25,2.093371
2014-09-26,2.122364
2014-09-29,4.405881
2014-09-30,4.529132
2014-10-01,4.358096
2014-10-02,4.000109
2014-10-03,4.082084
2014-10-06,3.860331
2014-10-07,4.262345
2014-10-08,2.104374
2014-10-09,4.241165
2014-10-10,2.023133
2014-10-13,4.320931
2014-10-14,2.158819
2014-10-15,3.93942
2014-10-16,3.890144
2014-10-17,3.905241
2014-10-20,3.63679
2014-10-21,3.942509
2014-10-22,1.995239
2014-10-23,3.634547
2014-10-24,3.969444
2014-10-27,4.084021
2014-10-28,3.738234
2014-10-29,4.092815
2014-10-30,4.100549
2014-10-31,4.112543
2014-11-03,3.253898
2014-11-05,4.084407
2014-11-06,3.641261
2014-11-07,4.167816
2014-11-10,4.174849
2014-11-11,2.104371
2014-11-12,3.685211
2014-11-13,4.036237
2014-11-14,2.080439
2014-11-17,4.151863
2014-11-18,1.968227
2014-11-19,4.08268
2014-11-20,3.980471
2014-11-21,4.006289
2014-11-24,4.079167
2014-11-25,3.818953
2014-11-26,4.10961
2014-11-27,2.175186
2014-11-28,4.132948
2014-12-01,2.207636
2014-12-02,4.276486
2014-12-03,2.003175
2014-12-04,4.023309
2014-12-05,2.127858
2014-12-08,4.048853
2014-12-09,5.820174
2014-12-10,4.223342
2014-12-11,2.261951
2014-12-12,2.305834
2014-12-15,2.345294
2014-12-16,4.90572
2014-12-17,4.802253
2014-12-18,2.209093
2014-12-19,4.795177
2014-12-22,2.425069
2014-12-23,4.644147
2014-12-24,2.176759
2014-12-25,2.153351
2014-12-26,3.03182
2014-12-29,3.36201
2014-12-30,2.97836
2015-01-05,3.140765
2015-01-06,3.16354
2015-01-08,3.50762
2015-01-09,2.894262
2015-01-12,2.940177
2015-01-13,3.350003
2015-01-14,1.58684
2015-01-15,3.012174
2015-01-16,3.297355
2015-01-19,1.595046
2015-01-20,2.928342
2015-01-21,3.550505
2015-01-22,1.498083
2015-01-23,1.511955
2015-01-26,1.480671
2015-01-27,1.512926
